proxy_fusion_name	type	sample	FusionName
HCC1395|FUBP3--PRRC2B	shared	HCC1395	PRRC2B--FUBP3
HCC1187|AKAP13--PDE8A	shared	HCC1187	AKAP13--PDE8A
HCC1187|KMT2E--LHFPL3	shared	HCC1187	KMT2E--LHFPL3
DMS53|PEX5L--STRADB	shared	DMS53	PEX5L--STRADB
HCC1395|E2F3--PKD2	shared	HCC1395	E2F3--PKD2
VCAP|ERG--TMPRSS2	shared	VCAP	TMPRSS2--ERG
KIJK|ALK--NPM1	shared	KIJK	NPM1--ALK
VCAP|PIK3C2A--TEAD1	shared	VCAP	PIK3C2A--TEAD1
HCC1187|ALDOA--SHISA9	shared	HCC1187	ALDOA--SHISA9
SKBR3|ANKHD1--PCDH1	shared	SKBR3	ANKHD1--PCDH1
VCAP|ANO10--SLMAP	shared	VCAP	SLMAP--ANO10
VCAP|ANO10--SLMAP	shared	VCAP	ANO10--SLMAP
SKBR3|GSDMB--TATDN1	shared	SKBR3	TATDN1--GSDMB
VCAP|C16orf70--ENKD1	shared	VCAP	C16orf70--ENKD1
K562|NUP214--XKR3	shared	K562	NUP214--XKR3
VCAP|RC3H2--RGS3	shared	VCAP	RC3H2--RGS3
HCC1187|PUM1--TRERF1	shared	HCC1187	PUM1--TRERF1
SKBR3|CYTH1--EIF3H	shared	SKBR3	CYTH1--EIF3H
HCC1395|PLA2R1--RBMS1	shared	HCC1395	PLA2R1--RBMS1
K562|C16orf87--ORC6	shared	K562	C16orf87--ORC6
K562|BAG6--SLC44A4	shared	K562	BAG6--SLC44A4
SKBR3|DHX35--ITCH	shared	SKBR3	DHX35--ITCH
VCAP|ARMC6--SSX3	shared	VCAP	ARMC6--SSX3
VCAP|HSF1--RERE	shared	VCAP	HSF1--RERE
DMS53|GALNT8--PRMT8	shared	DMS53	GALNT8--PRMT8
HCC1395|MFSD3--MROH1	shared	HCC1395	MFSD3--MROH1
VCAP|PSMG1--UNK	shared	VCAP	PSMG1--UNK
SKBR3|KLHDC2--SNTB1	shared	SKBR3	KLHDC2--SNTB1
KIJK|RP11-444D3.1--SOX5	shared	KIJK	RP11-444D3.1--SOX5
VCAP|FO538757.2--PDGFA	shared	VCAP	PDGFA--FO538757.2
KIJK|TAF12--YTHDF2	shared	KIJK	YTHDF2--TAF12
HCC1187|CTNND1--SMTNL1	shared	HCC1187	CTNND1--SMTNL1
DMS53|CH507-528H12.1--KIAA0232	shared	DMS53	KIAA0232--CH507-528H12.1
DMS53|ABR--CDK14	shared	DMS53	ABR--CDK14
VCAP|ADCK3--RNF187	shared	VCAP	ADCK3--RNF187
K562|NFIB--RP11-408A13.2	shared	K562	RP11-408A13.2--NFIB
MJ|RP11-444D3.1--SOX5	shared	MJ	RP11-444D3.1--SOX5
VCAP|ABCB9--ZDHHC7	shared	VCAP	ZDHHC7--ABCB9
SKBR3|TBC1D31--ZNF704	shared	SKBR3	TBC1D31--ZNF704
HCC1187|CTAGE5--GEMIN2	shared	HCC1187	CTAGE5--GEMIN2
VCAP|USP10--ZDHHC7	shared	VCAP	USP10--ZDHHC7
VCAP|CSNK1G3--CTC-338M12.6	shared	VCAP	CSNK1G3--CTC-338M12.6
HCC1395|CH507-528H12.1--PDIA5	shared	HCC1395	PDIA5--CH507-528H12.1
DMS53|AC009237.2--TMEM131	shared	DMS53	TMEM131--AC009237.2
SKBR3|EIF2B5--RP11-132N15.1	shared	SKBR3	EIF2B5--RP11-132N15.1
SKBR3|AKAP13--BLOC1S6	unique	SKBR3	BLOC1S6--AKAP13
K562|LRCH2--RP5-964N17.1	unique	K562	RP5-964N17.1--LRCH2
DMS53|KRT7--OR7E47P	unique	DMS53	KRT7--OR7E47P
HCC1187|CDH23--KLK5	unique	HCC1187	KLK5--CDH23
SKBR3|COLEC10--SAMD12-AS1	unique	SKBR3	SAMD12-AS1--COLEC10
HCC1395|RP11-115C10.1--ST3GAL4	unique	HCC1395	ST3GAL4--RP11-115C10.1
HCC1395|AC017104.4--SLMAP	unique	HCC1395	SLMAP--AC017104.4
VCAP|CNNM4--PARD3B	unique	VCAP	CNNM4--PARD3B
K562|CCDC26--LINC00977	unique	K562	CCDC26--LINC00977
DMS53|JAK1--RP4-535B20.1	unique	DMS53	RP4-535B20.1--JAK1
DMS53|LINC01420--UBQLN2	unique	DMS53	UBQLN2--LINC01420
K562|RP11-1041F24.1--RP11-587P21.2	unique	K562	RP11-1041F24.1--RP11-587P21.2
DMS53|AP003900.6--bP-2189O9.3	unique	DMS53	AP003900.6--bP-2189O9.3
