#name	spanning reads	mapping score(1 is good)	seq agreement near breakpoint (1 is good)	avg frac of reads at loci in fusion	3' breakpoint	5' breakpoint
IGHG3--IGHV3-48	345	0.989	0.624	0.427	3'-IGHV3-48-chr14-106538344-0.829	5'-IGHG3-chr14-105769103-0.025
RET--KIF5B	139	1.007	1.0	0.312	3'-KIF5B-chr10-32017142-0.132	5'-RET-chr10-43116730-0.493
FGFR3--TACC3	98	1.0	0.992	0.436	3'-TACC3-chr4-1739701-0.177	5'-FGFR3-chr4-1806936-0.695
TPM3--NTRK1	75	0.914	0.993	0.182	3'-NTRK1-chr1-156876172-0.347	5'-TPM3-chr1-154170399-0.017
CCDC6--RET	62	1.0	0.999	0.204	3'-RET-chr10-43119674-0.22	5'-CCDC6-chr10-59906120-0.187
EML4--ALK	44	1.0	0.999	0.372	3'-ALK-chr2-29223530-0.688	5'-EML4-chr2-42295520-0.057
ETV6--NTRK3	24	1.0	0.999	0.454	3'-NTRK3-chr15-87940756-0.889	5'-ETV6-chr12-11869969-0.018
SMIM10L1--PRR4	5	1.0	0.92	0.153	3'-PRR4-chr12-10848409-0.294	5'-SMIM10L1-chr12-11171613-0.013
TAX1BP1--HNRNPH3	3	1.0	1.0	0.004	3'-HNRNPH3-chr10-68332240-0.004	5'-TAX1BP1-chr7-27769705-0.004
EIF5A--FTH1	3	0.961	0.808	0.001	3'-FTH1-chr11-61967453-0.0	5'-EIF5A-chr17-7307536-0.001
