sample,fusion genes,chrom1,base1,strand1,chrom2,base2,strand2,gap (kb),spanning pairs,spanning reads,inframe,aligns,rearrangement,contig,contig break,classification,known
DepMap_AS010_v1_VCAP.refine.bam.fastq,VWA2:PRKCH,chr10,114248765,+,chr14,61443111,+,Inf,0,107,FALSE,TRUE,TRUE,m84056_230620_213907_s3/101454941/ccs/7380_10526,380,HighConfidence,Yes
DepMap_AS010_v1_VCAP.refine.bam.fastq,USP10:ZDHHC7,chr16,84700111,+,chr16,84990635,-,290.527,0,43,TRUE,TRUE,TRUE,m84056_230620_213907_s3/114099929/ccs/4649_8864,99,HighConfidence,Yes
DepMap_AS010_v1_VCAP.refine.bam.fastq,HJURP:EIF4E2,chr2,233840609,-,chr2,232556416,+,1284.194,0,39,TRUE,TRUE,TRUE,m84056_230620_213907_s3/105513819/ccs/2719_5832,2203,HighConfidence,Yes
DepMap_AS010_v1_VCAP.refine.bam.fastq,TIA1:DIRC2,chr2,70248405,-,chr3,122833317,+,Inf,0,39,FALSE,TRUE,TRUE,m84056_230620_213907_s3/108727387/ccs/3388_4858,96,HighConfidence,-
DepMap_AS010_v1_VCAP.refine.bam.fastq,C16orf70:ENKD1,chr16,67110239,+,chr16,67666265,-,556.029,0,37,TRUE,TRUE,TRUE,m84056_230620_213907_s3/105715452/ccs/5743_6598,148,HighConfidence,-
DepMap_AS010_v1_VCAP.refine.bam.fastq,ZNF410:AC025918.2,chr14,73923522,+,chr15,58893977,+,Inf,0,36,FALSE,TRUE,TRUE,m84056_230620_213907_s3/122225282/ccs/1310_3000,1605,HighConfidence,-
DepMap_AS010_v1_VCAP.refine.bam.fastq,NDUFAF2:MAST4,chr5,60945428,+,chr5,66788670,+,5843.244,0,32,FALSE,TRUE,FALSE,m84056_230620_213907_s3/105910324/ccs/2680_3170,254,HighConfidence,Yes
DepMap_AS010_v1_VCAP.refine.bam.fastq,ZDHHC7:ABCB9,chr16,84990304,-,chr12,122960322,-,Inf,0,29,TRUE,TRUE,TRUE,m84056_230620_213907_s3/116000815/ccs/8052_11798,442,HighConfidence,Yes
DepMap_AS010_v1_VCAP.refine.bam.fastq,ADCK3:RNF187,chr1,226940399,+,chr1,228488960,+,1548.565,0,21,FALSE,TRUE,FALSE,m84056_230620_213907_s3/103814074/ccs/6502_8007,104,HighConfidence,-
DepMap_AS010_v1_VCAP.refine.bam.fastq,TMPRSS2:ERG,chr21,41507950,-,chr21,38445621,-,3062.336,0,15,FALSE,TRUE,FALSE,m84056_230620_213907_s3/141231440/ccs/1366_2505,129,HighConfidence,Yes
DepMap_AS010_v1_VCAP.refine.bam.fastq,CSNK1G3:CTC-338M12.6,chr5,123588511,+,chr5,181202588,+,57614.081,0,14,FALSE,TRUE,FALSE,m84056_230620_213907_s3/119473343/ccs/5004_6932,1401,HighConfidence,-
DepMap_AS010_v1_VCAP.refine.bam.fastq,RC3H2:RGS3,chr9,122859917,-,chr9,113536796,+,9323.124,0,13,FALSE,TRUE,TRUE,m84056_230620_213907_s3/103745228/ccs/5411_8435,2130,HighConfidence,Yes
DepMap_AS010_v1_VCAP.refine.bam.fastq,TMPRSS2:ERG,chr21,41508081,-,chr21,38445621,-,3062.464,0,11,FALSE,TRUE,FALSE,m84056_230620_213907_s3/119867395/ccs/7441_9386,81,HighConfidence,Yes
DepMap_AS010_v1_VCAP.refine.bam.fastq,PDE4D:C5orf47,chr5,59180595,-,chr5,173985727,+,114805.128,0,11,FALSE,TRUE,TRUE,m84056_230620_213907_s3/122097138/ccs/1307_2709,1216,HighConfidence,Yes
DepMap_AS010_v1_VCAP.refine.bam.fastq,PSMG1:UNK,chr21,39177435,-,chr17,75793443,+,Inf,0,11,FALSE,TRUE,TRUE,m84056_230620_213907_s3/109972946/ccs/3847_5419,884,HighConfidence,-
DepMap_AS010_v1_VCAP.refine.bam.fastq,HSF1:RERE,chr8,144291874,+,chr1,8656441,-,Inf,0,9,TRUE,TRUE,TRUE,m84056_230620_213907_s3/109448124/ccs/7440_7893,237,HighConfidence,Yes
DepMap_AS010_v1_VCAP.refine.bam.fastq,PDE4D:FAM172A,chr5,59768247,-,chr5,93621129,-,33852.88,0,7,FALSE,TRUE,TRUE,m84056_230620_213907_s3/163644029/ccs/44_3693,593,HighConfidence,Yes
DepMap_AS010_v1_VCAP.refine.bam.fastq,INPP4A:HJURP,chr2,98577143,+,chr2,233837652,-,135260.512,0,7,TRUE,TRUE,TRUE,m84056_230620_213907_s3/135270991/ccs/6007_9471,3190,HighConfidence,Yes
DepMap_AS010_v1_VCAP.refine.bam.fastq,ARMC6:SSX3,chr19,19033930,+,chrX,48355269,-,Inf,0,7,FALSE,TRUE,TRUE,m84056_230620_213907_s3/186388487/ccs/1450_3767,217,HighConfidence,-
DepMap_AS010_v1_VCAP.refine.bam.fastq,PIK3C2A:TEAD1,chr11,17204307,-,chr11,12862250,+,4342.057,0,6,FALSE,TRUE,TRUE,m84056_230620_213907_s3/144575849/ccs/1791_3868,186,HighConfidence,Yes
DepMap_AS010_v1_VCAP.refine.bam.fastq,CSNK1G3:CTC-338M12.6,chr5,123588511,+,chr5,181200913,+,57612.403,0,6,FALSE,TRUE,FALSE,m84056_230620_213907_s3/140314512/ccs/4911_7042,1506,HighConfidence,-
DepMap_AS010_v1_VCAP.refine.bam.fastq,PPIP5K2:CTC-340A15.2,chr5,103129703,+,chr5,165171378,+,62041.676,0,5,FALSE,TRUE,FALSE,m84056_230620_213907_s3/173081523/ccs/6041_6811,557,HighConfidence,-
DepMap_AS010_v1_VCAP.refine.bam.fastq,RP11-384F7.2:LSAMP,chr3,117997182,-,chr3,116444955,-,1552.23,0,4,FALSE,TRUE,FALSE,m84056_230620_213907_s3/157614527/ccs/905_2249,400,HighConfidence,-
DepMap_AS010_v1_VCAP.refine.bam.fastq,SLMAP:ANO10,chr3,57849816,+,chr3,43637783,-,14212.029,0,4,FALSE,TRUE,TRUE,m84056_230620_213907_s3/157618045/ccs/5320_7613,1675,HighConfidence,-
DepMap_AS010_v1_VCAP.refine.bam.fastq,ARMC6:SSX3,chr19,19034013,+,chrX,48355269,-,Inf,0,4,FALSE,TRUE,TRUE,m84056_230620_213907_s3/120131886/ccs/3779_5075,107,HighConfidence,-
DepMap_AS010_v1_VCAP.refine.bam.fastq,ARMC6:SSX3,chr19,19034238,+,chrX,48355269,-,Inf,0,4,FALSE,TRUE,TRUE,m84056_230620_213907_s3/136579607/ccs/1637_2710,172,HighConfidence,-
DepMap_AS010_v1_VCAP.refine.bam.fastq,TMPRSS2:ERG,chr21,41507950,-,chr21,38474121,-,3033.832,0,3,FALSE,TRUE,FALSE,m84056_230620_213907_s3/162990410/ccs/1587_1922,95,HighConfidence,Yes
DepMap_AS010_v1_VCAP.refine.bam.fastq,PDE4D:FAM172A,chr5,59988488,-,chr5,93621129,-,33632.638,0,3,FALSE,TRUE,TRUE,m84056_230620_213907_s3/170985312/ccs/2298_5847,485,HighConfidence,Yes
DepMap_AS010_v1_VCAP.refine.bam.fastq,AC098820.3:SMARCAL1,chr2,216498607,-,chr2,216450846,+,47.763,0,2,FALSE,TRUE,TRUE,m84056_230620_213907_s3/208802600/ccs/4446_5667,135,HighConfidence,-
DepMap_AS010_v1_VCAP.refine.bam.fastq,ANK3:CDK1,chr10,60733263,-,chr10,60784705,+,51.44,0,2,FALSE,TRUE,TRUE,m84063_230620_211331_s3/107681609/ccs/4198_5384,231,HighConfidence,Yes
DepMap_AS010_v1_VCAP.refine.bam.fastq,PDGFB:SYNGR1,chr22,39242926,-,chr22,39374316,+,131.387,0,2,FALSE,TRUE,TRUE,m84056_230620_213907_s3/170266151/ccs/4717_5530,116,HighConfidence,-
DepMap_AS010_v1_VCAP.refine.bam.fastq,RP11-96H19.1:RP11-446N19.1,chr12,46387972,+,chr12,46652390,+,264.428,0,2,FALSE,TRUE,FALSE,m84056_230620_213907_s3/249563924/ccs/6161_6604,256,HighConfidence,-
DepMap_AS010_v1_VCAP.refine.bam.fastq,ADCK3:H3F3A,chr1,226940399,+,chr1,226064329,+,876.065,0,2,FALSE,TRUE,TRUE,m84056_230620_213907_s3/214764325/ccs/4318_4888,104,HighConfidence,-
DepMap_AS010_v1_VCAP.refine.bam.fastq,AP3S1:KCNN2,chr5,115870128,+,chr5,114473054,+,1397.072,0,2,TRUE,TRUE,TRUE,m84056_230620_213907_s3/255591765/ccs/2838_5093,416,HighConfidence,-
DepMap_AS010_v1_VCAP.refine.bam.fastq,NDUFAF2:MAST4,chr5,60945382,+,chr5,66899951,+,5954.571,0,2,FALSE,TRUE,FALSE,m84056_230620_213907_s3/221974944/ccs/6137_6555,171,HighConfidence,Yes
DepMap_AS010_v1_VCAP.refine.bam.fastq,EBF1:RP11-373N22.3,chr5,159096343,-,chr5,148290995,-,10805.357,0,2,FALSE,TRUE,FALSE,m84056_230620_213907_s3/116197512/ccs/3835_8462,1212,HighConfidence,-
DepMap_AS010_v1_VCAP.refine.bam.fastq,TESK2:UBE4B,chr1,45421725,-,chr1,10161142,+,35260.584,0,2,TRUE,TRUE,TRUE,m84056_230620_213907_s3/85398462/ccs/2008_4018,739,HighConfidence,-
DepMap_AS010_v1_VCAP.refine.bam.fastq,CNOT6:S100Z,chr5,180553471,+,chr5,76875304,+,103678.164,0,2,FALSE,TRUE,TRUE,m84056_230620_213907_s3/44764115/ccs/4076_4918,98,HighConfidence,-
DepMap_AS010_v1_VCAP.refine.bam.fastq,CNNM4:PARD3B,chr2,96808742,+,chr2,204965152,+,108156.415,0,2,TRUE,TRUE,FALSE,m84056_230620_213907_s3/139396705/ccs/44_1777,931,HighConfidence,Yes
DepMap_AS010_v1_VCAP.refine.bam.fastq,NFASC:MAPK9,chr1,204828782,+,chr5,180249138,-,Inf,0,2,FALSE,TRUE,TRUE,m84056_230620_213907_s3/165611712/ccs/8542_10045,116,HighConfidence,-
DepMap_AS010_v1_VCAP.refine.bam.fastq,HSD17B6:DIS3L2,chr12,56763414,+,chr2,232087487,+,Inf,0,2,FALSE,TRUE,TRUE,m84056_230620_213907_s3/132057493/ccs/3129_4020,427,HighConfidence,-
DepMap_AS010_v1_VCAP.refine.bam.fastq,ZFYVE21:MBD3,chr14,103715979,+,chr19,1585214,-,Inf,0,2,TRUE,TRUE,TRUE,m84056_230620_213907_s3/182325368/ccs/9742_11242,150,HighConfidence,-
DepMap_AS010_v1_VCAP.refine.bam.fastq,ZNF500:SFSWAP,chr16,4767017,-,chr12,131764456,+,Inf,0,2,FALSE,TRUE,TRUE,m84056_230620_213907_s3/12848661/ccs/7199_7904,174,HighConfidence,-
DepMap_AS010_v1_VCAP.refine.bam.fastq,SNHG11:TTTY14,chr20,38448730,+,chrY,18877205,-,Inf,0,2,FALSE,TRUE,TRUE,m84056_230620_213907_s3/245435885/ccs/686_1284,130,HighConfidence,-
DepMap_AS010_v1_VCAP.refine.bam.fastq,DOPEY2:PSPC1,chr21,36164871,+,chr13,19709599,-,Inf,0,2,TRUE,TRUE,TRUE,m84056_230620_213907_s3/191763516/ccs/7960_9006,328,HighConfidence,-
DepMap_AS010_v1_VCAP.refine.bam.fastq,NDUFA6:P4HB,chr22,42090606,-,chr17,81855586,-,Inf,0,2,TRUE,TRUE,TRUE,m84056_230620_213907_s3/185272989/ccs/7628_9035,169,HighConfidence,-
DepMap_AS010_v1_VCAP.refine.bam.fastq,SOX2-OT:GNB2L1,chr3,181175583,+,chr5,181241639,-,Inf,0,2,FALSE,TRUE,TRUE,m84056_230620_213907_s3/182325368/ccs/1199_2226,333,HighConfidence,-
DepMap_AS010_v1_VCAP.refine.bam.fastq,HARS2:GEMIN7,chr5,140691756,+,chr19,45090107,+,Inf,0,2,TRUE,TRUE,TRUE,m84056_230620_213907_s3/134679003/ccs/12143_13096,145,HighConfidence,-
DepMap_AS010_v1_VCAP.refine.bam.fastq,SQSTM1:NDUFS8,chr5,179811682,+,chr11,68036253,+,Inf,0,2,FALSE,TRUE,TRUE,m84056_230620_213907_s3/27331481/ccs/7719_8283,254,HighConfidence,-
DepMap_AS010_v1_VCAP.refine.bam.fastq,CAPZA2:SRP9,chr7,116862650,+,chr1,225777935,+,Inf,0,2,TRUE,TRUE,TRUE,m84056_230620_213907_s3/226103530/ccs/8941_10447,142,HighConfidence,-
DepMap_AS010_v1_VCAP.refine.bam.fastq,IARS:CDC42,chr9,92293611,-,chr1,22078429,+,Inf,0,2,FALSE,TRUE,TRUE,m84056_230620_213907_s3/248055723/ccs/11481_12262,85,HighConfidence,-
DepMap_AS010_v1_VCAP.refine.bam.fastq,PIK3C2A:TEAD1,chr11,17207849,-,chr11,12862252,+,4345.597,0,89,NA,FALSE,TRUE,m84056_230620_213907_s3/10029058/ccs/3106_3977,113,LowConfidence,Yes
