#name	spanning reads	mapping score(1 is good)	seq agreement near breakpoint (1 is good)	avg frac of reads at loci in fusion	3' breakpoint	5' breakpoint
PIK3C2A--TEAD1	95	1.0	0.965	0.459	3'-TEAD1-chr11-12862247-0.428	5'-PIK3C2A-chr11-17207840-0.49
ZNF410--SLTM	39	0.997	0.981	0.143	3'-SLTM-chr15-58893974-0.116	5'-ZNF410-chr14-73923522-0.17
TMPRSS2--ERG	48	1.02	0.662	0.029	3'-ERG-chr21-38445624-0.029	5'-TMPRSS2-chr21-41507948-0.029
CSNK1G3--TRIM7	25	1.0	0.704	0.282	3'-TRIM7-chr5-181203113-0.24	5'-CSNK1G3-chr5-123588513-0.325
DSCR3--TTC3	7	0.969	1.0	0.018	3'-TTC3-chr21-37108390-0.006	5'-DSCR3-chr21-37267237-0.031
RP11-141J13.5--UGGT2	6	1.0	0.654	0.377	3'-UGGT2-chr13-96053404-0.154	5'-RP11-141J13.5-chr17-4617064-0.6
NUCB2--TEAD1	3	1.0	0.992	0.009	3'-TEAD1-chr11-12937938-0.014	5'-NUCB2-chr11-17208407-0.003
RN7SK--TMPRSS2	3	0.903	1.0	0.016	3'-TMPRSS2-chr21-41464725-0.002	5'-RN7SK-chr6-52995914-0.03
SOAT1--RARS	2	1.0	1.0	0.008	3'-RARS-chr5-168500200-0.009	5'-SOAT1-chr1-179355696-0.007
AIDA--VWA9	2	1.0	1.0	0.005	3'-VWA9-chr15-65578886-0.008	5'-AIDA-chr1-222711717-0.002
SRP9--CAPZA2	2	1.0	0.825	0.001	3'-CAPZA2-chr7-116862651-0.001	5'-SRP9-chr1-225790457-0.001
COA6--BSG	2	1.0	1.0	0.002	3'-BSG-chr19-579573-0.0	5'-COA6-chr1-234384038-0.003
USP34--FANCL	2	1.0	0.938	0.015	3'-FANCL-chr2-58204228-0.017	5'-USP34-chr2-61470715-0.014
HSD17B6--DIS3L2	2	1.0	1.0	0.034	3'-DIS3L2-chr2-232130847-0.043	5'-HSD17B6-chr12-56763417-0.024
MSMO1--ACPP	2	1.0	1.0	0.001	3'-ACPP-chr3-132317406-0.0	5'-MSMO1-chr4-165343157-0.002
SCARB2--FGD4	2	1.0	0.838	0.013	3'-FGD4-chr12-32646048-0.024	5'-SCARB2-chr4-76213876-0.002
PAPSS1--LEF1-AS1	4	1.0	0.629	0.118	3'-LEF1-AS1-chr4-108232061-0.222	5'-PAPSS1-chr4-107631629-0.013
RAD1--CPSF2	2	1.0	1.0	0.012	3'-CPSF2-chr14-92163391-0.018	5'-RAD1-chr5-34915221-0.007
CNOT6--S100Z	2	1.0	1.0	0.04	3'-S100Z-chr5-76875300-0.062	5'-CNOT6-chr5-180553471-0.017
TRGC1--CORO2A	2	1.0	1.0	0.011	3'-CORO2A-chr9-98124373-0.02	5'-TRGC1-chr7-38316573-0.003
SET--SH2B1	2	1.0	1.0	0.018	3'-SH2B1-chr16-28863945-0.034	5'-SET-chr9-128695142-0.002
MLH3--EIF4EBP2	2	1.0	1.0	0.032	3'-EIF4EBP2-chr10-70428615-0.031	5'-MLH3-chr14-75051467-0.032
HECTD2--IGF1R	2	1.0	1.0	0.036	3'-IGF1R-chr15-98747155-0.004	5'-HECTD2-chr10-91421496-0.067
ZNF500--SFSWAP	2	1.0	1.0	0.14	3'-SFSWAP-chr12-131778173-0.029	5'-ZNF500-chr16-4767188-0.25
FUNDC1--HSP90AA1	2	1.0	1.0	0.004	3'-HSP90AA1-chr14-102085402-0.001	5'-FUNDC1-chrX-44541968-0.007
HELZ--UBE2O	2	1.0	1.0	0.027	3'-UBE2O-chr17-76395233-0.032	5'-HELZ-chr17-67245178-0.021
DSCR3--DOPEY2	2	1.0	1.0	0.008	3'-DOPEY2-chr21-36247515-0.007	5'-DSCR3-chr21-37267237-0.009
GTF3C3--LINC00657	2	0.95	1.0	0.013	3'-LINC00657-chr20-36045779-0.008	5'-GTF3C3-chr2-196799666-0.018
CTC-487M23.8--CEP295	2	0.908	0.263	0.018	3'-CEP295-chr11-93721655-0.009	5'-CTC-487M23.8-chr5-112877999-0.027
RPS29--GNS	2	0.808	1.0	0.005	3'-GNS-chr12-64714100-0.01	5'-RPS29-chr14-49586828-0.0
ZBTB26--RGS3	4	1.0	0.669	0.087	3'-RGS3-chr9-113529264-0.027	5'-ZBTB26-chr9-122929433-0.148
AGRN--ATP5G3	1	1.0	1.0	0.003	3'-ATP5G3-chr2-175179146-0.0	5'-AGRN-chr1-1045204-0.006
HIST1H1C--AGRN	1	1.0	1.0	0.004	3'-AGRN-chr1-1047422-0.006	5'-HIST1H1C-chr6-26055835-0.001
CCNL2--MMP23B	1	1.0	1.0	0.005	3'-MMP23B-chr1-1659004-0.005	5'-CCNL2-chr1-1388067-0.006
WBSCR22--SLC35E2B	1	1.0	1.0	0.005	3'-SLC35E2B-chr1-1692772-0.01	5'-WBSCR22-chr7-73698211-0.001
CBR3-AS1--GNB1	1	1.0	1.0	0.004	3'-GNB1-chr1-1817878-0.002	5'-CBR3-AS1-chr21-36156319-0.005
RER1--PRDM16	1	1.0	1.0	0.032	3'-PRDM16-chr1-3225539-0.062	5'-RER1-chr1-2403214-0.001
DDOST--LRRC47	1	1.0	1.0	0.005	3'-LRRC47-chr1-3780691-0.01	5'-DDOST-chr1-20661365-0.001
DFFB--ACTR3	1	1.0	1.0	0.02	3'-ACTR3-chr2-113947946-0.002	5'-DFFB-chr1-3885420-0.038
RBM3--C1orf174	1	1.0	1.0	0.004	3'-C1orf174-chr1-3900251-0.005	5'-RBM3-chrX-48578283-0.003
RNF207--SAMD4B	1	1.0	1.0	0.022	3'-SAMD4B-chr19-39374839-0.012	5'-RNF207-chr1-6219411-0.033
G3BP2--ACOT7	1	1.0	1.0	0.005	3'-ACOT7-chr1-6294981-0.005	5'-G3BP2-chr4-75724461-0.005
PHF21B--PHF13	1	1.0	1.0	0.026	3'-PHF13-chr1-6623996-0.037	5'-PHF21B-chr22-45008907-0.015
ZBED5--THAP3	1	1.0	1.0	0.005	3'-THAP3-chr1-6640059-0.006	5'-ZBED5-chr11-10865328-0.004
DNAJC11--DIS3L	1	1.0	1.0	0.007	3'-DIS3L-chr15-66333996-0.008	5'-DNAJC11-chr1-6666404-0.007
