LeftGene	LeftChrom	Hg19_LeftBreakpointCoord	RightGene	RightChrom	Hg19_RightBreakpointCoord	FusionName	SourceDataset	FastaDescription	Hg38_LeftBreakpoint	Hg38_RightBreakpoint	sample	fusion_id	num_reads
RAPSN	chr11	47460283	BRF2	chr8	37704859	RAPSN--BRF2	sim_adipose.fusion_transcripts	RAPSN|ENSG00000165917.5--BRF2|ENSG00000104221.8 RAPSN|ENST00000524487.1--BRF2|ENST00000521170.1 chr11:47470605-47470325,47469702-47469364,47463473-47463375,47463285-47463093,47460473-47460283[-] chr8:37704859-37704821,37704693-37704475[-] FusedAt:1103	chr11:47438732	chr8:37847341	ONT_75	RAPSN|ENSG00000165917.5--BRF2|ENSG00000104221.8	139
NBPF8	chr1	144216200	C9orf72	chr9	27567162	NBPF8--C9orf72	sim_brain.fusion_transcripts	NBPF8|ENSG00000162825.12--C9orf72|ENSG00000147894.10 NBPF8|ENST00000421555.2--C9orf72|ENST00000379997.3 chr1:144215387-144215424,144216028-144216200[+] chr9:27567162-27566675,27565588-27565529,27562474-27562379,27561647-27560499[-] FusedAt:211	chr1:149546762	chr9:27567164	ONT_75	NBPF8|ENSG00000162825.12--C9orf72|ENSG00000147894.10	135
SCRN1	chr7	29966068	PRSS45	chr3	46784572	SCRN1--PRSS45	sim_testis.fusion_transcripts	SCRN1|ENSG00000136193.12--PRSS45|ENSG00000188086.8 SCRN1|ENST00000409497.1--PRSS45|ENST00000442359.2 chr7:30008887-30008525,29994976-29994795,29983795-29983593,29980492-29980298,29976337-29976172,29966248-29966068[-] chr3:46784572-46784403,46784073-46783840[-] FusedAt:1290	chr7:29926452	chr3:46743082	ONT_75	SCRN1|ENSG00000136193.12--PRSS45|ENSG00000188086.8	134
FOXO4	chrX	70321590	PARM1	chr4	75959093	FOXO4--PARM1	sim_heart.fusion_transcripts	FOXO4|ENSG00000184481.12--PARM1|ENSG00000169116.7 FOXO4|ENST00000374259.3--PARM1|ENST00000307428.7 chrX:70316047-70316831,70320534-70321590[+] chr4:75959093-75959171,75971373-75975323[+] FusedAt:1842	chrX:71101740	chr4:75033883	ONT_75	FOXO4|ENSG00000184481.12--PARM1|ENSG00000169116.7	134
SCIMP	chr17	5124582	MAGEB18	chrX	26157041	SCIMP--MAGEB18	sim_testis.fusion_transcripts	SCIMP|ENSG00000161929.10--MAGEB18|ENSG00000176774.5 SCIMP|ENST00000399600.4--MAGEB18|ENST00000325250.1 chr17:5138155-5138030,5126751-5126649,5124645-5124582[-] chrX:26157041-26158170,26158297-26158852[+] FusedAt:293	chr17:5221287	chrX:26138924	ONT_75	SCIMP|ENSG00000161929.10--MAGEB18|ENSG00000176774.5	133
EFNB3	chr17	7611845	ATP2A3	chr17	3848100	EFNB3--ATP2A3	sim_adipose.fusion_transcripts	EFNB3|ENSG00000108947.4--ATP2A3|ENSG00000074370.13 EFNB3|ENST00000226091.2--ATP2A3|ENST00000397043.3 chr17:7608520-7609038,7611276-7611568,7611753-7611845[+] chr17:3848100-3847998,3846816-3846685,3846025-3845900,3844948-3844730,3844600-3844265,3840930-3840710,3839763-3839561,3838571-3838486,3833728-3833595,3832739-3832622,3832074-3831957,3828732-3828640[-] FusedAt:905	chr17:7708527	chr17:3944806	ONT_75	EFNB3|ENSG00000108947.4--ATP2A3|ENSG00000074370.13	128
SSR3	chr3	156266694	IL12B	chr5	158749519	SSR3--IL12B	sim_testis.fusion_transcripts	SSR3|ENSG00000114850.2--IL12B|ENSG00000113302.4 SSR3|ENST00000496050.1--IL12B|ENST00000231228.2 chr3:156271914-156271782,156271570-156271444,156266792-156266694[-] chr5:158749519-158749402,158747528-158747314,158745901-158745744,158743824-158743693,158743108-158741791[-] FusedAt:359	chr3:156548905	chr5:159322511	ONT_75	SSR3|ENSG00000114850.2--IL12B|ENSG00000113302.4	126
GGCT	chr7	30540152	PPP2R1B	chr11	111626174	GGCT--PPP2R1B	sim_brain.fusion_transcripts	GGCT|ENSG00000006625.13--PPP2R1B|ENSG00000137713.11 GGCT|ENST00000598361.1--PPP2R1B|ENST00000427203.2 chr7:30591095-30590934,30590397-30590252,30540297-30540152[-] chr11:111626174-111626019,111625818-111625704,111625293-111625223,111624301-111624167,111623056-111622883,111618738-111618678,111614254-111614100,111613389-111613247,111612868-111612777,111612336-111611779[-] FusedAt:454	chr7:30500536	chr11:111755450	ONT_75	GGCT|ENSG00000006625.13--PPP2R1B|ENSG00000137713.11	125
ZNF223	chr19	44571426	DGCR14	chr22	19122688	ZNF223--DGCR14	sim_testis.fusion_transcripts	ZNF223|ENSG00000267022.1--DGCR14|ENSG00000100056.7 ZNF223|ENST00000591793.1--DGCR14|ENST00000252137.6 chr19:44529506-44529630,44531175-44531301,44531550-44531642,44559262-44559344,44564608-44564734,44564902-44564994,44570217-44571426[+] chr22:19122688-19122573,19121988-19117792[-] FusedAt:1858	chr19:44067273	chr22:19135175	ONT_75	ZNF223|ENSG00000267022.1--DGCR14|ENSG00000100056.7	124
TSEN15	chr1	184023997	SQLE	chr8	126030301	TSEN15--SQLE	sim_brain.fusion_transcripts	TSEN15|ENSG00000198860.7--SQLE|ENSG00000104549.7 TSEN15|ENST00000423085.2--SQLE|ENST00000518931.1 chr1:184020880-184021024,184023488-184023569,184023862-184023997[+] chr8:126030301-126030443,126030873-126030969,126033026-126033179[+] FusedAt:363	chr1:184054863	chr8:125018059	ONT_75	TSEN15|ENSG00000198860.7--SQLE|ENSG00000104549.7	124
UACA	chr15	70983638	FAM46C	chr1	118165464	UACA--FAM46C	sim_adipose.fusion_transcripts	UACA|ENSG00000137831.10--FAM46C|ENSG00000183508.4 UACA|ENST00000558758.1--FAM46C|ENST00000369448.3 chr15:70994620-70994216,70991999-70991866,70987444-70987356,70983702-70983638[-] chr1:118165464-118170994[+] FusedAt:693	chr15:70691299	chr1:117622842	ONT_75	UACA|ENSG00000137831.10--FAM46C|ENSG00000183508.4	123
GTF2H1	chr11	18363154	AP1S2	chrX	15858714	GTF2H1--AP1S2	sim_colon.fusion_transcripts	GTF2H1|ENSG00000110768.7--AP1S2|ENSG00000182287.9 GTF2H1|ENST00000453096.2--AP1S2|ENST00000452376.1 chr11:18343842-18344287,18347494-18347700,18354607-18354775,18357301-18357493,18359656-18359821,18361111-18361204,18362808-18362957,18363075-18363154[+] chrX:15858714-15858620,15845495-15845015[-] FusedAt:1505	chr11:18341607	chrX:15840591	ONT_75	GTF2H1|ENSG00000110768.7--AP1S2|ENSG00000182287.9	122
HEXDC	chr17	80377759	URGCP	chr7	43927415	HEXDC--URGCP	sim_colon.fusion_transcripts	HEXDC|ENSG00000169660.11--URGCP|ENSG00000106608.12 HEXDC|ENST00000337014.6--URGCP|ENST00000453200.1 chr17:80376194-80376616,80377625-80377759[+] chr7:43927415-43927389,43927084-43927014,43921556-43921506,43921296-43921258,43918859-43915514[-] FusedAt:558	chr17:82419883	chr7:43887816	ONT_75	HEXDC|ENSG00000169660.11--URGCP|ENSG00000106608.12	122
C13orf45	chr13	76448108	TPI1	chr12	6978028	C13orf45--TPI1	sim_colon.fusion_transcripts	C13orf45|ENSG00000178734.4--TPI1|ENSG00000111669.10 C13orf45|ENST00000318245.4--TPI1|ENST00000229270.4 chr13:76445187-76445379,76447793-76447870,76447988-76448108[+] chr12:6978028-6978151,6978263-6978347,6978422-6978554,6978852-6978937,6979213-6979300,6979429-6980112[+] FusedAt:392	chr13:75873972	chr12:6868864	ONT_75	C13orf45|ENSG00000178734.4--TPI1|ENSG00000111669.10	122
DLG4	chr17	7106743	B3GALTL	chr13	31897888	DLG4--B3GALTL	sim_adipose.fusion_transcripts	DLG4|ENSG00000132535.14--B3GALTL|ENSG00000187676.7 DLG4|ENST00000485100.1--B3GALTL|ENST00000343307.4 chr17:7120507-7120437,7111558-7111493,7107571-7107518,7107377-7107327,7107135-7107011,7106912-7106743[-] chr13:31897888-31898032,31903638-31906413[+] FusedAt:537	chr17:7203424	chr13:31323751	ONT_75	DLG4|ENSG00000132535.14--B3GALTL|ENSG00000187676.7	122
YLPM1	chr14	75249028	E2F7	chr12	77444524	YLPM1--E2F7	sim_testis.fusion_transcripts	YLPM1|ENSG00000119596.13--E2F7|ENSG00000165891.11 YLPM1|ENST00000552421.1--E2F7|ENST00000416496.2 chr14:75230069-75231065,75245150-75245386,75247108-75247287,75248037-75249028[+] chr12:77444524-77444356,77440108-77439818,77438575-77438417,77436979-77436845,77427822-77427637,77426902-77426830,77424112-77423611,77421918-77421663,77417965-77415028[-] FusedAt:2406	chr14:74782325	chr12:77050744	ONT_75	YLPM1|ENSG00000119596.13--E2F7|ENSG00000165891.11	121
SNX9	chr6	158331057	ZNF623	chr8	144732068	SNX9--ZNF623	sim_testis.fusion_transcripts	SNX9|ENSG00000130340.10--ZNF623|ENSG00000183309.7 SNX9|ENST00000392185.3--ZNF623|ENST00000458270.2 chr6:158244296-158244478,158288579-158288665,158294134-158294208,158296083-158296208,158317859-158318030,158322930-158323077,158327160-158327244,158330697-158330822,158330940-158331057[+] chr8:144732068-144734546[+] FusedAt:1120	chr6:157910025	chr8:143649898	ONT_75	SNX9|ENSG00000130340.10--ZNF623|ENSG00000183309.7	121
C1orf200	chr1	9714256	ZNF512B	chr20	62598876	C1orf200--ZNF512B	sim_adipose.fusion_transcripts	C1orf200|ENSG00000179840.5--ZNF512B|ENSG00000196700.3 C1orf200|ENST00000377320.3--ZNF512B|ENST00000369888.1 chr1:9714644-9714256[-] chr20:62598876-62598734,62598357-62598229,62598134-62597494,62596069-62595843,62595744-62595673,62595570-62595424,62595266-62595142,62595063-62594971,62594793-62594695,62594618-62594448,62594134-62593940,62593727-62593626,62593357-62593295,62592760-62592662,62591492-62588055[-] FusedAt:389	chr1:9654198	chr20:63967523	ONT_75	C1orf200|ENSG00000179840.5--ZNF512B|ENSG00000196700.3	120
KLB	chr4	39439615	DAGLA	chr11	61502321	KLB--DAGLA	sim_heart.fusion_transcripts	KLB|ENSG00000134962.6--DAGLA|ENSG00000134780.5 KLB|ENST00000257408.4--DAGLA|ENST00000257215.5 chr4:39408473-39409394,39435830-39436340,39439347-39439615[+] chr11:61502321-61502474,61503033-61503116,61503211-61503288,61503742-61503822,61504654-61504796,61505159-61505227,61505607-61505679,61506937-61507133,61507935-61508064,61508634-61508821,61511004-61514473[+] FusedAt:1702	chr4:39437995	chr11:61734849	ONT_75	KLB|ENSG00000134962.6--DAGLA|ENSG00000134780.5	119
FBXO33	chr14	39870380	SPG20OS	chr13	36939637	FBXO33--SPG20OS	sim_heart.fusion_transcripts	FBXO33|ENSG00000165355.7--SPG20OS|ENSG00000120664.6 FBXO33|ENST00000298097.7--SPG20OS|ENST00000488319.1 chr14:39901704-39900768,39871715-39871605,39871065-39870380[-] chr13:36939637-36939741,36939867-36939980,36942335-36942480,36943625-36943738[+] FusedAt:1734	chr14:39401176	chr13:36365500	ONT_75	FBXO33|ENSG00000165355.7--SPG20OS|ENSG00000120664.6	118
PYGL	chr14	51398391	AL391421.1	chr10	79627681	PYGL--AL391421.1	sim_testis.fusion_transcripts	PYGL|ENSG00000100504.12--AL391421.1|ENSG00000204049.1 PYGL|ENST00000216392.7--AL391421.1|ENST00000372387.1 chr14:51411454-51410879,51404555-51404454,51401903-51401825,51398494-51398391[-] chr10:79627681-79629368[+] FusedAt:861	chr14:50931673	chr10:77867923	ONT_75	PYGL|ENSG00000100504.12--AL391421.1|ENSG00000204049.1	118
LYPD2	chr8	143833812	USP44	chr12	95928102	LYPD2--USP44	sim_brain.fusion_transcripts	LYPD2|ENSG00000197353.3--USP44|ENSG00000136014.7 LYPD2|ENST00000359228.3--USP44|ENST00000258499.3 chr8:143833952-143833812[-] chr12:95928102-95926605,95922778-95922583,95918564-95918456,95914978-95914773,95912129-95910336[-] FusedAt:141	chr8:142752394	chr12:95534326	ONT_75	LYPD2|ENSG00000197353.3--USP44|ENSG00000136014.7	118
MTA1	chr14	105930484	C17orf97	chr17	263788	MTA1--C17orf97	sim_colon.fusion_transcripts	MTA1|ENSG00000182979.13--C17orf97|ENSG00000187624.7 MTA1|ENST00000438610.1--C17orf97|ENST00000491373.1 chr14:105886353-105886400,105905009-105905076,105911755-105911848,105915696-105915746,105916395-105916521,105916598-105916661,105920530-105920647,105924607-105924709,105926695-105926794,105927102-105927290,105929521-105929595,105929830-105929888,105930369-105930484[+] chr17:263788-264096[+] FusedAt:1212	chr14:105464147	chr17:413997	ONT_75	MTA1|ENSG00000182979.13--C17orf97|ENSG00000187624.7	118
AADACL4	chr1	12704733	LPAR2	chr19	19738093	AADACL4--LPAR2	sim_brain.fusion_transcripts	AADACL4|ENSG00000204518.2--LPAR2|ENSG00000064547.9 AADACL4|ENST00000376221.1--LPAR2|ENST00000542587.1 chr1:12704566-12704733[+] chr19:19738093-19737352,19735378-19734478[-] FusedAt:168	chr1:12644714	chr19:19627284	ONT_75	AADACL4|ENSG00000204518.2--LPAR2|ENSG00000064547.9	118
NPFF	chr12	53900805	CLIC1	chr6	31702040	NPFF--CLIC1	sim_colon.fusion_transcripts	NPFF|ENSG00000139574.7--CLIC1|ENSG00000213719.4 NPFF|ENST00000609999.1--CLIC1|ENST00000395892.1 chr12:53901372-53900805[-] chr6:31702040-31701931,31701738-31701613,31701449-31701343,31700175-31699994,31698780-31698358[-] FusedAt:568	chr12:53507021	chr6:31734263	ONT_75	NPFF|ENSG00000139574.7--CLIC1|ENSG00000213719.4	117
RNFT2	chr12	117217153	PMVK	chr1	154897741	RNFT2--PMVK	sim_testis.fusion_transcripts	RNFT2|ENSG00000135119.10--PMVK|ENSG00000163344.5 RNFT2|ENST00000407967.3--PMVK|ENST00000368467.3 chr12:117176096-117176175,117178150-117178326,117178841-117178899,117187646-117188112,117191789-117191865,117204619-117204719,117217000-117217153[+] chr1:154897741-154897210[-] FusedAt:1115	chr12:116779348	chr1:154925265	ONT_75	RNFT2|ENSG00000135119.10--PMVK|ENSG00000163344.5	116
ZNF774	chr15	90902189	PRAMEF8	chr1	13389727	ZNF774--PRAMEF8	sim_colon.fusion_transcripts	ZNF774|ENSG00000196391.6--PRAMEF8|ENSG00000182330.6 ZNF774|ENST00000379090.5--PRAMEF8|ENST00000357367.2 chr15:90895572-90895643,90897874-90897996,90902083-90902189[+] chr1:13389727-13389416,13389033-13388458,13387543-13386646[-] FusedAt:302	chr15:90358957	chr1:13284116	ONT_75	ZNF774|ENSG00000196391.6--PRAMEF8|ENSG00000182330.6	115
