#name	spanning reads	mapping score(1 is good)	seq agreement near breakpoint (1 is good)	avg frac of reads at loci in fusion	3' breakpoint	5' breakpoint
UNC5C--CYP3A5	88	1.472	0.719	0.734	3'-CYP3A5-chr7-99648199-0.978	5'-UNC5C-chr4-95549203-0.489
SNX20--ARF3	116	1.0	0.826	0.983	3'-ARF3-chr12-48939109-0.983	5'-SNX20-chr16-50675768-0.983
TTF1--PTPRT	87	1.283	0.753	0.788	3'-PTPRT-chr20-42791194-0.588	5'-TTF1-chr9-132375620-0.989
FBXO36--SARS1	110	1.0	0.814	0.986	3'-SARS1-chr1-109238148-0.973	5'-FBXO36-chr2-229976350-1.0
VEGFC--REN	111	1.0	0.841	0.974	3'-REN-chr1-204156797-0.982	5'-VEGFC-chr4-176792727-0.965
KCNJ3--PKN2	106	1.0	0.877	0.883	3'-PKN2-chr1-88786102-0.869	5'-KCNJ3-chr2-154709823-0.898
RPUSD2--BAIAP3	106	1.0	0.882	0.978	3'-BAIAP3-chr16-1344966-0.991	5'-RPUSD2-chr15-40569299-0.964
CLEC4A--KHDRBS2	105	1.0	0.858	0.926	3'-KHDRBS2-chr6-61978212-0.89	5'-CLEC4A-chr12-8136904-0.963
COX10--SHF	105	1.0	0.846	0.968	3'-SHF-chr15-45167229-0.963	5'-COX10-chr17-14069649-0.972
KCNG4--NLRP7	104	0.998	0.753	0.963	3'-NLRP7-chr19-54923508-0.972	5'-KCNG4-chr16-84236727-0.954
ZNF165--SEC23B	102	1.0	0.83	0.972	3'-SEC23B-chr20-18546033-0.962	5'-ZNF165-chr6-28089563-0.981
DCAF5--KPNA7	100	1.0	0.633	0.985	3'-KPNA7-chr7-99207507-0.98	5'-DCAF5-chr14-69091673-0.99
APOH--GABRR1	100	0.999	0.838	0.922	3'-GABRR1-chr6-89190247-0.893	5'-APOH-chr17-66223696-0.952
NUDT12--PPHLN1	98	1.0	0.843	0.908	3'-PPHLN1-chr12-42399000-0.933	5'-NUDT12-chr5-103552418-0.883
ACTR6--NME9	99	0.989	0.899	0.976	3'-NME9-chr3-138306481-0.971	5'-ACTR6-chr12-100199230-0.98
ENDOV--RAB20	97	1.0	0.879	0.92	3'-RAB20-chr13-110524199-0.851	5'-ENDOV-chr17-80415822-0.99
MPHOSPH8--SAMD1	99	0.97	0.717	0.902	3'-SAMD1-chr19-14088428-0.952	5'-MPHOSPH8-chr13-19659120-0.853
ISCA1--PTCD1	98	0.953	0.721	0.952	3'-PTCD1-chr7-99416738-0.961	5'-ISCA1-chr9-86282538-0.942
RPL36A--GJB3	93	1.0	0.837	0.959	3'-GJB3-chr1-34784735-0.939	5'-RPL36A-chrX-101391824-0.979
PER2--IGF2R	93	1.0	0.879	0.871	3'-IGF2R-chr6-160089253-0.939	5'-PER2-chr2-238262344-0.802
NELFB--TMEM123	93	1.0	0.856	0.984	3'-TMEM123-chr11-102401538-1.0	5'-NELFB-chr9-137264244-0.969
ZKSCAN1--ARHGEF2	93	0.999	0.81	0.989	3'-ARHGEF2-chr1-155965415-0.989	5'-ZKSCAN1-chr7-100029952-0.989
TRNAU1AP--KLC2	93	1.0	0.803	0.964	3'-KLC2-chr11-66258583-0.969	5'-TRNAU1AP-chr1-28567413-0.959
CFAP92--SEMA3E	92	1.0	0.807	0.974	3'-SEMA3E-chr7-83385433-0.968	5'-CFAP92-chr3-128976977-0.979
EXOSC2--AGTPBP1	91	1.0	0.825	0.728	3'-AGTPBP1-chr9-85588480-0.467	5'-EXOSC2-chr9-130697628-0.989
UBASH3A--ZFP14	91	1.0	0.882	0.868	3'-ZFP14-chr19-36367974-0.778	5'-UBASH3A-chr21-42418609-0.958
TMEM204--BMP6	90	0.998	0.827	0.945	3'-BMP6-chr6-7861450-0.9	5'-TMEM204-chr16-1534555-0.989
TSGA13--HMGCL	90	1.0	0.82	0.968	3'-HMGCL-chr1-23810799-0.968	5'-TSGA13-chr7-130685184-0.968
OLFML2B--NMRK1	89	1.0	0.757	0.928	3'-NMRK1-chr9-75070044-0.899	5'-OLFML2B-chr1-161997824-0.957
POU2F3--TLR5	88	1.0	0.841	0.895	3'-TLR5-chr1-223113035-0.863	5'-POU2F3-chr11-120307616-0.926
XRRA1--HNF4G	88	1.0	0.875	0.942	3'-HNF4G-chr8-75564327-0.926	5'-XRRA1-chr11-74906238-0.957
EVC--PTGES2-AS1	88	1.0	0.807	0.904	3'-PTGES2-AS1-chr9-128129202-0.83	5'-EVC-chr4-5748306-0.978
DNM1--RAB10	87	1.0	0.817	0.882	3'-RAB10-chr2-26109765-0.829	5'-DNM1-chr9-128242346-0.935
TEX35--ANO10	85	1.0	0.861	0.909	3'-ANO10-chr3-43605713-0.977	5'-TEX35-chr1-178545210-0.842
FAM71E1--FAM110D	83	1.0	0.849	0.967	3'-FAM110D-chr1-26162628-0.933	5'-FAM71E1-chr19-50476301-1.0
NDUFAF1--BCO2	81	1.0	0.655	0.948	3'-BCO2-chr11-112213862-0.942	5'-NDUFAF1-chr15-41387493-0.953
