ID	Gene1	Gene2	NumSupp	Chrom1	Breakpoint1	Chrom2	Breakpoint2	SupportingReads
GF01	C1QL3	GZMA	72	chr10	16513749	chr5	55108295	fbbcf3c1-17e7-a5e8-91c7-58c6920df692,00028069-6338-77ef-5434-6042be31dda0,07915e1d-5878-e59c-aaef-cf7f39c79ed4,07d727c0-762f-2568-2e7c-ba4155d7691a,08cbbaf8-c76c-49f2-5650-8b240d65914d,0c46ca42-784a-2c6f-3861-03b7ebae45b6,0fa0854b-0485-ed1e-4439-a37c35422fd1,0fa9d98a-7d83-c0f7-56b4-d77cc9102f4b,0fd44ea9-f02c-026d-41b5-c5cc9a664c06,187dce40-e01f-6a25-961e-4d8aba526dec,1922f45b-05dc-75b6-3455-15fc904c1f8b,1dc71669-3d91-c4c8-5c07-39eabf80bd52,204f290a-59b5-c787-05fa-875121912909,25bcc222-986f-2c10-ae5c-2bd28efb1d29,299f2563-6935-1ee2-991e-6d2678ac23fb,2d25c267-c7e2-4325-aff0-9929c6f8f410,2e35430b-5514-bbaa-5554-aebe9f653c60,30016c90-374d-c444-54c6-6275e14f4b37,30807254-39d9-7eb2-58a5-403937fdbd6c,30c3edc6-fbef-ee7a-2aae-6feb6bc534e8,312ab048-b30f-994a-7c34-b7d13c63ef33,3bb02b92-0855-e4eb-a3ea-e65dea07f905,45d73a58-786f-df6d-fa7b-4cdbc4a47d2a,4925e2dd-1611-f036-0e61-2465837fe352,50148bd7-9a00-02bf-96e5-2a939212ea6b,55f5420e-1ac2-1ab1-d8cc-4a3ad5e19fa8,569f440b-f720-0a93-f8e9-e0142165234b,58f860c9-8f58-8092-f1eb-e91bd3c5f1a8,61c42f2f-cf4c-3244-0a85-4d2d80bbfdbc,637b978b-249e-2645-f865-cb75ac22a8a0,66b9b581-41d8-38a0-665d-438b7611a514,688cd0b2-2643-8cee-ad23-c5b3941ed021,6aaec606-e825-5524-3fd6-8b9f9ebf75d6,6bbb5720-cd7c-8e29-06d2-2d1698902fa4,6fd8fade-aa34-b33e-becc-41d2b0867a45,70445087-2594-769f-5c40-7fea518e798e,707b8848-1545-9fe3-6877-d83e12f44b97,7623717a-a64d-115d-cf84-ed3774f8e1b6,8584bde1-f2f2-e36d-7c95-2ee5d4e3e827,8657a450-de07-11ae-5db9-3a143098b0ea,8b55755b-2562-0e17-d5df-56627cc41cc6,8cf17646-37a2-6612-734f-94ae59eb57dd,8e3a01f3-eef8-abcb-4cf4-e4a5372aa94b,904a9eba-e741-55c5-48e7-6d0d264f09a5,98354a97-9628-9604-a51f-4ec9038afa67,993978be-cd6b-e4fa-0ca6-2ca174edfb64,9c4bb31f-2d9e-83f1-9194-09287b8a1730,9cfc2d4d-9e0e-6edb-93d1-a56c87222e2b,9f3f2d6e-9f9b-5ecc-260f-5f654ec69689,9fe2edae-dc70-afc6-8bba-90a3fd9f899a,a3a86c7c-ce16-1b58-6a20-e9dd6ee9044e,a5db3c89-6dc6-7441-2dcb-89c4601f5dfb,a7654ef3-567c-8e10-1a1a-f5a9b60d0b00,a77a8f35-e33d-12e7-2c59-bdbff04e31e4,ac967c58-908c-22bc-2bb2-c2458ab2d26e,ae41e3c6-00ac-a983-0559-d7a315908b22,b0bc6c35-9552-a70c-f943-33d831c6fba0,b4d8670b-582f-3f83-d3f3-4ede8c4a96e9,b699c7f4-0f3d-1f77-138c-e48f0f5164a8,c3c2654c-0b5b-f7d3-80eb-4ce2c83e0f98,c9d2281b-bed8-03fe-54be-e53eefcb564c,cfb19072-031b-b309-1b82-e3a10b6ec103,d188d6a4-8a96-4ef0-1643-83ac27ed03f3,d1932ffa-84af-960d-3483-315470f2f85c,e0771309-35c8-4a52-64ff-78902d94df7b,e4b3f6f6-5db6-e33f-512a-f2717028a3e4,e53cd645-6478-1491-b928-75b6c51bf467,ef93272c-3986-c1c8-8350-66be5933da1a,f0a9fa60-5bc6-330c-a735-c52bf2357171,fb4d0242-42c1-8427-c4d8-9e670f366752
GF02	TOMM40	ZSWIM2	7	chr19	44901105	chr2	186837552	f9824d33-b084-db67-c5f1-fd79efd90108,3327e7a3-f508-7024-c8c4-d1c075b847b2,61a1db2f-18b0-ce7a-4dce-6449ff39dd94,6dd25312-0135-4428-63d7-8a189ea7c55c,89b9f3c5-1486-dce7-70e4-dbd74f6aae58,a0bb0918-9df1-99c4-69c2-e232ddf440ca,a2bea833-fd9c-8cfd-6924-88d33bc62c0d
GF03	TOMM40	ZSWIM2	4	chr19	44901102	chr2	186834026	c166d0cf-f831-2bd0-8ca1-b96ec8f44c30,6178e2b8-967f-3405-e249-408801f8e70b,66390f20-003f-4a0b-eb0b-fdabd2f8a66f
GF04	TOMM40	ZSWIM2	1	chr19	44901102	chr2	186829878	0024c858-9652-e658-5632-645e8235cca8
GF05	MYCL	CD7	34	chr1	39901444	chr17	82317412	f965c3cc-94a7-66ae-3917-31bbb79069ff,00251c74-7fd5-86dd-83b7-0d82d406bcbb,08b4681a-a178-7fd3-ec92-5d8d8be45b53,0a1be6e3-29bb-ae23-795a-b0d31f818965,16962b2f-a897-38be-6a3c-da7f37d92d20,2fcdae70-c370-c969-7f4c-2131ab3bf665,439f16aa-8db0-9ea3-0a1a-086c3f6e3400,4f920929-b9a9-7748-6912-c62dcc5a53b7,52313bfd-2f66-dce2-1ba1-93e6e17d070b,53ebd399-d307-8a88-7fc7-c73d901298a7,597bbee7-ea58-72c9-dfcf-7d243b908d52,5db22c48-b96f-f924-6dc1-eecfc3f3f1c4,5fc7560f-ba89-ad6a-0319-10425cc0640b,69d08093-f468-1a34-9e0d-e44fceaddcf5,6b215be0-f0f6-7630-86b6-e52ed1413779,6c881afc-9b03-cc45-7613-6172fca1ab4c,7d05fdb0-2f01-cd0f-601b-f31571af0b08,840f7db8-1fae-e364-5947-f2f90976a8af,848e3047-65be-9da2-5998-30a0dc9f33e8,86d3b2dc-dd74-47ba-d542-fe92704b2bb9,93316159-1cd8-b9f3-76e5-75ac81ac79d6,96ab62bc-4186-d2ac-4590-18a176d289fe,9914047d-8d36-30fa-5c46-366793daad70,9f0eb927-3a56-df88-80ac-cfbd3517a82d,a526d50f-1777-4b76-06e1-66cd281d86eb,a8213b1b-b7a4-71ae-e6b0-bb3c2e7c17a7,b60b5d3f-5e6a-b19c-64df-85e7bfdc9d49,be2c2009-c3e0-8a98-86dd-b6971b9795de,be5b8a5b-73e0-6759-4ff5-4cce7877d017,c1294cd2-da34-0e6e-3744-c0134a4cfcbb,c3421c9d-a7fa-0d0c-0855-6e19c15fce02,d93b168c-b24d-b494-6e64-1dd8e4f6b504,da1a5e65-c058-a3f5-e1f9-31d71dd09496,edd2e380-8e71-daf2-8f81-19c2d1fd0df4
GF06	SUPT7L	AGPS	38	chr2	27662281	chr2	177436884	ff4d51fb-991c-3848-16d7-a33f3eccb068,092fc38e-e4b9-63a4-5fe8-57903796611d,099c857c-ae8f-27d4-7a76-6201a471fa9f,15a318f8-6716-51c4-4fa7-8d674450dff2,2535f771-374c-4b59-fee7-e36d8a4c0074,2704f846-b26d-3c96-a8e2-95211b18e0d6,2bdb8432-445f-dbe8-4664-d712bc4defea,2da142cb-5972-421b-3bce-c6639024b229,4ea84ad1-f738-ef94-4389-9f9d2f0e9ee4,6ed01d6c-65c4-1b35-3cfe-b6dbbe3dfb30,880e39a3-35fb-d669-fd3e-38bf48cd6805,cbbab58f-8db9-6076-4750-8edf62962dcf,ddb2ed65-157f-973a-2bae-d98203ca9740,e096c6ae-b705-06bc-b790-67ebc1c052fd,eb9d3feb-0184-d126-a02a-e960c0c86371,edcbc717-bf40-4439-62ad-da92546f8019,f677ab1e-6caa-f825-5c53-1b24e94119fc,f803cecb-644f-6c43-2a7c-9858200afcd7,f9d05787-c7f1-0bc5-e123-ae4f8647f078,60b44935-e8bc-ffe5-578f-2d89401823a4
GF08	SUPT7L	AGPS	1	chr2	27657666	chr2	177434412	cde28d7d-0fed-50d7-b608-e3933d018cac
GF09	SUPT7L	AGPS	1	chr2	27655591	chr2	177436884	472b1b91-a67b-ad46-ac91-7c0159e862ba
GF010	GDF11	FOXA2	49	chr12	55748583	chr20	22584191	f2eef9c6-0fb8-7f5d-57b3-3b6cc6e170cd,00281336-70b4-2f51-8be3-2d81f03b9344,03ff437d-9def-d75d-c597-7109096c3ed8,05eddb6a-e56a-9571-4b38-8849f01b4fc7,0da62a32-a613-5a1b-fba3-1823d6f476cf,17a2917c-a710-5e59-ecd3-c871859953b2,2cd316d9-2684-55fa-ff45-d524350797cf,2ef5e160-2887-bba1-f4c4-fb166fb70c4b,408d09dc-84a7-774b-248f-1ee9317f6b77,432329bb-51f3-49c5-562f-b75d26363696,439f98ac-db3c-60c5-65a7-30aef2a4eafe,45a89825-652b-2aa1-9dad-292a7669770f,4853d3e3-2330-51c6-aea0-7f1b1640f2ff,4b08018e-17a2-5b71-204a-7a850ad481b8,50eff362-b7cf-fddb-dce9-1fe08797da96,5cc053e3-4132-56de-0be0-f50e22d1d033,5ceb5528-ed2d-9b8d-6aaa-c4758e0aa4f1,5fa3ded4-bba7-ca36-f8ea-2874905dd5ed,672b50fe-34fc-7f3d-d7a0-6943d7d27f89,68b56110-fcca-9d7f-15bf-65dfa36f9985,6929dc78-9d74-adb1-198e-2a03b121fade,69e44b70-81ae-77d2-fa32-99a580e4f56a,6e6f7782-ffab-5556-49e7-a4e44a052c32,6fabd4d7-1fc1-a82f-f680-5254d6f1733b,76315e8e-3149-39b0-9637-6d32ad5e4e40,7847aa80-2eda-78e7-3974-5a046f9f7e75,7f219c1f-ba3d-ab9e-b623-5f371b648d91,834f2b4b-de09-5821-6a76-67973d692ffe,89934c18-a295-13bb-5a70-7eaef7cb5c05,94484e7e-8192-48b1-b1ae-ba14b9a7ed8a,9885cdec-072c-4d05-7d7e-c8646b23fc8c,a2a3d04a-3626-5236-53fc-1aeb3f6d1eff,a5ea832b-55ea-7b5d-e93d-5a65bc3b3237,ace2ad35-f89e-3589-495e-67ac6a69b8a3,b0827999-dee7-97e8-7f9d-3fd32794e29d,b50f14b3-177c-757e-047c-08e7bf4332f2,b70ba1c3-4aaf-08b8-7dfe-b559b22f839f,bb880e14-aeb7-6a75-8206-553a8734e971,bf067ede-05e0-2358-dcbc-8e4eaa2bce28,c0099022-6174-a65f-da4e-258d4adaf45f,cdaaf5e5-5873-0cd2-8cee-d0087bbdfb77,d3056025-a892-7839-a370-12df3ea4d432,d9726a49-82d2-01d8-d8ed-b293747f6a29,dc6fb88e-4f47-0c7e-cabd-66a6a6a8658c,de92119c-0c4e-4931-795a-0b7364b95913,e225a944-5bd9-f6ae-2c3e-399947454a97,e5de25a2-325f-1678-493e-0b93478efc3f,eae85e6f-5c9c-25a7-453d-610cf46bf80d,ec48a9fd-2a9e-3086-4e74-f60059dde03a
GF011	PDCD1LG2	BEND2	27	chr9	5534743	chrX	18180509	f8d8d62d-dec8-56ca-483b-c0d1809ca5e4,0034c53e-e6a2-019d-20f0-ef5d17f2bae5,17b51064-7bba-3c54-3a18-b36e94e8b253,215ec2bc-0e26-46f5-c456-5c7eaafa248f,2162e3ee-03ef-0d3a-dc4e-ee6edab93ff1,3e72c16c-b2f2-bc30-ec61-1a373cce92ab,3e77f9e7-8fdb-a59e-3a4c-8cdb24237c20,3eef3126-9c1a-042d-47ea-16a42903561e,44128099-d00e-b970-4e60-e3089566bd68,7249b2c4-00ab-419a-5945-85c6ce97f25a,7e49a192-7abd-2aa7-f713-c88b0fec264e,865cf59f-64a0-56eb-692d-7178b9e6f3ab,abec1437-ffac-9ba2-76ef-b3a27d49fd22,b789218f-b347-e74f-eca5-47f1496cd811,c71e51f3-3c94-e602-2464-436e5fc573f7,cfaf0c17-4d98-1853-24fb-77d7b7b23295,d6fa03f4-4a64-e502-75d3-c731cc235f6f,f16cee30-faae-89d4-90fd-8c285a09f6df,f5695405-5a7e-7987-e435-cef698c47dd2
