sample,fusion genes,chrom1,base1,strand1,chrom2,base2,strand2,gap (kb),spanning pairs,spanning reads,inframe,aligns,rearrangement,contig,contig break,classification,known
DepMap_v1v2combined_KIJK.fastq,NPM1:ALK,chr5,171391799,+,chr2,29223528,-,Inf,0,358,TRUE,TRUE,TRUE,m84056_230620_213907_s3/101189969/ccs/8522_9731,449,HighConfidence,Yes
DepMap_v1v2combined_KIJK.fastq,SCMH1:NPM1,chr1,41242059,-,chr5,171392710,+,Inf,0,53,FALSE,TRUE,TRUE,m84056_230620_213907_s3/102960230/ccs/1082_2020,87,HighConfidence,-
DepMap_v1v2combined_KIJK.fastq,YTHDF2:TAF12,chr1,28743986,+,chr1,28622165,-,121.818,0,48,TRUE,TRUE,TRUE,m84056_230620_213907_s3/104205605/ccs/6131_9038,1899,HighConfidence,-
DepMap_v1v2combined_KIJK.fastq,RP11-444D3.1:SOX5,chr12,24213343,-,chr12,23896024,-,317.323,0,4,FALSE,TRUE,FALSE,m84056_230620_213907_s3/114758496/ccs/5762_7710,629,HighConfidence,-
DepMap_v1v2combined_KIJK.fastq,CTD-2337A12.1:CAST,chr5,96379652,+,chr5,96675539,+,295.892,0,3,FALSE,TRUE,FALSE,m84056_230620_213907_s3/152769760/ccs/7612_8354,489,HighConfidence,-
DepMap_v1v2combined_KIJK.fastq,RPL15:RPL41,chr3,23917239,+,chr12,56116775,+,Inf,0,2,FALSE,TRUE,TRUE,m84056_230620_213907_s3/178258992/ccs/7036_7541,112,HighConfidence,-
DepMap_v1v2combined_KIJK.fastq,FAM172A:ALK,chr5,93683370,-,chr2,29223528,-,Inf,0,91,NA,FALSE,TRUE,m84056_230620_213907_s3/109710762/ccs/10096_11330,446,LowConfidence,-
DepMap_v1v2combined_KIJK.fastq,C15orf57:CBX3,chr15,40561982,-,chr7,26201745,+,Inf,0,8,NA,FALSE,TRUE,m84056_230620_213907_s3/128189255/ccs/2476_4614,343,LowConfidence,-
DepMap_v1v2combined_KIJK.fastq,RN7SL1:IFI6,chr14,49586811,+,chr1,27666247,-,Inf,0,8,NA,FALSE,TRUE,m84056_230620_213907_s3/138544032/ccs/12189_12605,234,LowConfidence,-
DepMap_v1v2combined_KIJK.fastq,YTHDF2:TAF12,chr1,28738333,+,chr1,28622165,-,116.168,0,6,NA,FALSE,TRUE,m84056_230620_213907_s3/142939032/ccs/2769_4095,310,LowConfidence,-
DepMap_v1v2combined_KIJK.fastq,C15orf57:CBX3,chr15,40562776,-,chr7,26201769,+,Inf,0,5,NA,FALSE,TRUE,m84056_230620_213907_s3/100337669/ccs/4440_4848,293,LowConfidence,-
