ID	Gene1	Gene2	NumSupp	Chrom1	Breakpoint1	Chrom2	Breakpoint2	SupportingReads
GF01	GTF2F1	ENPP3	10	chr19	6381696	chr6	131740221	dd4b5186-b0e5-cd89-9220-e1bee5b21756,3f974482-ef21-1001-52b3-8dbc54596495,438e1e7b-874d-b54d-5986-8aed332ac122,845069f6-01ae-14de-d493-7fdc43d28cf9,2f6285c4-8594-0e54-703f-d77c75cdfaa8,4fcd1913-eac8-55dd-8e5f-c9210ae99eac,d1fbdb38-2f21-f0a8-0044-0cde128f1ace
GF02	PRDM7	KCNJ3	14	chr16	90061450	chr2	154854724	f726ca89-3d55-8b88-e989-1a86d8d7943e,41c609df-9cbc-b4d1-90d8-562368149516,9d9ece76-7ac2-3826-a6cd-78ea3cd5f088,b2ead62a-d1ec-6a29-f26e-1c249af61b71,ef7789f2-1ff8-f85a-bcfe-a78e5ebce971,00127421-0e6c-4347-eb90-c29fa8621181,4b47f23a-23a4-075e-80fd-7016cf29c7d5,ae4b285c-b9f9-b699-ee20-ce2f6eab2f3f,d582c45b-6573-f9fe-a201-06805a23d742,6364465d-b55b-c316-7bdf-8e0b335e3103
GF03	CCT2	ZNF530	23	chr12	69586748	chr19	57600133	fbc68d78-cbe9-981a-57e1-1673c6001dfc,0f63d159-7371-0fbb-0098-ae6eacc7756a,246689fd-e71b-9633-984a-fa6374181a45,25319b9c-8134-7220-269f-32ec4baf2e10,25b7bb21-829c-fa58-0544-f3fe7619258c,66618a55-702b-bf14-e0a6-54f5dbfa2fd9,6eae101f-315b-cee6-74d8-8def0c3d87fa,994d9bb2-667e-eb69-b590-d4d8890baaf8,b52b0f18-7ad3-fde6-c90c-4f23c74fcc5a,bd2a6cb8-5c8c-140b-576d-7c87178c22b5,bda19b9a-8f55-b818-61fe-446ccbd3a0bf,bfff3803-7131-3d23-23e5-1dcc294594c6,b0a8a4f7-6b4e-1d04-a075-f4ce39f7df61,f108e9dc-8a42-5ec4-22bd-1b84b6c1dc65,e52492d8-40de-d83b-8608-1468e22ae596,001e28bf-e82f-0921-4854-51388a4af356,46e8846f-86d5-8672-e053-ee31b377a588
GF04	GINM1	ASAH1	7	chr6	149572340	chr8	18063231	dc503741-882c-92e1-eb54-f0c48966388c,2626182c-1a89-9b28-5df1-a3ae315baaf9,5ee190aa-0a9e-e5c6-f0e3-15880c760610,7a19f3b7-3b08-db85-f820-1813f152b436,dc2937df-07aa-0e2f-9c2a-4b06a8321e09,4408d50d-da85-86b9-2ccd-69d953516fe8,91f0c928-c5ba-8921-1b3e-0517d0d4929f
GF05	CWC27	RP1L1	40	chr5	64782025	chr8	10608981	fcf0ffbf-02f6-bb4c-64aa-790f6b3b876a,15d4563d-f63b-aaf7-7868-9e902a6b7e30,46b4b578-3054-d653-119d-5093bab97a8b,5bdfa1d2-a4f1-95ae-88e7-7e98bdf2f55e,6fa18885-9ef0-baa3-3976-dd94fc822929,7232852f-375d-05fd-7dc5-4b3139c5a685,72dbfa41-1ece-0bff-a3bc-168103d33971,880713c1-aeca-b0f6-3b91-5a76e39d328d,9500b10c-6f98-3b17-df02-bc4d03aef646,9a22fc35-5f49-2bbd-627d-72d6e4aff828,aed292fa-c6d7-aa4d-923b-77f6e394b73f,b4003515-9f35-79c7-e724-6108c4f84463,b47d4aad-467f-8171-6d43-ba2cbd40ae29,b702af24-51cf-a1d4-aaca-4683e863c1c2,d2e4a719-23fc-1382-3623-69d59164cddd,e3a94e64-9dc9-31f5-025b-95458957b2f8,e918c210-3fce-87f6-d43f-6bc416b8fa67,fb718019-b386-7b99-1294-f2f8331c39f5,0080793f-c790-56d1-bb67-d3795ade7a7f,ca3fd5cf-3a72-6145-7d22-c5173c2ef6cb,dc9589be-6658-1e30-36cc-198f0cefb416,f6835522-eb56-066c-3cdd-283ebb2cc287,9990052a-d172-913c-5ce0-859a7602f2b0,e02f0566-4804-19c6-4798-aeee34d3dd89,f2073085-ddf4-286a-4e41-ab5ddaefc8b9,c4d7b7d8-9842-d585-419c-8b4dce2b459c,5dfdad95-3229-438d-83a4-d94e54ccc01a,cbb0523b-59fd-e685-d123-a204f0329841,f204120f-095c-cf7c-dc7f-02df82d39dbf,8e3c39e6-c5bc-153d-73ea-82ff3cc91eb6,ee77a1ec-fb49-a941-df59-98f8179895c1,bcfce355-5b0d-1f0a-14be-fc9a54aa77c7,ee4cce41-689c-e0e6-32a2-242bf18783cb,1bd4969a-49ef-efc5-2a4d-1289a101e4c8,33220c05-d120-430e-6f42-304ec17ce4ac,63d66beb-c73f-6c9e-a00f-b3f37c47ad23,718a7c03-1a13-9849-cede-b4565b3ba70e,e91c5559-4c00-c184-0527-25759724c7c5,47e35ce2-6a59-3a6b-b7a1-2740b64cbd0b,4ac4c299-d2af-96a7-9570-2c9255cf645f
GF06	RP11-307N16.6	TCEAL5	18	chr13	24316169	chrX	103274591	c6fb34e0-3547-b309-a36e-ab0adca82ba5,0abdf513-2eae-ccd6-b5f9-c01bab256d31,30a0af1c-7bf0-4f4a-2c72-efd747107435,645b0ac0-861f-84db-38c5-1f26b2f40fd9,7907db3a-8f63-315a-be7b-d1de2fde439d,812cb1ea-4334-2697-b8fa-264396ac94d5,8447d991-7745-1d86-4e21-08925931fbad,949ee4ba-3b66-6415-dda4-ef02f85cb270,a347538f-6951-ff6c-9266-6a89f634f7e4,b227205b-c6ef-38e5-07ab-53760d0aa6c0,bb971d67-4a83-370d-ebac-81d7b378d411,bf0d5aff-7b7d-17ed-0c6e-d0521de8e3e3,562e25a4-5906-af78-4add-19c551fbec2f,86e2bfa1-8c8a-7bfc-92dc-0a960d5e2f85,c677bc66-4bfe-b4e8-b74e-16152707956e
GF07	UGT1A8	TEK	9	chr2	233772259	chr9	27173361	c4d5b221-f7e1-81ac-52c5-c53815a24e98,00927fed-5dba-d4d9-9e6a-58b8105fa9a0,079ea114-26d8-ac8a-906f-bbb8364b5c8e,0ebc0c85-595a-d057-9e0a-82e87cf79f41,685f56a8-f45a-9e46-8f21-044261103faa,8033b9a0-0ac3-e509-9b19-48912685e506,9d01a4f4-3c01-5940-0a40-307d32c9ea91,1d28aac4-72c7-9f01-8756-3137d65975ba,b57b5f17-0303-4c43-b8b2-b804d5ed8fef
GF08	FGF6	KMT2E	41	chr12	4445224	chr7	105078845	ffbef85a-804d-8f1e-2233-4368d8af1467,2a559a74-55d5-e6b2-8292-b19ed1d390cf,3a43891f-cd11-a73b-6bad-712033caefff,3bef4552-af49-bde5-5050-ef2b428e7e88,9f669968-c714-a6b1-204a-b2528db50401,a3aa2bab-7ed0-c5ff-43ac-c30136b53561,b98b638d-86a6-2671-bef7-b2858cb6059f,c585c494-c699-7b83-c4b2-692384f8282b,c8f20e0d-31f9-fc9a-3a1f-9863e03511c6,dd948789-d9d2-fae2-c7fc-23c8274857a4,dec370b8-07ce-0295-93d4-50c78cf1c886,dfe74f94-4e92-4eec-3062-56510d26c7dd,e66ba318-e526-f75c-a559-91d1c20aa4cc,ece8036e-1700-e91e-b5ad-e9acf38a84b5,f22983d8-b3dd-57b3-1d10-9b45ff7a4c76,0dc981a1-cf62-3586-2a17-96788744fec9,44cbe438-a5ac-a8b4-76c3-1397f6f1fb1d,573733b1-e950-f8ec-fd4a-ecdbf3b0693f,70c249e0-878a-5198-c29b-13046b79b654,722b6207-30a3-70e3-4830-3ae38ec5f7d2,7fc2983b-ffc2-6f52-6b28-cc81d4725154,8565d22e-ef44-729a-6e0a-06bae18f02c3,8d9e93a9-1025-a931-d07a-817bfbc9f35d,92d408c3-4d5f-4e86-d2bb-64eaeeb770a6,95a01734-286f-3c04-d578-8a5e72dd5156,a26b470b-779f-e6d6-0d9e-3f1e1b0f56e1,1f6f0d73-05d2-7dc9-c8f5-b71cead3702a,3a424ec9-79c6-6469-3f16-1cbbd66ce756,4348a07c-31c9-4ed0-2572-cc0582907e0a,c4990e5d-0521-df77-0bb7-15f61c572c65,d472f3a2-dc62-4239-f567-d51e4e063eee,dde7ba3a-e503-b769-1624-a028cf60ec19,e21a42c3-bfb3-df3b-ae11-17a49268e349,815f8743-051d-6315-5ebe-c5d4699e3f13,273af369-a3a2-7750-dadd-a5687a50c30a,4c446702-da47-a997-e6fb-af4e2d184d40
GF010	KCNAB2	TMEM65	22	chr1	6094484	chr8	124330786	f1c44723-806b-3043-6d7d-f8d760721e94,15a6bbf4-18de-bebf-cfc9-6383691d3391,24771dae-69fc-7386-9aee-706e7fd3b1d3,2ff80189-4408-29cf-58e5-5dec52d07a7b,361a9b8f-e6ca-667f-d3d9-a3b68f30f6ee,78281509-4f33-99d2-ce7d-3e890a7a85b5,87fa5571-a13a-d9cc-ce96-e48c65b34121,8ae85ff1-7f5b-b4c2-01ba-b50db1603ab6,a88feb0d-c644-5b2e-9aa5-72e27c678669,a8a399da-2860-a47a-4916-514082baabf7,ab8dca09-c143-0498-2d2c-4713cd687f34,baf1af39-acab-e18b-adb5-1c77b72a125f,d138f3e8-ce13-9e5b-2c46-6b1c8aafc29a,ed1c7293-f6d0-a6d6-14dd-1d4e89f81667,b24d1a4a-8edd-43a2-71fb-02f8d7472e13
GF012	KCNAB2	TMEM65	4	chr1	6094484	chr8	124327410	7e51330c-a306-284a-f317-2f759c3c0e74,00d8e760-6641-c115-f491-c506ca8274fc,32c36e50-ff72-8ad4-ebf2-d3f47fd2cece,20237048-1fd8-c8a3-0c71-81359a0ebf46
