LeftBreakPoint	RightBreakPoint	FusionName	Breakpoint	BreakpointLexSort	FusionLexSort	num_LR	sim_data_name
chr10:50836074	chr12:121641041	A1CF--ORAI1	chr10:50836074--chr12:121641041	chr10:50836074--chr12:121641041	A1CF--ORAI1	5	cov5_pass5
chr1:204409492	chr6:127148648	PPP1R15B--RSPO3	chr1:204409492--chr6:127148648	chr1:204409492--chr6:127148648	PPP1R15B--RSPO3	5	cov5_pass5
chr5:123036509	chr1:34794197	PPIC--GJA4	chr5:123036509--chr1:34794197	chr1:34794197--chr5:123036509	GJA4--PPIC	5	cov5_pass5
chr1:42666587	chr10:327176	PPIH--DIP2C	chr1:42666587--chr10:327176	chr10:327176--chr1:42666587	DIP2C--PPIH	5	cov5_pass5
chr16:4890728	chr19:39734493	PPL--CLC	chr16:4890728--chr19:39734493	chr16:4890728--chr19:39734493	CLC--PPL	5	cov5_pass5
chr17:60648082	chr10:26748745	PPM1D--ABI1	chr17:60648082--chr10:26748745	chr10:26748745--chr17:60648082	ABI1--PPM1D	5	cov5_pass5
chr2:28776982	chr16:58546414	PPP1CB--CNOT1	chr2:28776982--chr16:58546414	chr16:58546414--chr2:28776982	CNOT1--PPP1CB	5	cov5_pass5
chr2:28776982	chr2:229155964	PPP1CB--PID1	chr2:28776982--chr2:229155964	chr2:229155964--chr2:28776982	PID1--PPP1CB	5	cov5_pass5
chr11:64245204	chr21:14609568	PPP1R14B--AF165138.7	chr11:64245204--chr21:14609568	chr11:64245204--chr21:14609568	AF165138.7--PPP1R14B	5	cov5_pass5
chr1:204409492	chr14:50635384	PPP1R15B--SAV1	chr1:204409492--chr14:50635384	chr14:50635384--chr1:204409492	PPP1R15B--SAV1	5	cov5_pass5
chr1:40078560	chr22:41468147	PPT1--PHF5A	chr1:40078560--chr22:41468147	chr1:40078560--chr22:41468147	PHF5A--PPT1	5	cov5_pass5
chr2:182063791	chr2:218262680	PPP1R1C--GPBAR1	chr2:182063791--chr2:218262680	chr2:182063791--chr2:218262680	GPBAR1--PPP1R1C	5	cov5_pass5
chr2:182061479	chr20:57333188	PPP1R1C--SPO11	chr2:182061479--chr20:57333188	chr20:57333188--chr2:182061479	PPP1R1C--SPO11	5	cov5_pass5
