#name	spanning reads	mapping score(1 is good)	seq agreement near breakpoint (1 is good)	avg frac of reads at loci in fusion	3' breakpoint	5' breakpoint
IGHG3--IGHV3-48	462	0.984	0.647	0.438	3'-IGHV3-48-chr14-106538344-0.826	5'-IGHG3-chr14-105769103-0.049
RET--KIF5B	67	1.0	1.0	0.265	3'-KIF5B-chr10-32017142-0.068	5'-RET-chr10-43116730-0.462
FGFR3--TACC3	58	1.0	0.994	0.371	3'-TACC3-chr4-1739701-0.145	5'-FGFR3-chr4-1806936-0.598
TPM3--NTRK1	37	0.918	0.99	0.162	3'-NTRK1-chr1-156876172-0.316	5'-TPM3-chr1-154173203-0.008
EML4--ALK	26	1.0	0.985	0.411	3'-ALK-chr2-29223530-0.765	5'-EML4-chr2-42295520-0.056
ETV6--NTRK3	20	1.0	1.0	0.445	3'-NTRK3-chr15-87940756-0.87	5'-ETV6-chr12-11869969-0.02
ARHGEF3--CNTNAP2	4	1.0	0.975	0.513	3'-CNTNAP2-chr7-147842581-1.0	5'-ARHGEF3-chr3-56731592-0.026
PARP8--MYO3B	3	1.0	1.0	0.011	3'-MYO3B-chr2-170446634-0.017	5'-PARP8-chr5-50829389-0.005
RPLP2--HIBCH	3	1.0	1.0	0.003	3'-HIBCH-chr2-190236735-0.005	5'-RPLP2-chr11-811028-0.001
RPS27L--NMD3	3	1.0	1.0	0.007	3'-NMD3-chr3-161247521-0.011	5'-RPS27L-chr15-63155145-0.003
ANKRD17--FRYL	3	1.0	1.0	0.005	3'-FRYL-chr4-48506390-0.006	5'-ANKRD17-chr4-73195701-0.004
CGAS--KCNQ5	3	1.0	1.0	0.019	3'-KCNQ5-chr6-72746094-0.001	5'-CGAS-chr6-73419020-0.037
CUL1--NUP205	3	1.0	1.0	0.015	3'-NUP205-chr7-135613099-0.021	5'-CUL1-chr7-148739679-0.01
SHARPIN--ABCC4	3	1.0	0.95	0.012	3'-ABCC4-chr13-95231400-0.008	5'-SHARPIN-chr8-144102296-0.016
VDR--HSD17B12	3	1.0	1.0	0.139	3'-HSD17B12-chr11-43829881-0.004	5'-VDR-chr12-47843057-0.273
NQO1--MS4A1	3	1.0	0.9	0.005	3'-MS4A1-chr11-60469181-0.001	5'-NQO1-chr16-69726560-0.009
SRCAP--RTF1	3	1.0	0.992	0.119	3'-RTF1-chr15-41464834-0.024	5'-SRCAP-chr16-30707360-0.214
