#name	spanning reads	mapping score(1 is good)	seq agreement near breakpoint (1 is good)	avg frac of reads at loci in fusion	3' breakpoint	5' breakpoint
TTF1--PTPRT	87	1.283	0.776	0.796	3'-PTPRT-chr20-42791192-0.604	5'-TTF1-chr9-132375620-0.989
EVC--PTGES2-AS1	109	0.997	0.675	0.898	3'-PTGES2-AS1-chr9-128128511-0.872	5'-EVC-chr4-5748306-0.924
ZKSCAN1--ARHGEF2	108	1.0	0.847	0.996	3'-ARHGEF2-chr1-155965415-1.0	5'-ZKSCAN1-chr7-100029952-0.991
TMEM204--BMP6	108	0.999	0.867	0.96	3'-BMP6-chr6-7861450-0.956	5'-TMEM204-chr16-1534555-0.964
KCNG4--NLRP7	107	1.0	0.79	0.991	3'-NLRP7-chr19-54923876-1.0	5'-KCNG4-chr16-84236727-0.982
RPUSD2--BAIAP3	104	1.0	0.843	0.995	3'-BAIAP3-chr16-1344966-0.99	5'-RPUSD2-chr15-40569299-1.0
KIAA1257--SEMA3E	104	1.0	0.799	0.972	3'-SEMA3E-chr7-83385433-1.0	5'-KIAA1257-chr3-128976977-0.945
C17orf98--MCM10	103	1.0	0.819	0.933	3'-MCM10-chr10-13170919-0.912	5'-C17orf98-chr17-38841182-0.954
ACTR6--NME9	104	0.977	0.869	0.955	3'-NME9-chr3-138306481-0.929	5'-ACTR6-chr12-100199230-0.981
APOH--GABRR1	103	0.993	0.844	0.93	3'-GABRR1-chr6-89190247-0.888	5'-APOH-chr17-66228199-0.972
ZNF165--SEC23B	99	1.0	0.868	0.966	3'-SEC23B-chr20-18546033-0.971	5'-ZNF165-chr6-28085471-0.961
NELFB--TMEM123	99	1.0	0.818	0.966	3'-TMEM123-chr11-102401538-0.961	5'-NELFB-chr9-137273546-0.971
EXOSC2--AGTPBP1	99	1.0	0.814	0.73	3'-AGTPBP1-chr9-85588480-0.49	5'-EXOSC2-chr9-130697628-0.971
TEX35--ANO10	97	0.996	0.873	0.926	3'-ANO10-chr3-43605713-0.97	5'-TEX35-chr1-178545210-0.882
COX10--SHF	97	0.999	0.836	0.98	3'-SHF-chr15-45167229-0.96	5'-COX10-chr17-14069649-1.0
UBASH3A--ZFP14	96	1.0	0.901	0.846	3'-ZFP14-chr19-36367974-0.768	5'-UBASH3A-chr21-42418609-0.923
TSGA13--HMGCL	95	1.0	0.777	0.974	3'-HMGCL-chr1-23801884-0.969	5'-TSGA13-chr7-130686568-0.979
ENDOV--RAB20	96	1.0	0.88	0.893	3'-RAB20-chr13-110524199-0.787	5'-ENDOV-chr17-80415822-1.0
KPNA7--DCAF5	95	1.0	0.817	0.995	3'-DCAF5-chr14-69118283-1.0	5'-KPNA7-chr7-99193018-0.99
XRRA1--HNF4G	95	1.0	0.848	0.95	3'-HNF4G-chr8-75543805-0.95	5'-XRRA1-chr11-74906238-0.95
NUDT12--PPHLN1	95	0.999	0.813	0.886	3'-PPHLN1-chr12-42399000-0.96	5'-NUDT12-chr5-103552418-0.812
MPHOSPH8--SAMD1	97	0.973	0.737	0.958	3'-SAMD1-chr19-14088428-1.0	5'-MPHOSPH8-chr13-19659120-0.915
FAM71E1--FAM110D	92	1.0	0.809	0.95	3'-FAM110D-chr1-26161207-0.911	5'-FAM71E1-chr19-50476301-0.989
AC073610.5--SNX20	92	1.0	0.833	0.99	3'-SNX20-chr16-50681352-1.0	5'-AC073610.5-chr12-48938553-0.979
TRNAU1AP--KLC2	91	1.0	0.764	0.968	3'-KLC2-chr11-66258583-0.968	5'-TRNAU1AP-chr1-28567413-0.968
FBXO36--SARS	91	1.0	0.848	0.979	3'-SARS-chr1-109238148-0.958	5'-FBXO36-chr2-229976350-1.0
CLEC4A--KHDRBS2	90	1.0	0.856	0.924	3'-KHDRBS2-chr6-61679959-0.891	5'-CLEC4A-chr12-8136904-0.957
OLFML2B--NMRK1	89	1.0	0.772	0.923	3'-NMRK1-chr9-75070044-0.927	5'-OLFML2B-chr1-161997824-0.918
VEGFC--REN	89	1.0	0.826	0.972	3'-REN-chr1-204156797-0.978	5'-VEGFC-chr4-176792727-0.967
NDUFAF1--BCO2	88	1.0	0.817	0.948	3'-BCO2-chr11-112213862-0.978	5'-NDUFAF1-chr15-41394359-0.917
PRR5L--KCNMB2	60	1.475	0.816	0.744	3'-KCNMB2-chr3-178825757-0.504	5'-PRR5L-chr11-36403379-0.984
SHFM1--ZBTB40	86	1.0	0.837	0.787	3'-ZBTB40-chr1-22491399-0.705	5'-SHFM1-chr7-96673738-0.869
