sample,fusion genes,chrom1,base1,strand1,chrom2,base2,strand2,gap (kb),spanning pairs,spanning reads,inframe,aligns,rearrangement,contig,contig break,classification,known
DepMap_AS010_v1_SKBR3.bam.fastq,CYTH1:EIF3H,chr17,78782202,-,chr8,116756019,-,Inf,0,411,FALSE,TRUE,TRUE,m84056_230620_213907_s3/101125358/ccs/2391_3814,93,HighConfidence,Yes
DepMap_AS010_v1_SKBR3.bam.fastq,CYTH1:EIF3H,chr17,78782202,-,chr8,116726172,-,Inf,0,138,FALSE,TRUE,TRUE,m84056_230620_213907_s3/100469854/ccs/4871_6134,98,HighConfidence,Yes
DepMap_AS010_v1_SKBR3.bam.fastq,TATDN1:GSDMB,chr8,124538928,-,chr17,39909924,-,Inf,0,110,FALSE,TRUE,TRUE,m84056_230620_213907_s3/103679226/ccs/44_1155,126,HighConfidence,Yes
DepMap_AS010_v1_SKBR3.bam.fastq,CYTH1:EIF3H,chr17,78782202,-,chr8,116658980,-,Inf,0,95,TRUE,TRUE,TRUE,m84056_230620_213907_s3/103875880/ccs/7918_8992,109,HighConfidence,Yes
DepMap_AS010_v1_SKBR3.bam.fastq,SUMF1:LRRFIP2,chr3,4376330,-,chr3,37129149,-,32752.804,0,53,TRUE,TRUE,TRUE,m84056_230620_213907_s3/103810016/ccs/7206_8678,1042,HighConfidence,-
DepMap_AS010_v1_SKBR3.bam.fastq,CYTH1:EIF3H,chr17,78782202,-,chr8,116755797,-,Inf,0,41,FALSE,TRUE,TRUE,m84056_230620_213907_s3/100469694/ccs/2950_4296,93,HighConfidence,Yes
DepMap_AS010_v1_SKBR3.bam.fastq,TAF2:COLEC10,chr8,119795532,-,chr8,119102348,+,693.185,0,40,FALSE,TRUE,TRUE,m84056_230620_213907_s3/102040952/ccs/4785_9175,1470,HighConfidence,-
DepMap_AS010_v1_SKBR3.bam.fastq,RARA:PKIA,chr17,40309286,+,chr8,78572811,+,Inf,0,36,FALSE,TRUE,TRUE,m84056_230620_213907_s3/106497406/ccs/5520_7424,94,HighConfidence,Yes
DepMap_AS010_v1_SKBR3.bam.fastq,TATDN1:GSDMB,chr8,124538928,-,chr17,39905985,-,Inf,0,28,FALSE,TRUE,TRUE,m84056_230620_213907_s3/108071134/ccs/1982_2715,125,HighConfidence,Yes
DepMap_AS010_v1_SKBR3.bam.fastq,NCOA2:CALB1,chr8,70403700,-,chr8,90082102,-,19678.399,0,22,FALSE,TRUE,TRUE,m84056_230620_213907_s3/111085684/ccs/44_2453,108,HighConfidence,-
DepMap_AS010_v1_SKBR3.bam.fastq,KLHDC2:SNTB1,chr14,49782594,+,chr8,120548958,-,Inf,0,21,TRUE,TRUE,TRUE,m84056_230620_213907_s3/103286232/ccs/6803_10825,1417,HighConfidence,Yes
DepMap_AS010_v1_SKBR3.bam.fastq,SAMD12:MRPL13,chr8,118439832,-,chr8,120443308,-,2003.474,0,19,FALSE,TRUE,TRUE,m84056_230620_213907_s3/157880372/ccs/823_2091,470,HighConfidence,-
DepMap_AS010_v1_SKBR3.bam.fastq,SAMD12:MRPL13,chr8,118439832,-,chr8,120432123,-,1992.285,0,18,TRUE,TRUE,TRUE,m84056_230620_213907_s3/101848010/ccs/4843_6004,487,HighConfidence,-
DepMap_AS010_v1_SKBR3.bam.fastq,TBC1D31:ZNF704,chr8,123084340,+,chr8,80821615,-,42262.722,0,15,TRUE,TRUE,TRUE,m84056_230620_213907_s3/116527659/ccs/2239_4487,535,HighConfidence,Yes
DepMap_AS010_v1_SKBR3.bam.fastq,TATDN1:GSDMB,chr8,124538928,-,chr17,39906271,-,Inf,0,14,TRUE,TRUE,TRUE,m84056_230620_213907_s3/121704771/ccs/664_1563,125,HighConfidence,Yes
DepMap_AS010_v1_SKBR3.bam.fastq,CSNK2A1:PREX1,chr20,527933,-,chr20,48632639,-,48104.705,0,11,FALSE,TRUE,TRUE,m84056_230620_213907_s3/101516433/ccs/6317_7124,215,HighConfidence,-
DepMap_AS010_v1_SKBR3.bam.fastq,SAMD12:MRPL13,chr8,118439832,-,chr8,120425366,-,1985.529,0,9,FALSE,TRUE,TRUE,m84056_230620_213907_s3/142086282/ccs/2032_3035,424,HighConfidence,-
DepMap_AS010_v1_SKBR3.bam.fastq,CYTH1:EIF3H,chr17,78782202,-,chr8,116656005,-,Inf,0,8,FALSE,TRUE,TRUE,m84056_230620_213907_s3/155455387/ccs/8699_9504,98,HighConfidence,Yes
DepMap_AS010_v1_SKBR3.bam.fastq,SAMD12:MRPL13,chr8,118580715,-,chr8,120443308,-,1862.59,0,7,TRUE,TRUE,TRUE,m84056_230620_213907_s3/128978401/ccs/4653_5773,323,HighConfidence,-
DepMap_AS010_v1_SKBR3.bam.fastq,RARA:PKIA,chr17,40309286,+,chr8,78598358,+,Inf,0,6,FALSE,TRUE,TRUE,m84056_230620_213907_s3/140907243/ccs/3260_7104,110,HighConfidence,Yes
DepMap_AS010_v1_SKBR3.bam.fastq,SUMF1:LRRFIP2,chr3,4410865,-,chr3,37129149,-,32718.283,0,5,TRUE,TRUE,TRUE,m84056_230620_213907_s3/197264288/ccs/4267_7173,973,HighConfidence,-
DepMap_AS010_v1_SKBR3.bam.fastq,TATDN1:GSDMB,chr8,124539025,-,chr17,39905985,-,Inf,0,5,FALSE,TRUE,TRUE,m84056_230620_213907_s3/104664413/ccs/4056_4803,83,HighConfidence,Yes
DepMap_AS010_v1_SKBR3.bam.fastq,CYTH1:EIF3H,chr17,78782202,-,chr8,116646603,-,Inf,0,4,FALSE,TRUE,TRUE,m84056_230620_213907_s3/251205065/ccs/7065_7650,108,HighConfidence,Yes
DepMap_AS010_v1_SKBR3.bam.fastq,TATDN1:GSDMB,chr8,124539025,-,chr17,39909924,-,Inf,0,4,FALSE,TRUE,TRUE,m84056_230620_213907_s3/13045006/ccs/905_2142,83,HighConfidence,Yes
DepMap_AS010_v1_SKBR3.bam.fastq,SAMD12:MRPL13,chr8,118580715,-,chr8,120425366,-,1844.649,0,3,FALSE,TRUE,TRUE,m84056_230620_213907_s3/187761606/ccs/5109_6014,327,HighConfidence,-
