sample,fusion genes,chrom1,base1,strand1,chrom2,base2,strand2,gap (kb),spanning pairs,spanning reads,inframe,aligns,rearrangement,contig,contig break,classification,known
DepMap_AS010_v2_MJ.bam.fastq,HBG2:HBE1,chr11,5505351,-,chr11,5270156,-,235.2,0,4,FALSE,TRUE,FALSE,m84060_230713_184442_s3/108136163/ccs/6746_7876,304,HighConfidence,-
DepMap_AS010_v2_MJ.bam.fastq,RN7SL1:IFI6,chr14,49586809,+,chr1,27666247,-,Inf,0,2,NA,FALSE,TRUE,m84063_230713_184949_s3/176559057/ccs/5930_6349,233,LowConfidence,-
DepMap_AS010_v2_MJ.bam.fastq,RN7SL1:RP11-618P17.4,chr14,49586811,+,chr19,34401870,+,Inf,0,2,NA,FALSE,TRUE,m84060_230713_184442_s3/195171442/ccs/4311_5094,233,LowConfidence,-
DepMap_AS010_v2_MJ.bam.fastq,C15orf57:CBX3,chr15,40562775,-,chr7,26201764,+,Inf,0,2,NA,FALSE,TRUE,m84063_230713_184949_s3/182586859/ccs/35_427,272,LowConfidence,-
DepMap_AS010_v2_MJ.bam.fastq,CREBRF:ATP6V0E1,chr5,173056479,+,chr5,173034399,+,22.077,0,1,FALSE,TRUE,TRUE,m84063_230713_184949_s3/64098679/ccs/2286_2904,130,PotentialTransSplicing,-
DepMap_AS010_v2_MJ.bam.fastq,XXbac-BPG294E21.9:PHF1,chr6,33454270,-,chr6,33412248,+,42.018,0,1,FALSE,TRUE,TRUE,m84063_230713_184949_s3/188158615/ccs/8247_10416,141,PotentialTransSplicing,-
DepMap_AS010_v2_MJ.bam.fastq,IVNS1ABP:SWT1,chr1,185316953,-,chr1,185271323,+,45.633,0,1,FALSE,TRUE,TRUE,m84063_230713_184949_s3/45288716/ccs/1210_2487,325,PotentialTransSplicing,-
DepMap_AS010_v2_MJ.bam.fastq,PCGF3:MYL5,chr4,731110,+,chr4,681893,+,49.21,0,1,FALSE,TRUE,TRUE,m84060_230713_184442_s3/74517856/ccs/599_1055,321,PotentialTransSplicing,Yes
DepMap_AS010_v2_MJ.bam.fastq,TFDP2:ATP1B3,chr3,141959674,-,chr3,141903620,+,56.056,0,1,TRUE,TRUE,TRUE,m84063_230713_184949_s3/99029367/ccs/6742_8812,847,PotentialTransSplicing,-
DepMap_AS010_v2_MJ.bam.fastq,BAD:FERMT3,chr11,64284182,-,chr11,64223048,+,61.142,0,1,FALSE,TRUE,TRUE,m84060_230713_184442_s3/185532954/ccs/7275_8209,221,PotentialTransSplicing,-
