#name	spanning reads	mapping score(1 is good)	seq agreement near breakpoint (1 is good)	avg frac of reads at loci in fusion	3' breakpoint	5' breakpoint
IGHV3-48--IGHG3	422	0.984	0.666	0.405	3'-IGHG3-chr14-105769103-0.055	5'-IGHV3-48-chr14-106538344-0.755
RET--KIF5B	67	1.0	1.0	0.265	3'-KIF5B-chr10-32017142-0.068	5'-RET-chr10-43116730-0.462
FGFR3--TACC3	58	1.0	0.994	0.376	3'-TACC3-chr4-1739701-0.153	5'-FGFR3-chr4-1806936-0.598
TPM3--NTRK1	37	0.918	0.99	0.162	3'-NTRK1-chr1-156876172-0.316	5'-TPM3-chr1-154173203-0.008
EML4--ALK	26	1.0	0.985	0.411	3'-ALK-chr2-29223530-0.765	5'-EML4-chr2-42295520-0.056
ETV6--NTRK3	20	1.0	1.0	0.445	3'-NTRK3-chr15-87940756-0.87	5'-ETV6-chr12-11869969-0.02
ARHGEF3--CNTNAP2	4	1.0	0.975	0.513	3'-CNTNAP2-chr7-147842581-1.0	5'-ARHGEF3-chr3-56731592-0.026
CNN2--SGMS1	4	1.0	1.0	0.007	3'-SGMS1-chr10-50330685-0.007	5'-CNN2-chr19-1035939-0.006
PARP8--MYO3B	3	1.0	1.0	0.011	3'-MYO3B-chr2-170446634-0.017	5'-PARP8-chr5-50829389-0.005
C19orf66--SLC25A12	3	1.0	1.0	0.011	3'-SLC25A12-chr2-171877425-0.014	5'-C19orf66-chr19-10088659-0.008
RPLP2--HIBCH	3	1.0	1.0	0.003	3'-HIBCH-chr2-190236735-0.005	5'-RPLP2-chr11-811028-0.001
RPS27L--NMD3	3	1.0	1.0	0.007	3'-NMD3-chr3-161247521-0.011	5'-RPS27L-chr15-63155145-0.003
ANKRD17--FRYL	3	1.0	1.0	0.005	3'-FRYL-chr4-48506390-0.006	5'-ANKRD17-chr4-73195701-0.004
MB21D1--KCNQ5	3	1.0	1.0	0.021	3'-KCNQ5-chr6-72746094-0.001	5'-MB21D1-chr6-73419020-0.041
ANKRD12--PRKAR1B	3	1.0	1.0	0.012	3'-PRKAR1B-chr7-608502-0.02	5'-ANKRD12-chr18-9195704-0.004
CUL1--NUP205	3	1.0	1.0	0.015	3'-NUP205-chr7-135613099-0.021	5'-CUL1-chr7-148739679-0.01
SHARPIN--ABCC4	3	1.0	0.95	0.008	3'-ABCC4-chr13-95231400-0.008	5'-SHARPIN-chr8-144102296-0.008
VDR--HSD17B12	3	1.0	1.0	0.139	3'-HSD17B12-chr11-43829881-0.004	5'-VDR-chr12-47843057-0.273
NQO1--MS4A1	3	1.0	0.9	0.005	3'-MS4A1-chr11-60469181-0.001	5'-NQO1-chr16-69726560-0.009
ZNF529--CPNE8	3	1.0	1.0	0.022	3'-CPNE8-chr12-38700334-0.006	5'-ZNF529-chr19-36551053-0.038
SRCAP--RTF1	3	1.0	0.992	0.028	3'-RTF1-chr15-41464834-0.024	5'-SRCAP-chr16-30707360-0.032
SLC27A1--BRD4	3	1.0	1.0	0.221	3'-BRD4-chr19-15273133-0.012	5'-SLC27A1-chr19-17470707-0.429
SRRM1P3--SRRM1	4	1.0	0.712	0.502	3'-SRRM1-chr1-24643291-0.005	5'-SRRM1P3-chrX-136985245-1.0
IRAK4--RNF207	2	1.0	1.0	0.028	3'-RNF207-chr1-6221296-0.037	5'-IRAK4-chr12-43759660-0.019
COX7A2--EXOSC10	2	1.0	1.0	0.006	3'-EXOSC10-chr1-11077072-0.01	5'-COX7A2-chr6-75240895-0.002
OTUD3--CCDC18	2	1.0	1.0	0.045	3'-CCDC18-chr1-93255439-0.007	5'-OTUD3-chr1-19912945-0.083
HP1BP3--SUMF1	2	1.0	1.0	0.007	3'-SUMF1-chr3-4353978-0.011	5'-HP1BP3-chr1-20743432-0.004
E2F2--ATG7	2	1.0	1.0	0.042	3'-ATG7-chr3-11400613-0.006	5'-E2F2-chr1-23507304-0.077
TLDC1--EYA3	2	1.0	1.0	0.025	3'-EYA3-chr1-28029646-0.009	5'-TLDC1-chr16-84504654-0.04
PTAFR--LY75	2	1.0	1.0	0.006	3'-LY75-chr2-159804274-0.006	5'-PTAFR-chr1-28176730-0.006
ZBTB8OS--PTP4A2	2	1.0	1.0	0.005	3'-PTP4A2-chr1-31919658-0.005	5'-ZBTB8OS-chr1-32650535-0.006
PPIEL--CASC5	2	1.0	1.0	0.505	3'-CASC5-chr15-40631705-0.01	5'-PPIEL-chr1-39551250-1.0
SLC2A1--MAP3K2	2	1.0	1.0	0.009	3'-MAP3K2-chr2-127384007-0.009	5'-SLC2A1-chr1-42957530-0.008
RYBP--ST3GAL3	2	1.0	1.0	0.017	3'-ST3GAL3-chr1-43777600-0.014	5'-RYBP-chr3-72395062-0.019
GPBP1L1--PTPN22	2	1.0	1.0	0.009	3'-PTPN22-chr1-113828683-0.01	5'-GPBP1L1-chr1-45686526-0.007
PRPF38A--TSR1	2	1.0	1.0	0.005	3'-TSR1-chr17-2336445-0.007	5'-PRPF38A-chr1-52418177-0.004
TTC4--APOOL	2	1.0	1.0	0.02	3'-APOOL-chrX-85089981-0.03	5'-TTC4-chr1-54742510-0.01
INADL--LHX4-AS1	2	1.0	1.0	0.005	3'-LHX4-AS1-chr1-180352431-0.004	5'-INADL-chr1-61760454-0.007
ZWILCH--INADL	2	1.0	1.0	0.007	3'-INADL-chr1-61915745-0.007	5'-ZWILCH-chr15-66546705-0.008
RABGGTB--COX20	2	1.0	1.0	0.007	3'-COX20-chr1-244845057-0.005	5'-RABGGTB-chr1-75788545-0.009
IFI44L--LONRF1	2	1.0	1.0	0.026	3'-LONRF1-chr8-12751519-0.051	5'-IFI44L-chr1-78621393-0.001
KANSL1--PKN2	2	1.0	1.0	0.005	3'-PKN2-chr1-88797126-0.005	5'-KANSL1-chr17-46148916-0.004
CCDC18--PPIL2	2	1.0	1.0	0.013	3'-PPIL2-chr22-21690397-0.019	5'-CCDC18-chr1-93217059-0.007
CD53--CDK5RAP2	2	1.0	1.0	0.004	3'-CDK5RAP2-chr9-120424943-0.006	5'-CD53-chr1-110893560-0.001
ADIPOR1--CEPT1	2	1.0	1.0	0.004	3'-CEPT1-chr1-111185102-0.004	5'-ADIPOR1-chr1-202958277-0.004
HERC4--TRIM45	2	1.0	1.0	0.089	3'-TRIM45-chr1-117111684-0.167	5'-HERC4-chr10-68070375-0.01
CTD-2349P21.5--MCL1	2	1.0	1.0	0.206	3'-MCL1-chr1-150575997-0.011	5'-CTD-2349P21.5-chr17-30731226-0.4
LIG1--ARNT	2	1.0	1.0	0.011	3'-ARNT-chr1-150823602-0.015	5'-LIG1-chr19-48147765-0.008
TXNDC11--THEM4	2	1.0	1.0	0.015	3'-THEM4-chr1-151874512-0.023	5'-TXNDC11-chr16-11737566-0.008
TPM3--BPTF	2	1.0	1.0	0.002	3'-BPTF-chr17-67874890-0.004	5'-TPM3-chr1-154176671-0.0
ZNF721--ASH1L	2	1.0	0.812	0.01	3'-ASH1L-chr1-155390700-0.003	5'-ZNF721-chr4-460195-0.017
AC009950.2--CAMSAP2	2	1.0	1.0	0.082	3'-CAMSAP2-chr1-200851119-0.031	5'-AC009950.2-chr2-230166006-0.133
LAX1--TBC1D20	2	1.0	1.0	0.065	3'-TBC1D20-chr20-436858-0.087	5'-LAX1-chr1-203775112-0.043
GTF2I--TSNAX	2	1.0	1.0	0.007	3'-TSNAX-chr1-231566524-0.008	5'-GTF2I-chr7-74659072-0.005
EXO1--RP11-17P16.1	2	1.0	0.85	0.264	3'-RP11-17P16.1-chr4-67609731-0.5	5'-EXO1-chr1-241850008-0.027
ITSN2--BRAF	2	1.0	1.0	0.003	3'-BRAF-chr7-140723584-0.003	5'-ITSN2-chr2-24300109-0.003
SEC61B--NCOA1	2	1.0	1.0	0.004	3'-NCOA1-chr2-24734660-0.006	5'-SEC61B-chr9-99223424-0.002
KIAA0100--LCLAT1	2	1.0	1.0	0.015	3'-LCLAT1-chr2-30538259-0.009	5'-KIAA0100-chr17-28623839-0.021
LINC01237--CRIM1	2	1.0	1.0	0.031	3'-CRIM1-chr2-36445173-0.005	5'-LINC01237-chr2-241882640-0.057
USP34--KCNQ5	2	1.0	1.0	0.003	3'-KCNQ5-chr6-72797518-0.001	5'-USP34-chr2-61358721-0.004
PTPN18--ANKRD23	2	1.0	1.0	0.077	3'-ANKRD23-chr2-96835057-0.111	5'-PTPN18-chr2-130374567-0.043
SLC20A1--WDR82	2	1.0	1.0	0.017	3'-WDR82-chr3-52256101-0.012	5'-SLC20A1-chr2-112652507-0.022
ACTR3--SPOPL	2	1.0	1.0	0.005	3'-SPOPL-chr2-138562863-0.009	5'-ACTR3-chr2-113918412-0.001
