sample	FusionName	Hg38_LeftBreakpoint	Hg38_RightBreakpoint	num_reads
rep1_cov50_pass5_sample3	TMEM132A--C8orf44	chr11:60936016	chr8:66679721	50
rep1_cov50_pass5_sample4	HEXDC--URGCP	chr17:82419883	chr7:43887816	49
rep1_cov50_pass5_sample1	PDILT--WRB	chr16:20369492	chr21:39391769	50
rep1_cov50_pass5_sample3	FHIT--BAG4	chr3:60536860	chr8:38209013	49
rep1_cov50_pass5_sample4	EFNB1--SERINC3	chrX:68838894	chr20:44504891	50
rep1_cov50_pass5_sample3	CKMT1B--MAGEA12	chr15:43596077	chrX:152736087	50
rep1_cov50_pass5_sample3	SNX9--ZNF623	chr6:157910025	chr8:143649898	50
rep1_cov50_pass5_sample2	SIK3--DMPK	chr11:116857810	chr19:45771928	50
rep1_cov50_pass5_sample4	CCL22--CCDC74A	chr16:57360560	chr2:131531664	50
rep1_cov50_pass5_sample4	NFATC3--SLITRK3	chr16:68167015	chr3:165190851	50
rep1_cov50_pass5_sample1	GPR108--TMEM95	chr19:6733845	chr17:7355838	50
rep1_cov50_pass5_sample4	DHX16--KCNG4	chr6:30659736	chr16:84223020	50
rep1_cov50_pass5_sample5	TRAF3IP3--TBR1	chr1:209775736	chr2:161417676	49
rep1_cov50_pass5_sample1	ZNF3--PRKD2	chr7:100075135	chr19:46714001	50
rep1_cov50_pass5_sample3	METTL2B--RASAL1	chr7:128488161	chr12:113100680	50
rep1_cov50_pass5_sample3	C13orf45--TPI1	chr13:75873972	chr12:6868864	50
rep1_cov50_pass5_sample3	TNFRSF6B--MAP3K4	chr20:63697191	chr6:161116850	50
rep1_cov50_pass5_sample5	ALKBH4--TMTC4	chr7:102464714	chr13:100636734	50
rep1_cov50_pass5_sample3	C10orf113--THBS3	chr10:21146342	chr1:155206406	49
rep1_cov50_pass5_sample4	GSTT2B--PMEPA1	chr22:23961020	chr20:57653086	50
rep1_cov50_pass5_sample5	RAB3A--CALR3	chr19:18202513	chr19:16484115	50
rep1_cov50_pass5_sample1	CXorf57--RBM17	chrX:106612723	chr10:6106141	50
