#name	spanning reads	mapping score(1 is good)	seq agreement near breakpoint (1 is good)	avg frac of reads at loci in fusion	3' breakpoint	5' breakpoint
CYTH1--EIF3H	800	0.999	0.688	0.522	3'-EIF3H-chr8-116756020-0.225	5'-CYTH1-chr17-78782197-0.819
RARA--PKIA	49	1.0	0.889	0.54	3'-PKIA-chr8-78572807-0.86	5'-RARA-chr17-40309286-0.22
KLHDC2--MTBP	21	1.0	1.0	0.081	3'-MTBP-chr8-120548959-0.128	5'-KLHDC2-chr14-49782595-0.034
MB21D2--RTP2	4	1.0	0.825	0.6	3'-RTP2-chr3-187699450-1.0	5'-MB21D2-chr3-192917629-0.2
STAU1--TOX2	4	1.0	0.919	0.228	3'-TOX2-chr20-43924293-0.444	5'-STAU1-chr20-49135832-0.011
DNAJC16--CCDC149	2	1.0	1.0	0.136	3'-CCDC149-chr4-24904296-0.154	5'-DNAJC16-chr1-15571013-0.118
DDOST--CRTAP	2	1.0	0.85	0.006	3'-CRTAP-chr3-33143158-0.009	5'-DDOST-chr1-20661367-0.003
DDOST--TAPBP	3	1.0	0.792	0.005	3'-TAPBP-chr6-33299696-0.007	5'-DDOST-chr1-20661377-0.004
GSPT1--ZC3H6	2	1.0	1.0	0.026	3'-ZC3H6-chr2-112340054-0.039	5'-GSPT1-chr16-11874418-0.013
PLEKHB2--RAB21	2	1.0	1.0	0.036	3'-RAB21-chr12-71786579-0.067	5'-PLEKHB2-chr2-131132943-0.004
ANKHD1--PCDH1	2	1.0	1.0	0.057	3'-PCDH1-chr5-141854438-0.1	5'-ANKHD1-chr5-140445975-0.013
HLA-E--TAPBP	2	1.0	1.0	0.004	3'-TAPBP-chr6-33299696-0.005	5'-HLA-E-chr6-30489511-0.003
FOXK1--RP4-769N13.7	2	1.0	0.95	0.527	3'-RP4-769N13.7-chrX-102612676-1.0	5'-FOXK1-chr7-4696115-0.054
TSPAN15--HNRNPA2B1	2	1.0	1.0	0.002	3'-HNRNPA2B1-chr7-26193601-0.001	5'-TSPAN15-chr10-69483734-0.003
YWHAG--MDH2	2	1.0	1.0	0.004	3'-MDH2-chr7-76066589-0.0	5'-YWHAG-chr7-76359017-0.008
COPS6--FTH1	2	1.0	1.0	0.001	3'-FTH1-chr11-61967631-0.0	5'-COPS6-chr7-100091939-0.001
NDUFAB1--MKLN1	2	1.0	1.0	0.007	3'-MKLN1-chr7-131437954-0.012	5'-NDUFAB1-chr16-23582329-0.001
KRT7--ULK3	2	1.0	1.0	0.015	3'-ULK3-chr15-74843147-0.03	5'-KRT7-chr12-52248920-0.0
MYL6--CDV3	2	0.95	1.0	0.017	3'-CDV3-chr3-133589400-0.033	5'-MYL6-chr12-56159622-0.0
PTGES3--PPP6R3	2	0.933	1.0	0.013	3'-PPP6R3-chr11-68482409-0.026	5'-PTGES3-chr12-56677287-0.001
ZNF385A--PCBP2	2	0.917	1.0	0.007	3'-PCBP2-chr12-53479794-0.002	5'-ZNF385A-chr12-54391298-0.012
RPL14--S100A16	2	1.096	0.575	0.001	3'-S100A16-chr1-153610091-0.0	5'-RPL14-chr3-40462029-0.001
CCNL2--PRRC2C	1	1.0	1.0	0.005	3'-PRRC2C-chr1-171524846-0.004	5'-CCNL2-chr1-1399334-0.007
C1orf86--C9orf3	1	1.0	1.0	0.004	3'-C9orf3-chr9-95087157-0.005	5'-C1orf86-chr1-2199290-0.002
TMEM51--RER1	1	1.0	1.0	0.042	3'-RER1-chr1-2403301-0.001	5'-TMEM51-chr1-15153954-0.083
TTC1--PANK4	1	1.0	1.0	0.009	3'-PANK4-chr1-2526596-0.014	5'-TTC1-chr5-160010842-0.004
TPRG1L--PTK2	1	1.0	1.0	0.057	3'-PTK2-chr8-141001282-0.037	5'-TPRG1L-chr1-3630126-0.077
ORC6--LRRC47	1	1.0	1.0	0.009	3'-LRRC47-chr1-3796509-0.011	5'-ORC6-chr16-46698388-0.008
NOL9--RSRP1	1	1.0	1.0	0.03	3'-RSRP1-chr1-25245156-0.033	5'-NOL9-chr1-6529393-0.027
RPL19--PARK7	1	1.0	1.0	0.001	3'-PARK7-chr1-7985280-0.001	5'-RPL19-chr17-39201321-0.0
PAPLN--ENO1	1	1.0	1.0	0.062	3'-ENO1-chr1-8864044-0.0	5'-PAPLN-chr14-73244696-0.125
ZNF260--GPR157	1	1.0	1.0	0.046	3'-GPR157-chr1-9129101-0.036	5'-ZNF260-chr19-36511273-0.056
NMNAT1--BCAS1	1	1.0	1.0	0.01	3'-BCAS1-chr20-53944445-0.002	5'-NMNAT1-chr1-9981358-0.019
PLOD1--RPL19	1	1.0	1.0	0.004	3'-RPL19-chr17-39204727-0.0	5'-PLOD1-chr1-11958536-0.007
TFRC--DHRS3	1	1.0	1.0	0.002	3'-DHRS3-chr1-12580667-0.003	5'-TFRC-chr3-196081990-0.001
EFHD2--PTPRF	1	1.0	1.0	0.019	3'-PTPRF-chr1-43553935-0.003	5'-EFHD2-chr1-15428838-0.036
FLJ37453--EXOSC7	1	1.0	1.0	0.028	3'-EXOSC7-chr3-44987562-0.004	5'-FLJ37453-chr1-15847514-0.053
SON--ZBTB17	1	1.0	1.0	0.02	3'-ZBTB17-chr1-15976103-0.038	5'-SON-chr21-33549564-0.002
ADAR--PADI2	1	1.0	1.0	0.004	3'-PADI2-chr1-17105003-0.004	5'-ADAR-chr1-154608204-0.004
RCC2--SOD2	1	1.0	1.0	0.007	3'-SOD2-chr6-159693241-0.005	5'-RCC2-chr1-17408207-0.008
MRTO4--PHKG1	1	1.0	1.0	0.015	3'-PHKG1-chr7-56080663-0.024	5'-MRTO4-chr1-19259124-0.005
PDCD4--CAMK2N1	1	1.0	1.0	0.014	3'-CAMK2N1-chr1-20483160-0.02	5'-PDCD4-chr10-110887697-0.009
CAMK2N1--SLC12A5	1	1.0	1.0	0.014	3'-SLC12A5-chr20-46023588-0.008	5'-CAMK2N1-chr1-20486241-0.02
DDOST--HSP90B1	1	1.0	1.0	0.001	3'-HSP90B1-chr12-103948870-0.0	5'-DDOST-chr1-20661365-0.001
DDOST--FTO	1	1.0	1.0	0.007	3'-FTO-chr16-54114456-0.013	5'-DDOST-chr1-20661385-0.001
DDOST--EIF2S3	1	1.0	1.0	0.003	3'-EIF2S3-chrX-24077969-0.004	5'-DDOST-chr1-20661385-0.001
DDOST--TUFT1	1	1.0	1.0	0.007	3'-TUFT1-chr1-151583575-0.012	5'-DDOST-chr1-20661474-0.001
RPL35--DDOST	1	1.0	1.0	0.001	3'-DDOST-chr1-20661524-0.001	5'-RPL35-chr9-124860227-0.0
TMED4--DDOST	1	1.0	0.5	0.001	3'-DDOST-chr1-20661369-0.001	5'-TMED4-chr7-44578732-0.001
DDOST--CAPNS1	1	1.0	1.0	0.004	3'-CAPNS1-chr19-36150352-0.006	5'-DDOST-chr1-20661365-0.001
HP1BP3--DBT	1	1.0	1.0	0.017	3'-DBT-chr1-100194442-0.03	5'-HP1BP3-chr1-20787314-0.005
IFITM2--ECE1	1	1.0	1.0	0.004	3'-ECE1-chr1-21345510-0.007	5'-IFITM2-chr11-309392-0.001
TAGLN2--WNT4	1	1.0	1.0	0.025	3'-WNT4-chr1-22120316-0.05	5'-TAGLN2-chr1-159925525-0.0
ZFP36L2--HNRNPR	1	1.0	1.0	0.003	3'-HNRNPR-chr1-23310346-0.002	5'-ZFP36L2-chr2-43226606-0.004
TPT1--RPL11	1	1.0	1.0	0.001	3'-RPL11-chr1-23696423-0.001	5'-TPT1-chr13-45341183-0.001
SRSF10--S100A11	1	1.0	0.5	0.002	3'-S100A11-chr1-152032708-0.0	5'-SRSF10-chr1-23980337-0.003
CDC73--SRRM1	1	1.0	1.0	0.01	3'-SRRM1-chr1-24669573-0.003	5'-CDC73-chr1-193122349-0.017
TMEM50A--CTSD	1	1.0	1.0	0.001	3'-CTSD-chr11-1754054-0.0	5'-TMEM50A-chr1-25360967-0.002
GSE1--MTFR1L	1	1.0	1.0	0.007	3'-MTFR1L-chr1-25832941-0.006	5'-GSE1-chr16-85634132-0.007
AUNIP--STAT3	1	1.0	1.0	0.009	3'-STAT3-chr17-42388477-0.001	5'-AUNIP-chr1-25834474-0.018
ZNF593--MAP1S	1	1.0	1.0	0.009	3'-MAP1S-chr19-17734510-0.016	5'-ZNF593-chr1-26170765-0.001
SNHG15--CNKSR1	1	1.0	1.0	0.052	3'-CNKSR1-chr1-26189879-0.1	5'-SNHG15-chr7-44986610-0.004
RPS6KA1--GOLGA4	1	1.0	1.0	0.024	3'-GOLGA4-chr3-37315500-0.006	5'-RPS6KA1-chr1-26571496-0.043
COMT--ARID1A	1	1.0	1.0	0.009	3'-ARID1A-chr1-26779425-0.017	5'-COMT-chr22-19968985-0.001
NUDC--CPSF2	1	1.0	1.0	0.014	3'-CPSF2-chr14-92164199-0.027	5'-NUDC-chr1-26946584-0.001
ANAPC16--EYA3	1	1.0	0.5	0.023	3'-EYA3-chr1-27971346-0.045	5'-ANAPC16-chr10-72216136-0.001
RCC1--ABHD11	1	1.0	1.0	0.002	3'-ABHD11-chr7-73736352-0.002	5'-RCC1-chr1-28509337-0.002
SNHG12--CD81	1	1.0	1.0	0.021	3'-CD81-chr11-2397395-0.006	5'-SNHG12-chr1-28581873-0.037
PTP4A2--PUM1	1	1.0	1.0	0.009	3'-PUM1-chr1-31065693-0.011	5'-PTP4A2-chr1-31911828-0.007
TINAGL1--AAK1	1	1.0	1.0	0.013	3'-AAK1-chr2-69459397-0.024	5'-TINAGL1-chr1-31587438-0.003
DCAF7--BAI2	1	1.0	1.0	0.103	3'-BAI2-chr1-31731292-0.2	5'-DCAF7-chr17-63578620-0.005
EIF3I--AFMID	1	1.0	1.0	0.002	3'-AFMID-chr17-78207695-0.002	5'-EIF3I-chr1-32231256-0.001
EIF3I--TES	1	1.0	1.0	0.005	3'-TES-chr7-116258759-0.009	5'-EIF3I-chr1-32231378-0.001
EIF3I--CHP1	1	1.0	1.0	0.004	3'-CHP1-chr15-41281879-0.006	5'-EIF3I-chr1-32231218-0.001
EIF3I--GUSBP1	1	1.0	1.0	0.051	3'-GUSBP1-chr5-21475945-0.1	5'-EIF3I-chr1-32231346-0.001
MIEN1--EIF3I	1	1.0	1.0	0.001	3'-EIF3I-chr1-32231491-0.001	5'-MIEN1-chr17-39730480-0.0
MARCKSL1--EBNA1BP2	1	1.0	1.0	0.001	3'-EBNA1BP2-chr1-43172272-0.001	5'-MARCKSL1-chr1-32335996-0.001
C20orf24--MARCKSL1	1	1.0	1.0	0.001	3'-MARCKSL1-chr1-32336233-0.001	5'-C20orf24-chr20-36612553-0.001
MARCKSL1--RAC1	1	1.0	1.0	0.001	3'-RAC1-chr7-6402692-0.0	5'-MARCKSL1-chr1-32336233-0.001
MAN1A2--YARS	1	1.0	1.0	0.006	3'-YARS-chr1-32787187-0.004	5'-MAN1A2-chr1-117369717-0.008
