#name	spanning reads	mapping score(1 is good)	seq agreement near breakpoint (1 is good)	avg frac of reads at loci in fusion	3' breakpoint	5' breakpoint
C16orf87--ORC6	28	1.0	0.59	0.115	3'-ORC6-chr16-46698392-0.063	5'-C16orf87-chr16-46824384-0.166
COMMD10--AP3S1	14	1.0	1.0	0.231	3'-AP3S1-chr5-115866667-0.4	5'-COMMD10-chr5-116134178-0.062
ALDOC--PHF12	7	1.0	0.702	0.142	3'-PHF12-chr17-28945866-0.269	5'-ALDOC-chr17-28576895-0.015
RP11-408A13.2--NFIB	5	1.0	0.85	0.678	3'-NFIB-chr9-14307521-0.357	5'-RP11-408A13.2-chr9-14531945-1.0
C10orf76--KCNIP2	3	1.0	0.9	0.59	3'-KCNIP2-chr10-101829200-0.429	5'-C10orf76-chr10-102040012-0.75
FTH1--SEC63	3	0.894	0.867	0.003	3'-SEC63-chr6-107958122-0.006	5'-FTH1-chr11-61967631-0.0
JAK1--S100PBP	2	1.0	1.0	0.012	3'-S100PBP-chr1-32856183-0.014	5'-JAK1-chr1-64966519-0.01
ZNHIT6--DBNDD2	2	1.0	1.0	0.012	3'-DBNDD2-chr20-45410604-0.007	5'-ZNHIT6-chr1-85708415-0.017
ATP5I--CSDE1	2	1.0	1.0	0.002	3'-CSDE1-chr1-114739725-0.002	5'-ATP5I-chr4-672503-0.001
CSNK2B--PFDN2	2	1.0	1.0	0.001	3'-PFDN2-chr1-161102306-0.001	5'-CSNK2B-chr6-31668610-0.001
USP45--GAS5	2	1.0	1.0	0.004	3'-GAS5-chr1-173864306-0.0	5'-USP45-chr6-99526110-0.008
LRRC75A-AS1--RTN4	2	1.0	1.0	0.112	3'-RTN4-chr2-54987699-0.001	5'-LRRC75A-AS1-chr17-16439414-0.222
APPBP2--MTHFD2	2	1.0	1.0	0.02	3'-MTHFD2-chr2-74215258-0.001	5'-APPBP2-chr17-60526228-0.039
SETD5--GRM7	2	1.0	0.787	0.504	3'-GRM7-chr3-7694466-1.0	5'-SETD5-chr3-9397977-0.009
C5orf28--ZNF626	2	1.0	1.0	0.021	3'-ZNF626-chr19-20640865-0.03	5'-C5orf28-chr5-43483620-0.012
WDR36--VPS25	2	1.0	1.0	0.009	3'-VPS25-chr17-42779598-0.002	5'-WDR36-chr5-111121126-0.016
AC005616.1--HBS1L	2	1.0	1.0	0.05	3'-HBS1L-chr6-134979270-0.005	5'-AC005616.1-chr19-28544710-0.095
PIGP--CLDN12	2	1.0	1.0	0.019	3'-CLDN12-chr7-90413335-0.035	5'-PIGP-chr21-37067339-0.003
CRKL--GATAD1	2	1.0	0.85	0.012	3'-GATAD1-chr7-92458833-0.019	5'-CRKL-chr22-20917411-0.005
LUC7L2--ASCC1	2	1.0	1.0	0.005	3'-ASCC1-chr10-72195805-0.005	5'-LUC7L2-chr7-139361681-0.005
EXD3--RABL6	2	1.0	1.0	0.025	3'-RABL6-chr9-136840182-0.014	5'-EXD3-chr9-137423204-0.035
APIP--CAT	2	1.0	0.988	0.003	3'-CAT-chr11-34472059-0.003	5'-APIP-chr11-34916336-0.002
LGALS1--CCND2	2	1.0	1.0	0.004	3'-CCND2-chr12-4300209-0.007	5'-LGALS1-chr22-37678531-0.0
EXOSC8--PGAM5	2	1.0	1.0	0.037	3'-PGAM5-chr12-132722730-0.074	5'-EXOSC8-chr13-37000960-0.001
CRKL--MZT1	2	1.0	1.0	0.005	3'-MZT1-chr13-72727576-0.004	5'-CRKL-chr22-20917888-0.005
C19orf54--SEC11A	2	1.0	1.0	0.01	3'-SEC11A-chr15-84670752-0.002	5'-C19orf54-chr19-40751396-0.018
ATXN2L--GLTSCR2	2	1.0	1.0	0.005	3'-GLTSCR2-chr19-47757057-0.004	5'-ATXN2L-chr16-28826390-0.007
DIDO1--PRAME	2	1.0	1.0	0.013	3'-PRAME-chr22-22556364-0.0	5'-DIDO1-chr20-62937892-0.025
TPI1--NKAP	2	0.975	1.0	0.003	3'-NKAP-chrX-119925380-0.005	5'-TPI1-chr12-6870710-0.0
AC016723.4--PTPRD	2	0.9	0.787	0.084	3'-PTPRD-chr9-9442287-0.143	5'-AC016723.4-chr2-167933047-0.026
RBM39--RPL14	2	0.871	0.675	0.002	3'-RPL14-chr3-40462273-0.0	5'-RBM39-chr20-35742237-0.003
FTH1--ARPC5L	2	0.858	0.812	0.001	3'-ARPC5L-chr9-124877412-0.002	5'-FTH1-chr11-61967631-0.0
RPS29--SLC35F2	2	0.854	0.613	0.008	3'-SLC35F2-chr11-107791690-0.016	5'-RPS29-chr14-49586837-0.0
PRR13--SUPT6H	2	0.838	1.0	0.007	3'-SUPT6H-chr17-28689833-0.013	5'-PRR13-chr12-53446642-0.001
BCR--ABL1	4	1.0	0.606	0.059	3'-ABL1-chr9-130835470-0.023	5'-BCR-chr22-23290413-0.095
NOC2L--NDUFA4	1	1.0	1.0	0.001	3'-NDUFA4-chr7-10933644-0.0	5'-NOC2L-chr1-959271-0.002
