ID	Gene1	Gene2	NumSupp	Chrom1	Breakpoint1	Chrom2	Breakpoint2	SupportingReads
GF01	HYI	DEPDC1B	39	chr1	43451797	chr5	60642859	d7ec1b39-653b-acb8-ab23-9e7f29527900,0018884a-7a18-e208-5d94-61f0c95344f5,07b4ebc7-e6c1-3824-d754-174fbb96fed0,19188925-d196-31e0-50a7-5cf4ff62f3f7,44406693-9a9b-7198-05dc-979ab7f2721c,627fe2a0-ebc3-8914-2697-30cda8f74cef,659c07aa-822d-2cf6-6618-b8139984e6d4,6b46c9ae-d510-ab92-21e2-5d0291daccbd,71465f16-1a67-b607-d5a9-53faf7739670,86578085-a0a8-556e-24f1-a57d3bca9501,982bea40-9275-9dd7-d091-b6ac2fd6c771,988ed656-4200-b3e6-edd7-8670273f17c9,a01d5e61-8661-6244-c181-90cc28b7657e,a9ab2c87-88d7-c8d7-dfc5-59cc1c7b6a2e,bbfed4dd-a2a6-d20c-c673-d4c8b5eb50b6,bcfd1fd1-18c8-3450-29c3-72b8461ccf87,c6ffa735-f5e5-dd06-3779-ae6f8ff01e74,c8e90603-16cb-c637-2d0b-14f0f0df0edb,cb682a65-877e-3f85-4ed0-9ac7ebf6d3b4,d2e77202-9d59-b317-3f83-f975c15f383b
GF03	HYI	DEPDC1B	3	chr1	43451934	chr5	60638835	e7390610-1025-6e10-459f-36fdde25d44a,ba34eb9b-0488-b9ab-ee17-d1a5672d254a
GF04	ZNF683	CXorf66	25	chr1	26362021	chrX	139958061	fec4ea9a-ffc6-2002-6c0a-a129eccf3fd7,050c7075-1ce7-02a6-050f-12c9c1980182,11aabf0a-bf9f-5200-9f00-0a035e937d06,2af04fab-89ef-4b32-6990-201732a5992a,325857af-c153-d582-7db3-f5c025592a99,3c9318c2-f06f-af33-7dd7-98210ba82e66,3f4ad233-031c-0b40-2dab-eb8f97583211,4c1cb3df-622e-d7b1-a237-4596ede75800,53418001-1848-4a57-1b4c-a8b277fe228a,543ef3c7-8f4e-62e7-1882-7b5d23c65fee,5dd65faa-3b56-d430-25b7-6b428fb4712b,74bc8936-d089-49ae-d1ca-edf192f124db,83b3d2da-9fba-7a85-5d54-1e33f56c83f0,8647fd87-cfe2-b695-88aa-68787c74d1e2,a8613d07-ba4d-7dd8-5719-f2b2eb75fc15,b176fbdd-0bce-938d-14c1-c0e9f20784e5,c2abed56-9d5a-9d8a-1ee8-123f15a5748e,d8ec2aa6-70d1-4bea-9ae2-6f65b34d4229,ea60e9b5-96bc-47a1-c9d0-4bc4ca9bdb24,f8ed372a-2692-a694-faeb-c959a29d429d,3767b3db-9f3f-1a00-0bdc-4a3ddddd71f0,ef5b50f6-76bd-6a7f-ca2b-17bdb799e36b,00188c1b-5f1d-8c8c-2ad7-6b7665c0c19e,301f4a2f-453d-825e-ee39-4ed55ed6cbdb
GF05	ANP32E	STAG3	10	chr1	150223184	chr7	100220545	e8d8c101-664f-eb9e-df37-19efb7be6592,14616cea-d8ef-319c-10e7-9121e4fac9f6,26c935d2-4323-9fe7-2b59-a5031d6158c3,28a8af37-7093-7cde-0b20-3494005f4550,43315de1-b746-f7fd-ff3b-8a1c12ea0ab4,6c93bd40-b531-291b-fa6c-342847d48aaf,8383a9c4-90be-28c6-554b-95bfeb7cd9dd
GF06	DOCK1	GSE1	72	chr10	127176403	chr16	85648751	fbe2774d-d96d-9c49-de77-e68812f5c5e8,002014e0-1bb3-5c19-fcca-ce5e71d297f6,0640221d-0bce-a1a2-bd33-55aeae094366,0e03c848-ebeb-129f-3e12-a8c307d6f220,10fb3a73-2b00-cbdc-dfb0-d7aeaaa7b800,1da8a6c5-a68f-57e8-3f4a-c308d99f25dd,1fd14b59-94c9-c50e-6a7a-aa2ffb323b54,2112263e-f16e-ecbc-ea6f-d2463e23b00b,229947bd-2d5f-a416-40e4-6445e7b40fc0,24ff3998-6ae8-62dd-1fc5-651af3f7e0c2,2ea202b1-8ba0-16f5-68e9-f79ce08941f9,2f6dc747-6556-12a6-1238-c93c22685860,3660f16b-d4c4-bc9e-752c-d631bbd5f8bc,380a030f-9bb3-e664-c744-7c9fbf271a9a,45c0aeaf-2d5a-2b2f-9bab-a8e026b0a1ba,48e63a29-b184-2095-d4fe-6521d404de30,51f2d01c-478d-86fb-494f-845bec467f52,54358bfb-a324-2983-4d44-2d2727196283,547a194b-2cf1-20e5-be2e-e1d24319b366,54a975b8-9714-b6ee-c0e6-19a2775a14cc,5c05ed4c-29e7-5dc9-c5a3-dc46c56bb519,67196f7a-a0fd-af90-5bbf-e4a9364ccf8c,69ba6f51-9526-d76e-80f9-3df997ee0c29,6c5f1344-b122-e370-ef71-525636b1c5fe,75ad9b86-07df-1a46-7a4b-2523d1ed06be,7bab9f48-c443-5fa4-fb1d-a60eb9d07251,82454b34-8fd0-0fe4-2d9c-994e88811c30,82f58b21-17ad-ae52-5aa2-4acb50123802,82f9bf83-ae36-3d8a-65c0-42783a4ecb80,85fc1429-bd48-3192-c965-84122704539b,875ce5f1-3378-2a54-e0ec-5a76a8681184,88f9be98-93c0-a490-68bd-6cadc7b98be3,8ad461dd-40dd-3153-3788-22e63c1a6b75,8f9f3a50-2f59-6da5-712d-5c3916f015ad,913a91de-d5b3-de98-cbc7-0f5752f46f55,91cdd2a3-8ce8-267a-0e98-b976ff9c549c,92daaefe-eaf7-ca8a-d252-b19a91ef97f3,9b79df70-9caf-a0d2-a562-8e92e46f9c3f,9d954a99-d5b8-be3d-90ab-bd7b1f2d17c7,a12d3d37-e47b-680a-47d5-eb34336e364f,a3e249c3-5b53-6975-ebfe-a8e5ab6b47cd,a435c54e-d64c-f3b3-a60a-a2de89905a14,b7723235-a930-63e9-7a57-564e0bdfea93,c071aab4-9782-e420-8a93-7459ba66a21e,c5ddd444-0a59-080e-c2c2-4c3899556323,cc0fea35-297a-4ac0-552d-36fed850f43d,cd432fdb-f49d-d823-341d-823077c48dfd,d0b900f5-a247-bde1-a974-0ccf97c56d49,d5ac589e-c27e-cb97-49c2-d3a484f7aa0f,dd9c3c76-5022-8531-6058-60f531163324,e5f90e46-b84b-492c-9d6b-dbc108f72ae5,f07f9e35-7852-43f3-6e76-95008f7d98ab,f0ec8b53-5001-979c-f696-42384a627395,f60837b9-32bc-f108-2002-cc76b0984560,f8e90dd5-5634-6b2e-2480-bb8108d80cba,f9b14394-5d63-1699-7ab4-9c6f6bebe194,fa75287c-e23e-ba0c-0999-348c45f1a4aa,72fd8e3f-04fc-46be-3bc3-550e27769f77,5b0c191e-436a-0760-76a9-955230cf14fe,0d781eb3-3405-c2cb-4a40-e3127db9e2e8,15c80f38-6f84-15ce-1757-9a3719758f30,69e5f607-6d68-b073-0c50-ccec928bc246,79813aa0-cf11-1bb7-e2f9-87fb4abbfa16,f95f1bf7-eff9-7608-5975-b2d2bdd78262,8ee1e81b-1860-d37e-b6c4-97992f6f1a36,9bccddc0-6321-7116-48fb-f1e1c8bf45b7
GF07	APOC4	SQLE	23	chr19	44945138	chr8	125018727	f341ff05-dc51-eb7e-e8c7-38c97bef1ad0,00274aa6-60af-9afb-7fb0-3e23e8be5b36,03b282ae-7af9-6ace-74f1-54a95c49cd4a,0d0d047f-7a71-afc5-2ec9-cee356b10fd7,12d89584-7a10-fc7b-becb-0d637f362764,13bc6013-8c04-8eb6-e8fc-82f3bfaf1f54,3baf928f-ca5e-933b-048f-0a108693f68f,41f01c4b-ff3d-90db-0685-9b5792689bf6,4bff5d94-3c21-05ae-ff9d-7cc9fb1b5f94,4d935073-7a55-e17c-3780-5c1c590cae14,572ed38b-4c02-fef1-4f89-96ff423951c8,6b70f985-8dd7-e1a5-c9d0-be960f50d76c,8f536825-c94d-909d-5348-9993ccbb26f3,99f4af94-2bbf-e4bf-56e2-74bd83aa112a,a45fcb94-59bb-922c-e681-f9e48d6954aa,a88ffee2-8d4a-c8b8-8140-e2c26e5308a4,b520aedd-5ea2-ef18-15ad-d7d6b5bccb64,b892c883-2e14-11a4-05c5-9cd3b84e719f,b9082ee1-4561-ccf3-f6ba-bebfb605f841,be057cc1-418c-f866-0581-96fcda24c4b5,e179efbe-11d4-519b-5dd1-6e40339bbdc9,de44f084-64b0-05d2-69c4-13bb7f833f2a
GF08	ACTR8	ARHGEF9	67	chr3	53875946	chrX	63655737	fe88860c-f7f3-4af6-2c3f-776bc570dda0,002d60b1-f0a6-ecd8-3441-cca090858b2f,052cb366-f0eb-806d-d4f4-e93cfa401231,0ea5ab5f-e28f-ebd5-b79e-824273d7cc9d,12942653-6310-4ad8-8ac4-87a96ac826b4,15a957b0-df94-8bd9-e5b0-f269a93790ae,1bededf8-81e7-c092-540c-4d0fdee510b1,22a9d9c6-3729-6438-151c-37178c79d35f,25d816e1-ef1d-797d-5344-5737568c5c77,3104962b-b44f-685d-a95c-695ff397acad,342c2e4f-53eb-9254-0a76-657f8c75dad0,35885bc3-8bfd-a081-6d12-1535dfb326ba,360b02c4-2eac-bf01-8288-d909d1377d47,408a9ee3-5ff2-84ea-e929-1d43b26fb266,40f1cd99-8d5b-ebe5-8d6c-265a0b12f2ff,42838f6c-3694-fa7f-6ffe-51a16f872c34,4b2cf430-7faf-3a5b-8ed0-e19a94cc18e3,5cd1ab33-6bec-5960-a094-9ac4e782bc22,6073f7cd-1e68-714d-ef1d-1fc0153d5dba,624cbfb2-a1e9-9935-bf29-139540284e8b,68773bd4-95e8-9f51-3b18-43e12882b69f,698eec5c-b445-9398-6db4-b4df6ae10ae6,6e4ff2b7-fb06-8e7b-5d73-7874aac6a11a,755bc4df-fafb-244f-5788-5ac2d8ad104a,7b5c6229-522c-a293-b7c8-8b40b860e477,82def445-8737-4f13-8af5-a83d37d31f96,8b220869-4650-dfcf-2072-68f1ca05cf58,92b7ace1-91ea-3dce-500d-8bf17340e8c9,933d46b0-d809-ac57-9c7d-4a7bbb39b2c0,965b69a2-d3a5-1a64-37c4-36516537153e,98422872-a4be-d05e-7536-cb6d58f6b255,9b726534-65d4-34c6-84d4-634364614578,9f6da0de-d8d6-47c4-17a6-3b9a4144bb71,aa5a55c4-2ac7-3b4a-f906-3aa8b4b7e44e,ae94163f-4cf9-8de3-b3be-311193387d8b,b35e938f-d7ce-dd92-27d6-469168cba36e,b417e955-8107-01b0-37f4-20a772f276e1,c7f956e3-f0dd-54dc-9a1f-a12f09d9a483,ca4422d5-fcb7-63a2-3407-20cf6660e4d9,ce0eafee-585b-7c75-0e0f-0a871d43e171,d1a8b8ad-0b90-8eee-63f1-3522ebd9028a,dc2a8a78-070a-dc4a-996a-f3454a8d5286,de2e90a0-8e62-49ef-82be-b8438a26991b,e0404ecf-4a5c-68c2-43a6-15615a9852eb,ef89c0d2-0407-7406-c299-459818c7eef4,f714a16c-4210-a48f-bc9a-1c38e867b9e6,33c7b538-ece2-7d8f-1379-7b431124aa5b,5c633068-5408-c2b9-834f-abe088a17596,3d7e6bd0-07c3-6375-7da0-3a8fd096f840,ed6daa11-8731-76aa-a5f9-f0fc86d7a96c,5cae3727-cd5f-ad8a-8870-c9b952d03a9c,afb56db8-4dd9-2983-ffa9-7afef11d058f,36be10df-929c-8ce7-de45-cf46e1b21e96,6639d569-c79a-984e-14fd-6ca8d78cae96
GF09	ACTR8	ARHGEF9	1	chr3	53875951	chrX	63638139	95f6900f-459e-71ef-0e19-4fe4886a8afe
GF010	FAM69A	ESPNL	29	chr1	92850956	chr2	238128903	ef5c8be8-35a6-761a-17ff-0a345518e184,0036d4db-7fe5-3dab-c9fc-7a1805c84005,02f432b6-022f-20ab-f823-2af1ec5b4158,0b5b320f-206d-dd96-c0ae-3d7a2b9caeda,32e40570-98af-7b5e-7d21-164e2886e58b,64acbf4c-44b8-9a8a-6413-aab999405bb0,6ab98578-98ef-9157-c46e-1f1c52f5b984,8be9d726-31e1-12e7-4c55-3ebd6d770f86,8eef8609-8abf-673c-6b0d-37e18ba79480,91520ef7-180c-28f1-bfc8-89f9ac72b6a6,91be2bb6-f55e-ff5d-0024-849015367416,ab4ed4d2-b41b-edae-3c1e-23590f537f15,aee42f0c-eb9e-26f3-3b15-4f619ff2248a,d4cd1473-cb3e-7ee9-d11f-ca6c2425ff02,d81de4da-3e78-066b-245e-69bb6db5b44b,e3f35584-c475-1e57-f5c7-1899833007bb,b44ec1e7-02ad-2c00-f4cf-f97ff4c9f9e2,bed1f981-ef8b-034b-0abd-c04210ce1a41,cf3649c5-1e14-2f45-b8d6-e2bf96b57911,cade1432-a920-8a00-1efe-7745edf57a9f,4e8658f1-d5e4-4228-1477-9cc8ff80e0f0,9a02a680-b3c2-0b86-1a4b-bab6974bb3e0,e7099460-1ba7-c21e-e052-493e13c6322f
GF012	FAM69A	ESPNL	2	chr1	92844136	chr2	238128887	c7587b48-a977-3a2c-9ce7-1a81e93b6b4f
