sample,fusion genes,chrom1,base1,strand1,chrom2,base2,strand2,gap (kb),spanning pairs,spanning reads,inframe,aligns,rearrangement,contig,contig break,classification,known
DepMap_AS010_v1_K562.refine.bam.fastq,BAG6:SLC44A4,chr6,31651656,-,chr6,31865784,-,214.126,0,40,FALSE,TRUE,TRUE,m84056_230620_213907_s3/147391373/ccs/4784_6203,344,HighConfidence,-
DepMap_AS010_v1_K562.refine.bam.fastq,RP11-96H19.1:RP11-446N19.1,chr12,46387972,+,chr12,46652390,+,264.428,0,27,FALSE,TRUE,FALSE,m84056_230620_213907_s3/10291001/ccs/7238_7685,261,HighConfidence,-
DepMap_AS010_v1_K562.refine.bam.fastq,HBG2:HBE1,chr11,5505351,-,chr11,5270156,-,235.2,0,18,FALSE,TRUE,FALSE,m84056_230620_213907_s3/117511018/ccs/4808_5807,174,HighConfidence,-
DepMap_AS010_v1_K562.refine.bam.fastq,NUP214:XKR3,chr9,131199015,+,chr22,16808083,-,Inf,0,15,FALSE,TRUE,TRUE,m84056_230620_213907_s3/107546070/ccs/5762_7701,343,HighConfidence,Yes
DepMap_AS010_v1_K562.refine.bam.fastq,C16orf87:ORC6,chr16,46824386,-,chr16,46693093,+,131.296,0,14,FALSE,TRUE,TRUE,m84056_230620_213907_s3/102568210/ccs/7047_8556,286,HighConfidence,-
DepMap_AS010_v1_K562.refine.bam.fastq,COMMD10:AP3S1,chr5,116134178,+,chr5,115866670,+,267.504,0,12,TRUE,TRUE,TRUE,m84056_230620_213907_s3/114297949/ccs/7836_9478,540,HighConfidence,Yes
DepMap_AS010_v1_K562.refine.bam.fastq,C16orf87:ORC6,chr16,46824386,-,chr16,46695562,+,128.827,0,11,FALSE,TRUE,TRUE,m84056_230620_213907_s3/134286153/ccs/1564_2005,193,HighConfidence,-
DepMap_AS010_v1_K562.refine.bam.fastq,HBE1:HBG2,chr11,5505569,-,chr11,5254514,-,251.057,0,5,FALSE,TRUE,FALSE,m84056_230620_213907_s3/100077037/ccs/44_569,87,HighConfidence,-
DepMap_AS010_v1_K562.refine.bam.fastq,CTD-2008L17.1:RP11-456O19.2,chr18,55893442,+,chr18,56096075,+,202.638,0,3,FALSE,TRUE,FALSE,m84056_230620_213907_s3/199033897/ccs/3548_4228,448,HighConfidence,-
DepMap_AS010_v1_K562.refine.bam.fastq,BAG6:SLC44A4,chr6,31651656,-,chr6,31865601,-,213.942,0,3,FALSE,TRUE,TRUE,m84063_230620_211331_s3/152901164/ccs/4754_5980,249,HighConfidence,-
