#name	spanning reads	mapping score(1 is good)	seq agreement near breakpoint (1 is good)	avg frac of reads at loci in fusion	3' breakpoint	5' breakpoint
FAM46C--UACA	76	0.957	0.469	0.809	3'-UACA-chr15-70702281-0.784	5'-FAM46C-chr1-117622841-0.835
POC1B-GALNT4--LMOD3	65	0.891	0.568	0.827	3'-LMOD3-chr3-69109119-0.915	5'-POC1B-GALNT4-chr12-89526262-0.739
CD79A--AP1S3	56	0.874	0.617	0.741	3'-AP1S3-chr2-223751686-0.933	5'-CD79A-chr19-41879654-0.549
ITGB3--GDNF	51	0.94	0.485	0.699	3'-GDNF-chr5-37812681-0.718	5'-ITGB3-chr17-47290273-0.68
CYP2W1--CBLN3	49	0.904	0.599	0.762	3'-CBLN3-chr14-24429525-0.544	5'-CYP2W1-chr7-989636-0.98
SLC25A41--PNPLA8	51	0.825	0.611	0.799	3'-PNPLA8-chr7-108471629-0.944	5'-SLC25A41-chr19-6433779-0.654
C11orf53--SP8	48	0.875	0.498	0.794	3'-SP8-chr7-20785793-0.98	5'-C11orf53-chr11-111284377-0.608
TTYH2--OR11A1	44	0.912	0.472	0.726	3'-OR11A1-chr6-29425505-0.88	5'-TTYH2-chr17-74237512-0.571
MRM1--GSKIP	39	0.954	0.564	0.822	3'-GSKIP-chr14-96387223-0.907	5'-MRM1-chr17-36601961-0.736
GFM1--COL6A6	34	0.897	0.449	0.83	3'-COL6A6-chr3-130678152-0.85	5'-GFM1-chr3-158645780-0.81
RHNO1--C1QTNF4	35	0.823	0.46	0.69	3'-C1QTNF4-chr11-47590813-1.0	5'-RHNO1-chr12-2885533-0.38
AP2M1--SP3	28	0.807	0.44	0.628	3'-SP3-chr2-173956230-0.322	5'-AP2M1-chr3-184182246-0.933
ENTPD6--VGF	27	0.873	0.47	0.811	3'-VGF-chr7-101164858-0.964	5'-ENTPD6-chr20-25213405-0.659
HOXB8--UBBP4	25	0.823	0.565	0.671	3'-UBBP4-chr17-22205151-0.926	5'-HOXB8-chr17-48614704-0.417
KRT19--CUL7	23	0.811	0.453	0.655	3'-CUL7-chr6-43037620-0.821	5'-KRT19-chr17-41528297-0.489
ZNF467--HS3ST5	16	0.898	0.577	0.66	3'-HS3ST5-chr6-114343044-0.32	5'-ZNF467-chr7-149764362-1.0
P2RY13--TUBB	12	0.931	0.535	0.728	3'-TUBB-chr6-30723029-0.75	5'-P2RY13-chr3-151326311-0.706
ECI2--MRPS18A	8	0.96	0.481	0.711	3'-MRPS18A-chr6-43672597-0.889	5'-ECI2-chr6-4117307-0.533
MRPL12--TBX10	5	0.927	0.635	0.553	3'-TBX10-chr11-67639560-0.106	5'-MRPL12-chr17-81707524-1.0
THAP5--CCR6	5	0.945	0.58	0.916	3'-CCR6-chr6-167136038-1.0	5'-THAP5-chr7-108569723-0.833
RNF112--ITM2A	4	1.0	0.662	0.633	3'-ITM2A-chrX-79367548-0.267	5'-RNF112-chr17-19417276-1.0
SOX18--VAPA	5	0.982	0.705	0.729	3'-VAPA-chr18-9960019-0.833	5'-SOX18-chr20-64049641-0.625
C17orf104--CRTAM	4	0.81	0.613	0.524	3'-CRTAM-chr11-122868097-0.049	5'-C17orf104-chr17-44666895-1.0
CLEC4E--BAG3	4	0.821	0.706	0.685	3'-BAG3-chr10-119677815-0.8	5'-CLEC4E-chr12-8537268-0.571
HINT3--TTLL7	3	0.881	0.65	0.715	3'-TTLL7-chr1-83911363-1.0	5'-HINT3-chr6-125974970-0.429
FAM171B--ECI2	3	0.831	0.608	0.117	3'-ECI2-chr6-4126227-0.2	5'-FAM171B-chr2-186761236-0.034
SH3GLB1--NUP210L	2	0.967	0.575	0.259	3'-NUP210L-chr1-154022340-0.4	5'-SH3GLB1-chr1-86735173-0.118
NOL11--HHAT	2	0.808	0.75	0.834	3'-HHAT-chr1-210676296-1.0	5'-NOL11-chr17-67736753-0.667
ZNF727--ZFP69	1	1.0	1.0	0.75	3'-ZFP69-chr1-40496288-1.0	5'-ZNF727-chr7-64045626-0.5
TMEM92--DYNC2LI1	1	1.0	1.0	1.0	3'-DYNC2LI1-chr2-43810008-1.0	5'-TMEM92-chr17-50274568-1.0
EPPIN-WFDC6--ARHGEF4	1	1.0	1.0	1.0	3'-ARHGEF4-chr2-130947227-1.0	5'-EPPIN-WFDC6-chr20-45547392-1.0
RBM4--C4orf17	1	1.0	1.0	0.75	3'-C4orf17-chr4-99541757-1.0	5'-RBM4-chr11-66640121-0.5
RNF41--EEF1E1	1	1.0	1.0	0.75	3'-EEF1E1-chr6-8097468-1.0	5'-RNF41-chr12-56210570-0.5
KRT33A--MAP3K7	1	1.0	1.0	0.265	3'-MAP3K7-chr6-90568626-0.029	5'-KRT33A-chr17-41350784-0.5
ARNTL2--LAMA2	1	1.0	1.0	0.5	3'-LAMA2-chr6-129516569-0.5	5'-ARNTL2-chr12-27400772-0.5
KAT8--CACUL1	1	1.0	1.0	0.75	3'-CACUL1-chr10-118693750-0.5	5'-KAT8-chr16-31127088-1.0
CCDC144NL--ZNF433	1	1.0	1.0	0.512	3'-ZNF433-chr19-12016660-1.0	5'-CCDC144NL-chr17-20896143-0.024
RSPH3--NXF2B	1	0.967	1.0	0.506	3'-NXF2B-chrX-102365331-1.0	5'-RSPH3-chr6-159000187-0.012
PDRG1--MCF2L2	1	0.808	1.0	0.75	3'-MCF2L2-chr3-183428100-0.5	5'-PDRG1-chr20-31946579-1.0
