sample,fusion genes,chrom1,base1,strand1,chrom2,base2,strand2,gap (kb),spanning pairs,spanning reads,inframe,aligns,rearrangement,contig,contig break,classification,known
DepMap_AS010_v1_KIJK.bam.fastq,NPM1:ALK,chr5,171391799,+,chr2,29223528,-,Inf,0,316,TRUE,TRUE,TRUE,m84056_230620_213907_s3/101189969/ccs/8522_9760,449,HighConfidence,Yes
DepMap_AS010_v1_KIJK.bam.fastq,YTHDF2:TAF12,chr1,28743986,+,chr1,28622165,-,121.818,0,40,TRUE,TRUE,TRUE,m84056_230620_213907_s3/104205605/ccs/6131_9067,1899,HighConfidence,-
DepMap_AS010_v1_KIJK.bam.fastq,SCMH1:NPM1,chr1,41242059,-,chr5,171392710,+,Inf,0,7,FALSE,TRUE,TRUE,m84056_230620_213907_s3/117637480/ccs/8138_9069,154,HighConfidence,-
DepMap_AS010_v1_KIJK.bam.fastq,RP11-444D3.1:SOX5,chr12,24213343,-,chr12,23896024,-,317.323,0,4,FALSE,TRUE,FALSE,m84056_230620_213907_s3/114758496/ccs/5762_7743,629,HighConfidence,-
DepMap_AS010_v1_KIJK.bam.fastq,CTD-2337A12.1:CAST,chr5,96379652,+,chr5,96675539,+,295.892,0,3,FALSE,TRUE,FALSE,m84056_230620_213907_s3/152769760/ccs/7612_8384,489,HighConfidence,-
DepMap_AS010_v1_KIJK.bam.fastq,FAM172A:ALK,chr5,93683370,-,chr2,29223528,-,Inf,0,76,NA,FALSE,TRUE,m84056_230620_213907_s3/109710762/ccs/10096_11367,446,LowConfidence,-
DepMap_AS010_v1_KIJK.bam.fastq,SCMH1:FAM172A,chr1,41242062,-,chr5,93683366,-,Inf,0,15,NA,FALSE,TRUE,m84056_230620_213907_s3/123999169/ccs/4370_5354,159,LowConfidence,-
DepMap_AS010_v1_KIJK.bam.fastq,C15orf57:CBX3,chr15,40561982,-,chr7,26201745,+,Inf,0,6,NA,FALSE,TRUE,m84056_230620_213907_s3/128189255/ccs/2476_4649,343,LowConfidence,-
DepMap_AS010_v1_KIJK.bam.fastq,RN7SL1:IFI6,chr14,49586811,+,chr1,27666247,-,Inf,0,6,NA,FALSE,TRUE,m84056_230620_213907_s3/138544032/ccs/12189_12797,234,LowConfidence,-
DepMap_AS010_v1_KIJK.bam.fastq,YTHDF2:TAF12,chr1,28738333,+,chr1,28622165,-,116.168,0,4,NA,FALSE,TRUE,m84056_230620_213907_s3/142939032/ccs/2769_4213,310,LowConfidence,-
