ID	Gene1	Gene2	NumSupp	Chrom1	Breakpoint1	Chrom2	Breakpoint2	SupportingReads
GF01	VAT1	RCAN2	27	chr17	43016145	chr6	46456749	fdefd194-ce0d-189f-9baf-50505906139c,0005252b-68d3-9358-e925-26150c20c682,0150ef66-c777-2cf0-b393-085893cab3ea,02048203-881d-2389-ca46-65a99e032d45,048841c4-d658-7da3-cb51-6d2fbcfc454b,2e9c5085-14e9-cc7e-cc44-6b704367f78c,3b611e7b-42ab-9a06-205f-1eddc7378d1d,3d3edfb4-80ed-bfac-a5cd-94a60d9d6806,6c3d5f94-aeb2-f965-a796-ee9f9803cbb4,753e0c4c-d950-a7ee-9241-1c448dc0b608,7560be0f-02cb-5175-9e2c-0a2dd729957a,831486ce-14b7-893f-3e18-1c1113911fd5,85350b0f-d942-6710-6128-9b0f535bfdba,8bbcc455-6edc-7105-1e55-876dd98f0c83,922f213b-5791-8dbf-9b82-89e343e64c3d,96ebc6bd-284c-faa5-119c-2b5896347bc7,9e56b274-f29b-3580-eed5-25043d38a9e6,a58e95d3-0242-97f1-f555-2fe46e3f065f,a977373c-5b9b-6f7f-b08b-87d2de97e680,ab52f80e-acfb-1dd2-3cf7-4de55b585072,b1a94796-06fd-9f11-2e68-b93552e6d482,c9f9b0f0-05e1-2781-05d7-13384ea2e40b,cf6a95c2-9d72-6247-b0e0-25c7760109e2,ddc7cd6f-2196-1901-94f7-c0c231e8465c,eb1b0ee4-da16-e5b5-5d9f-e35cff4fc7df,fa596279-f82a-6f7c-490e-8ff511069238,fa651da9-9d4f-1586-e8ac-477369af026c
GF02	CYB5R2	FMR1	52	chr11	7669335	chrX	147928392	ffa71fdf-81e1-9225-998c-a84bbb115991,000d05a9-d806-7a5a-fc53-a91696978e65,00ea5190-88d8-54c0-a372-81a06b83ca48,052a96f9-4450-8a81-1200-dca68e135fe5,0ace7e0c-6f2b-d283-6a84-97c19ea00c4a,0cff7ae8-8ed1-b308-3727-7e356d3fd232,119121d8-b227-25f9-1d4a-3bd544666149,1252aea3-1d20-1333-b09f-d25f0866925c,1f2b9652-3c52-bc9f-0798-41d59957ce3f,279340b3-4c13-7f4f-6b32-a17086d181d3,2a93744e-0274-24de-b655-c04eefd9efa9,34d24a5a-77f0-1542-bd2e-b44f5c5c46f0,36475860-d206-0b43-95e5-86aa7b7092c5,36e5ec26-c6e4-ad4e-52a6-f4d375bfcc42,3e5b2b65-29dc-de7e-99f3-c0fb36c257d6,43ab5218-fa38-ab42-fb50-0d50b0312dcc,4b0db46a-1917-78f2-b0bf-f6efef186f44,4cf542f1-ae82-c0c8-b717-e623df798f6a,4e5a7a6f-0791-97e1-6bfd-c3c5d994e4fd,4f0bd988-e495-60fc-e0f7-068f6f55076f,51e47e2a-75ff-70f6-8485-9578fc3843cd,5a45c4d8-34b0-1bbc-2d0f-c7bec45a828a,5c174093-35d3-8d7c-c7c2-380050308f29,638dabcb-381c-ecf6-4b1e-e101a9359d2b,6922948b-3d55-dda8-13c2-3dd0b6a8c436,6cfc4c85-11a9-4330-fd26-4cb3e3e63b06,70174c8e-95ee-d3fc-e250-d6ac4be7c7ce,74060fd3-0986-56e1-56ff-7fae2926772e,768f5a96-2b91-fb14-3e9d-73fb7e83464b,7b9a8d2c-6127-2278-ff2a-81a92ce66951,7c7830f0-ca89-1f8a-3f5b-86e4bcdaf90e,7ecdc19b-a133-7c7a-f473-01bc3b1616fb,85dbdeaa-ea66-49d8-c71b-a15d778e4d43,86b3eb04-e761-7c9d-e92e-6451d89887a0,8c44f8e9-1262-1b6c-34af-e4ae096574d3,91b4b010-d283-b143-a2f7-ed03f25efc1a,928cb6fb-1180-d68f-499f-7d39443fe406,99140608-0e7f-9729-3594-d51551dc75ba,a6ed24b9-0dbc-ce13-713e-baacc1b8b9a7,a99bf36e-5ec7-9653-b397-fc2d90be7cc2,b59ba41d-f204-51e8-97b6-3532884116a1,b8c56706-69bf-b0d9-fcb0-94e3723107f2,ca79b20f-db7e-7848-849f-e7fd31bbe8fc,cba7c80f-86af-6ccc-0c31-b41eaebce0f7,d38ba270-7513-7777-828e-64030003f6ef,dce051cd-1eb5-09fe-9714-8ea7f4a91548,dd34401c-3313-c659-0a57-5f09e4337a44,e62187e9-ea4b-d090-3ea4-b77309d8aeb4,e706a73f-5134-3018-cf83-ab0efd2883b4,e8b3295d-8b42-1b34-62f6-6a29b7372ceb,f391a5d8-9956-cb88-7534-db1d62912a28,f75b6dbf-4b45-e668-c9b3-51a16dc4400b
GF03	KLK14	MCFD2	87	chr19	51081702	chr2	46909022	ffb0a996-684d-179a-65c1-85833d2cb90a,0010ca83-e3a2-6145-5686-e02d49f35eab,016ca76e-474a-3bda-08db-0d5a97784867,0473cad5-ee29-8bf3-b3b7-4a82d2a9ec70,07922db8-9b64-e607-7aa1-ae8cb37c923d,0990ec90-be10-bcd5-ea4a-abaeebb09234,0a532e87-7767-fa46-0f5a-155b3a429156,0ad27391-b388-696e-c023-902655c547e2,0f6bc685-1577-24a7-a0a1-0fe73d0fb549,11191249-1cc4-d109-b2bd-31da10164b5b,16fd4f29-2813-0d83-a0d9-2689be0c818d,1a4c9e80-22ed-5b33-61c5-d48a75e850df,1ce908d9-0a2f-4963-d3a9-e21ba01e3f2a,20993ca7-5484-6744-ffb8-7a59b2421745,229468d1-5061-f149-d7d5-72765b1a3063,2670c3d3-f108-cb96-5d6e-0268dc17f49a,2674c9e7-1060-0926-b7a0-c2813e5b0902,26fdfeb4-b535-10de-b7a0-22613b0ca689,286fd3c0-b3bc-3510-1637-30282b1975eb,2a5014be-cd95-b371-41a1-8f532e7295cf,2f013c75-00e9-5ca3-9eca-2df138db1709,301195dc-2dc2-a352-bc9b-f5b96b2fc721,30c474a7-cf87-c397-b278-e47da1b581c4,32f86cde-0dce-9b01-da09-289ea660671c,39d4003a-fdce-5ae0-c63c-6f57ceb90e7b,3a57c199-36ff-5ee1-d57c-fffb4039c8ae,4070f0a6-b961-8eb9-38f8-3a6f6479d8bc,409dccbf-7072-9b08-14fa-ec6a741f972e,45e01d27-5384-50ea-d663-fb558635b7b8,4715073e-89d6-f1f5-7c0b-93e8e357414f,4f2d4308-a9e7-93bc-d913-fa3efea46a93,5282d0af-5b0b-9417-81d0-60d00e14d6ef,582a7db5-6cda-a13c-a1a8-4ba1ba20d0f7,5e5c854f-157f-a133-d352-0820e9040f97,5ea83b0e-0708-6688-3459-b78e60c9515a,6706dd27-fb7e-d1e9-aa4c-ba7c544df2bf,69ef55e7-d213-28ac-f757-3cd3eeb13007,6a13878b-a8ae-1fc3-7234-9f5b4c509498,718b2088-483c-4357-5143-a8648f1e4e7b,720ab575-8620-da21-97cf-a9c0d097a431,730d6582-b0a5-94ad-d296-a3552968b01b,7420c3cb-bc66-943f-5103-d9acc003dd57,7757f4e7-de18-9810-f227-48c541572f8d,793781ae-33b7-981a-51cd-207711f4b42b,7a069a19-fe49-062a-f1ea-4944c66ea431,7b4843b0-7388-7767-f3f4-84e2b71ed705,8125ea42-783c-0519-2416-9913352fbd39,832f96c2-8676-dc0f-fc4b-95bb8ebf3075,877f3f0e-321f-0922-3620-31324912610b,894544e8-ac3a-db33-60ce-8c44d8850d51,93f7b765-c570-fde0-06d5-f17ed9697d2e,96026ff7-1af1-29f2-68bb-8c0465a3054f,9785f854-0b44-afa5-e72c-413c4ace3e7f,a3ae13a5-47f4-322c-8d7f-b818953bce9d,a3ec7454-9406-bd61-571e-aaba2622356b,aafd2605-0b1c-1d32-aa18-bd7da75a454e,aec03ed4-6910-3b00-2e2c-0ed24eef7c70,b31cf50d-ed41-a421-52a1-46dc48bc8c10,b4eb7ef6-7fe4-0dbe-caac-2c5f2ad3df21,b66017a9-a177-3acc-b156-98629b293364,b834c081-6ec5-e762-a687-730a54d6df1e,b87d79fa-97ec-311d-346b-a2991c4221f5,b94cadfd-8f6b-ec97-3441-439e75eb8f42,bd33c996-6819-2d2f-7673-b7be8fb3a860,c04ebf3a-ddaf-1f92-ce23-dae585fb75b4,c06b5e4d-8b56-f641-1fbb-dc02c85936dd,c7fef129-3f8b-2c89-e883-b1b09608c96d,ca1cda3d-a720-1fcc-0d2b-7838651b6a6f,cd12d312-5e6f-37ed-c3e0-b64e42b13c95,d0bc744a-9427-656e-7e40-725034ea3cac,d344e019-7dd2-bec6-8b1e-0925652ef047,d612663e-6d63-11e5-1f97-c433f8f96a91,e2b4b0f5-917e-dfe2-6f04-76834b1e5288,e2dcb6d5-97a8-f3fd-02a8-bd025cd53faf,e586e47f-e362-fa8b-fef3-6e0d80a2fe8f,e7a3381e-3569-b1c9-2e7b-fed308a50083,e852037f-49b0-8745-da83-61d6c091b71f,e9c7bdab-d5d3-5f2a-8743-abe73c66ea88,ec7ab9a2-616e-b3a2-6166-d2870cc418e6,efcb62a0-ace4-5efb-4968-1795ea11d49a,f0b223ed-0c96-4f69-4d55-8abb6b88f600,f3a0e45e-00dc-1ca2-2149-e5718221b46b,f850a5e1-5e35-7dba-911f-4a6bf1e25c59,f8e3bd47-cacd-56df-81fc-302912284e97,faa88227-80a6-26c7-ab5d-cadd59753a72,fbc7cd47-1475-bfce-99a7-6b2f712bb208,fc99e138-c23b-e608-4426-119906649461
GF04	BRSK1	MED14	75	chr19	55287212	chrX	40713775	fef52d3a-4985-24ac-c2a9-2deef4e672bb,05c3c29c-8a3c-b540-dc52-92da64f48348,07204484-9235-bc95-0d72-0bf7b38cbd61,0cbeef41-d300-ee1f-5ef2-1e616461b213,10eca8cf-c1ad-7726-ac44-659542c615a8,113df0e3-4acd-36a7-08fc-30b6104deca0,15af8007-b9a3-9894-bfdf-381fb107b50b,1a3ceaea-b6f5-3ffb-9883-66976781cc29,1f62b8e4-6333-524c-4091-c0169ff0bdee,24c824b2-a318-ef0a-3ab8-f88757c7e0a6,2bbc1b94-1d39-0b52-1e72-98550bfd09d5,2ca9530f-61c1-8a40-8bda-a4c4037d9741,2cb71c67-18aa-df1c-7107-b8ab155f39db,2fca72ae-3d28-eaf4-efa4-2cd9f47e9d9a,370b4a25-ce7d-10ba-d5c9-0014386132be,39155059-c45c-d8e5-b053-6086b6e930da,3a9a79e7-8733-9e61-0cc5-70bd16ae33ad,488b4e25-5c24-5e85-6881-6caf14f4a8b4,48d04d9c-0c18-64ea-2fb1-d8c04317dee8,4d35f0b7-d418-b531-88ca-307643d36eb6,517a59ec-3a49-c1d0-eeba-49b02afa36c1,5494d1c3-0cd3-ec93-87f1-c9d23d7f9c04,57073b18-34c0-2621-7e13-0a65c298239b,57079dc1-4053-72f4-0182-ad94c98a6ef4,57b20076-648d-77d2-57a0-49d78c27aa81,5b35308c-4be5-511a-c1f6-8645118a0fc2,629621b9-c705-e435-09e8-78112464f86b,664dc257-0dd4-1820-6c48-05bc7a395b16,67a1fa64-099d-99e1-183e-721953619d6a,68dcfb83-d495-7966-89a8-c3dd748a56da,728334c9-3089-7ecf-def0-195e3450ad22,7289a2ac-7d29-fba9-98ca-f2213ac87b16,7a65329b-1075-f7a8-9c5e-2e655ae300f1,7c551fda-13a9-8890-f43a-280cd19d55ed,7e84e9c2-78b9-bfa3-7fc1-3a286dad4c85,80d8f208-6015-f101-7780-c57c06e7e1cf,9a0391d0-7ac2-5f71-01b4-ca0c8f6659c4,9bf92b74-a33d-71a5-4932-02609f7cdaab,a1e30426-a72f-a981-6142-ab933e8d3905,a232885e-fbcb-fd82-2130-9398dcd75d7e,a5c3f008-2041-0095-ebcf-5f494214bd55,a61c1ffe-c512-1828-b518-5c37d1ae0ada,b05f7acb-0947-9f50-b8f8-c2f877a1352d,b0618d92-49be-4a84-4517-42c1e0934728,b0c80935-2a1d-9933-1fbd-124170e6c107,b626b80e-de95-3306-d83a-5762e0df225d,beffce33-b333-f967-4169-610132d605d8,c9819386-5575-5540-3885-828863e85e2d,ca800765-3af3-fbc5-abd5-e148c5e8891d,cbaaa17b-b538-7bed-111e-6db10123d007,cca5d421-9a71-851c-6412-db9d8e5caa43,cd847b60-1e28-2681-792d-b5357290b083,df053dee-d33c-4bbf-86ee-d990b7983e9f,dff3947b-aad3-05a5-f02f-9b7682460ff6,e36f976f-c293-31bd-4c15-58ade3a6dd35,e3fabf42-f72d-e8ef-9fba-7a2ab2adcd0d,e5a29640-6b18-d02c-42b9-fe1328524733,e6a53f3e-2257-2d91-2dc5-6d8305803216,eb4beaea-647c-0c04-3b77-38702ca71b1b,eb73694e-3476-6ba3-7541-20c281e60ad8,f09b466c-6e6c-aa8e-9cac-fd1f70a7127b,f10ef369-7535-e848-c153-6aba2b40d84a,f6274968-a5f2-8bd5-02eb-e586efca5056,f6e5628c-b3e9-9645-fbb5-0615b56fd4f9
GF06	BRSK1	MED14	4	chr19	55294021	chrX	40713776	d4039062-8119-6d47-a5f6-b12a1f2bfd77,3d4ec78e-ea36-ac01-4a79-0c9bd13942f7,4fa1331a-974c-fb23-d84c-33febd3c9015,cea3adf0-f72e-f4dd-7b78-cfe3dc1dffff
GF07	TNFSF14	POLDIP3	19	chr19	6670157	chr22	42599697	e57920ba-6a60-abb0-2dbf-cdb0395513b2,003e2a58-042c-21ae-0ee6-c08b9413ce9a,04ebd3dc-d41e-d320-f217-273e270acf39,07d15f13-ac40-9d26-e62a-6a4a9cbfd843,1103b954-59b4-46ed-6392-9fb56419f05c,15cce783-5ed2-6e9e-58dd-0cc0d5cb9e56,28287d12-3c73-7a4f-4cd7-571d86061858,2b536070-de6f-2ffc-05a2-f1896365f016,2df8165b-b052-1bf5-d915-3218b2226dd7,348c2e08-ea8b-9ba5-914e-63b2b1364aa4,3deb7069-354e-4c1b-9205-82c460cbfb1e,49bcd495-7ffc-1133-0a4a-ae1363f51213,537c2f7e-bbb0-4cd7-be83-ee907bb59085,6c74645c-2b25-452b-b8cd-308b47513b9e,7f0c2045-2176-eefc-9d36-0950306f5ff7,91a9c09c-1ba2-631d-773e-1ef812063882,d4417a5c-9377-2ae2-0e43-f239c3fb132a,d770a9ff-1157-5630-af42-474ec7131681,e19f93b1-84df-ed91-2952-3c0f8e9b6858
GF08	BPIFB4	ADRA1A	10	chr20	33111484	chr8	26864925	e7cfab7d-808b-047d-12b7-622f22e4adb9,003f454d-7071-1c5e-5e77-323483b81413,0d7ab935-cc0d-d457-9b26-28c27fda08cc,183e8c7a-2bce-39ca-c498-a7b727b95c21,307bdcde-279e-2e50-4a3e-a027d968f3b8,30f8ae39-1c7b-6f4c-b3ea-cdf03a30d4db,362462b6-4c72-a0f0-ae06-13e4b49e9bfb,38165541-570a-a975-086b-58a7ecbf5d44,56cd37ff-2e89-c78e-436d-67a881202559,c7c5592d-7ccd-77cf-c1bf-ddc3198a0ac0
GF09	NR1H2	STX16	49	chr19	50378148	chr20	58652086	f0f73eee-efef-d43f-045d-473260723820,003fc826-4ff3-c71d-0048-658f35f38b02,03b0abc9-4de0-fcc1-81d9-58e7a4b3731f,071518d3-1607-be7a-ca25-b4dfca914a13,087dfe0c-5c70-b0ac-5506-1047e81c9fe5,0d29fd1b-4380-3554-c94e-3a8724d0c690,1b938b0b-174a-1357-8616-df4e504cff9e,1bbf4ab3-3e5b-e59a-328a-febb005a76b5,307aad4e-8d8e-f55f-9a64-69f505e10774,36e87e5d-e34b-1f3e-f700-4dd2ed7e314e,3beed51f-bb74-29ab-8856-d0bd4e059596,4331ee3c-334e-c221-0457-33a4586897f3,48aa1438-a620-47ee-4049-1cbd923517b0,4953e00c-ef1e-4ab6-4645-b8ad6905177d,4acc39ad-46ac-e5e6-9370-7c15414a3514,4ade04b3-b0a0-9adf-19e2-ec6138880dc7,511f1c61-3a2b-6d7a-8e06-e01b385f1049,5dd7de14-ac8f-08b5-6052-ce643e9bc7c8,699fe199-ec81-ab15-0b23-d9bf1d078b22,6e351014-9710-5a97-4c9f-687b8ab14666,7437fc9a-b90d-0155-c163-5b208e971aee,774f6ab3-ec89-1a85-0cfe-7b34bc7e4ee4,77ada55d-2dba-05f6-e471-28ec64ce3540,77f79694-b7e2-0208-44c0-f80793d5dac0,8647d6e3-eb11-08d8-136e-f695eee842d0,8c3d8565-7260-e32e-b053-fc250f5e476b,8fe8ceac-77ae-c604-804e-3252bed976d8,99b80bb2-0886-fef7-6187-9a44bcb28708,9a91df66-dcdd-497c-b47c-9cc3927ae3d0,9e4c28bd-2b8f-841f-43d0-327cb85de75e,9edb80bc-6b29-bb4d-2535-76e6aabca940,b25e0e4d-56a0-5d85-0a9a-a8ee7b7b579a,bc97affc-3941-92f6-6846-3c6669ada32f,bdf4f6fd-3d1e-2f91-80c4-275e4caf2615,c050ebc5-41e8-1e96-c513-dc8dc11f58a1,ca25e544-a70d-cd46-6f14-172a6bda2d46,cdee15ab-4ae9-2869-e806-fb2221219709,d374f588-66b4-a2ae-5571-1c89cca1b24d,d3b09247-07b7-4641-4f2d-e6575c9b905f,d56b87c3-504b-42a1-931d-36a345d26384,d5af07cf-70dd-8d79-416b-d195fed0d5d8,d6df5afe-ea20-44ac-cae0-849f3661ae33,d7446fd1-dcde-0603-98e5-dac28a858b03,d7809940-540e-679c-e889-eea190697f1c,e25f50d1-2a31-f83e-acc0-e161dd2ec713,e7511eff-6c7e-083e-c3f8-3c0d704b32f8,eb5c185f-feff-e142-6f3d-525b278ddf3e,edc04cff-c4a2-9a2e-bab3-465d6f4a003f,ef26540e-0315-a95a-dcd8-755f455c3e40
GF010	RGS6	CLEC11A	54	chr14	72470082	chr19	50724409	f9fde848-6992-1f83-b010-8e27b903b10f,0323aa09-a111-d743-5397-25029497c5fb,0ee1879f-3124-6734-4fcd-1fef67a34b69,10f548c0-f84d-c777-14c5-76d7f897b90f,13b0c224-b375-8ca2-497a-2a738e263241,13d8c116-d0bd-788d-0795-4285efbb9702,16ff823a-0f3c-7d29-fe60-d5f5b5a42f1b,2045a4d4-11ab-1e25-d2c9-cf8d3b25d8e6,404fe7b4-1d90-b345-7533-38ab3b8a02f4,4416805f-8d42-77d9-fa49-31914ae9ed85,4456e037-e0ca-5337-90a5-949be472d5e5,488ee407-070b-0c05-c12f-662dc0aa5da2,4d87de2b-9cc2-057b-f256-cfeaeb2f5e50,524b73e1-d186-47f3-dfce-bfd0cc82fc89,565f72b1-e3be-ab39-b681-fed49e16586e,597f0281-2a6e-e345-a1df-e0d4e2f9e235,64e919d2-c4a8-8656-c1c8-8e9e5ab5cc9c,6b182871-8a9f-8d95-b01a-448c8db109b1,6ff463db-cc4b-c684-d7bc-6d7732b9eb47,75e009bd-91a4-ff87-279a-18e5a948f832,77e07f1c-5d2c-912b-eac2-7a33a365464a,78fb2d1c-e66d-8d25-12b3-913740b4ffa4,7a782a8c-5e6b-be96-6078-7b2a1e96856f,7bf87a00-2940-7aa8-5085-975ecc331eae,7cbadeb7-12e9-378b-1cbc-7d3d7685e56e,7e631faf-de54-06e9-2b7a-0bf672f0c91a,8389bae7-f7be-3e21-ca3c-955b8d634557,859997f7-69d2-df13-3bfd-c0cf43c063a1,8849313b-8653-20f6-5ad0-b0cb8cf84b6f,88d93ce2-3b5e-812b-6fd1-edf10bbda697,9532e270-982d-7263-4aa6-bdd7604cdc8a,97f89e20-f016-0663-8e1c-aa57ad9be199,9b0c7b0c-e645-018d-1f4f-790b2c2a97d6,9d6fdfa9-ba07-6ce2-2ac6-2f552fc9f012,a85e318a-c9d1-3ffb-0fcb-9c90c1a4b535,ac26c16c-99e8-dafb-52da-41870e48701d,ad64eab3-1e5a-8c36-6ea7-750499e8fca0,b4584bcf-8cfd-0fa0-9450-48f6ff07ae3c,bb247f95-7792-b6c9-01a3-874116508592,bb24dd3f-e01d-c4ce-b47f-a36f1984facd,c9562a8a-5119-230f-0bc2-9c361f5c2084,c97e063b-8efa-ad78-d13b-f6f5e2b5645e,cab4b583-7d99-8d95-a17c-9f9fd534cb6a,cdd5c75f-40ac-980f-c248-c6370f671a08,cfc3e44a-b918-3c87-85bc-aeee7dea46b1,d18feb6a-db4f-fe3c-9148-b1627176cd30,d2bc3b1c-51c1-eb3e-cf02-844c48cb0b10,d89fe607-f752-acc9-b9dd-991af3a3e2b1,e48940df-6001-8150-aa87-0f7df1e5b1ee,e8c3dc9e-127d-5a7f-5977-07987651c5bd,ef6a52a8-ae16-2e19-e241-a125d8de4875,f6075454-f742-5f3d-a7b8-e29e769a98ca,f749889a-36e4-0409-709e-b299827860ab,f800f9f7-0bf7-ef2a-3ba8-43e6a584ae6a
GF011	TNKS2	IFT74	99	chr10	91855028	chr9	27011969	fed05f05-b865-acfa-264c-b56f60583d60,004d809e-2baa-1ce8-dbcb-ad408661ac74,038463b7-67a4-8298-8131-72d37f0fcaf3,0444350a-caa0-c0e3-8986-3528b230a4cb,092f41c9-bae4-31cc-003f-5b4498288716,0967cbe7-aef6-521b-9d19-f05750c4c0e0,0c1196c7-36bb-0db0-cd3c-eea7f4c5eda0,0d6e8b07-833d-671d-9fbb-47c9ab6e5ab7,0de2b025-de10-5793-a0ce-d68b2a287361,10988960-ec42-2b4a-f903-ac5e92e6c63d,134a4c6d-d8fa-7a4e-311e-dc150d55a2e6,155a653a-e2bc-a51d-f77b-c1aed09f3fc6,1699f0a1-29fc-465f-6346-7af66d61aa59,17c43fa0-81bc-18a6-de65-3e3ea065a38f,18572b23-2793-bc30-6a45-6c0d4e791282,1a6c4dba-9a49-7fc0-6163-8c0c15ef7099,1ba30303-f21a-aa72-a889-1878b8fb9f82,206dd7df-68dd-ccd6-c8cd-eaca8cd74f07,222274e5-448b-d31c-2174-4cd4b111b784,2c53ba29-321a-8fdd-e0e6-ae8f3a9b83d8,2d1bfd46-8e9e-c8da-e8dc-bd37120b8206,2e5bb2af-f052-502a-f029-9d30bf38ea9e,33424218-e77e-d3a3-772a-f04a07de3791,34c10fa1-aa04-c83b-8a59-6f50f49e01d7,36f0e72a-b944-73e7-a74a-302cecf44cbf,3708160c-34fb-dcd3-dde8-4f117279bc6d,3708570e-8bea-d5ef-ad1b-9912d74139af,3acd3c46-876d-95e4-df53-124ba1de31f8,3af88f79-b077-9494-9d9b-10cdf6919f48,3c66b442-7e9b-3323-4953-084e69feab51,3cbef825-3602-be73-270e-c7b8550238a4,3e3a7b35-555c-69d9-0b83-0223cddd90e0,426b8337-24e7-adbf-0c35-c700bb0d613d,448ef960-e1fb-043b-a10c-db426f85d10a,4806e92e-b8a3-9205-2981-86e3abae5976,48a4eb5c-03d8-c876-d59f-bc0e4ff88312,4a8dc8fc-c601-34b2-cd80-7d4f777e2876,5217ad7c-9be7-26e7-7c83-294d0ca1f650,523012a5-8440-9ed7-61b1-d0ee677bbf62,56f0804d-8a06-473d-f770-71ecbafe388b,5934563f-562b-f672-bb2d-02e8e600f5e4,5d0e4e92-a781-3365-16cb-5d837e366fbe,60f5617c-a80f-d72b-22b7-d20009bed5f2,646626f2-ae06-ed6d-77a3-0326ec9021b4,68e794a9-ed5d-0a8f-1c67-885f1cfbe50e,6f50c5cb-2d2b-ae35-e5c5-56a65df17bde,6f5cbc67-b73f-fb40-53d9-5ce56c311dfb,71d3f65f-b8d1-8a81-ac9b-8f73aaeb9817,738a099b-5c7c-a17d-e4a3-ff49ff00c393,7580e3b6-a31c-a0c7-680d-6385bfa2e459,7aa68f86-4eaf-d30e-05d9-52b7765ad3b6,7c4a7567-462d-9b9d-a112-30bd2535df57,7db77755-beb4-f486-6577-4d67a280a69b,86fb9c00-9923-0bb8-c82e-372b91af2615,8afbd617-b899-8ab3-4cf3-9afe5db352a3,96dec3fa-d6e5-2894-8bfa-0f212c952f97,973d1561-2ed8-d7ae-3e5d-e9d040286750,97caf4c7-b8f9-a4e9-7a51-896f679f98a6,989a1eea-9989-3b6e-9157-6f5ea8077d5f,9d6e8172-c6e0-3fb3-b5a9-a20a2f9d213f,a16986d5-3433-3c4f-04dc-2a9f13dec942,ab9b16f6-8312-2e1f-3202-2b55e8929a38,abc34d8a-b7fd-4911-4b61-23b877b34269,b0f4c212-b1bf-9ac5-35cd-4214de16a6d2,b1c58768-9977-ff24-7929-9227a47c96be,ba76b3f1-3317-8ce7-aa58-4a883cdc0620,beb5580e-cca8-716e-8fbb-98e499b8a5ad,c20e38d8-7edd-db1d-ca05-aeb69d447912,c731e856-8774-5508-87b7-d2412157e828,ca02d604-e5ab-83a4-4760-319de3ce0755,cb9a106f-c31e-2be2-30f0-3eba8f4a2f26,cd2c086f-41f9-dcd1-bbb6-397381aaf3bc,ce06a959-022d-1cbe-99f0-14a5eae8e538,cf8a4158-8282-e88b-db09-85d83a2ae5a1,d6f7ea06-9d19-1586-a650-2803b699b673,d8a3a278-ac63-eeb5-5b27-cbbce8be4e9d,d91c486d-441a-1f6d-3e7c-5db4bd903084,d93f81c1-fbcf-52eb-877d-6ff188f3f23f,d99aeecb-392a-4a3a-e606-976534649a2d,dc2b7766-0f7a-c4ea-c2c2-bc465ab670a9,dc2dbdff-11f9-5e5f-b95e-276372ee57f5,de022336-e138-4bad-c23e-36c0b188fe61,dfef9c5d-cb3d-d222-a23e-47b3ccd60e31,e10ab2ca-3ce6-62af-d4ab-025cc1c3afc5,e141d037-db2f-cf22-61de-fae19b083a9b,e7465a8d-cc06-0d10-c7bc-3b6a17b6df7c,e7cb1e8a-a0de-7cb0-bfd4-15dfa4c6193d,eaae0fdc-6f83-1e24-fcaf-311899048f9a,ec2968d4-0e02-fe5e-9e3f-92f65919d3d2,ef99d82d-9096-fc06-2ac3-0d0eb88a89ce,efa16338-80b3-3058-6c8f-2a344e3a69af,f416bdac-ea7f-c5b5-81b1-ce69a21593a7,f5cc8791-08be-c522-c972-47116aa01329,f64bca8f-b1dd-ad79-27ef-fed4ff8a3bbe,fa8a4ed9-f9fc-c385-2a8a-7da8950c582b,fb0e82dd-bfd8-1520-592d-86b4b0f2c819
