#name	spanning reads	mapping score(1 is good)	seq agreement near breakpoint (1 is good)	avg frac of reads at loci in fusion	3' breakpoint	5' breakpoint
LINC01535--EXOSC10	29	1.0	0.715	0.481	3'-EXOSC10-chr1-11070975-0.177	5'-LINC01535-chr19-37251910-0.784
KMT2E--LHFPL3	25	1.0	0.982	0.436	3'-LHFPL3-chr7-104906185-0.806	5'-KMT2E-chr7-105081797-0.066
ALDOA--SHISA9	16	1.312	0.783	0.134	3'-SHISA9-chr16-12916684-0.262	5'-ALDOA-chr16-30065928-0.006
SEC22B--NOTCH2	13	1.0	1.0	0.145	3'-NOTCH2-chr1-119922782-0.181	5'-SEC22B-chr1-120176306-0.109
AKAP13--PDE8A	11	1.0	1.0	0.202	3'-PDE8A-chr15-85064362-0.244	5'-AKAP13-chr15-85485755-0.159
PFKFB3--ASB13	4	1.0	1.0	0.518	3'-ASB13-chr10-5654165-0.037	5'-PFKFB3-chr10-6145013-1.0
CTCF--AMPD3	4	1.0	1.0	0.335	3'-AMPD3-chr11-10461513-0.571	5'-CTCF-chr16-67563294-0.1
LDLR--SMARCA4	3	1.0	0.742	0.015	3'-SMARCA4-chr19-10996356-0.005	5'-LDLR-chr19-11089615-0.024
EMG1--TNFRSF1B	2	1.0	0.5	0.032	3'-TNFRSF1B-chr1-12207618-0.057	5'-EMG1-chr12-6976495-0.006
RBM33--GSTCD	2	1.0	0.988	0.061	3'-GSTCD-chr4-105823690-0.074	5'-RBM33-chr7-155644922-0.048
DLD--PGRMC2	2	1.0	1.0	0.026	3'-PGRMC2-chr4-128272422-0.051	5'-DLD-chr7-107903497-0.002
MRPS10--PRRG4	2	1.0	1.0	0.038	3'-PRRG4-chr11-32858119-0.074	5'-MRPS10-chr6-42217861-0.002
POMK--TPM4	2	1.0	0.85	0.101	3'-TPM4-chr19-16103002-0.002	5'-POMK-chr8-43093544-0.2
ARFGEF1--COPS5	2	1.0	1.0	0.026	3'-COPS5-chr8-67048109-0.004	5'-ARFGEF1-chr8-67333117-0.048
IFT52--AZIN1	2	1.0	1.0	0.022	3'-AZIN1-chr8-102830137-0.006	5'-IFT52-chr20-43596490-0.038
MRPS16--NT5C2	2	1.0	0.5	0.012	3'-NT5C2-chr10-103088471-0.022	5'-MRPS16-chr10-73252631-0.002
FAM213A--EIF2S3	2	1.0	0.637	0.004	3'-EIF2S3-chrX-24077332-0.006	5'-FAM213A-chr10-80432358-0.001
AKAP13--SLC28A1	2	1.0	0.838	0.514	3'-SLC28A1-chr15-84945794-1.0	5'-AKAP13-chr15-85485755-0.029
MAF--WWOX	2	1.0	0.988	0.029	3'-WWOX-chr16-79211597-0.016	5'-MAF-chr16-79598885-0.041
RP9--RP9P	2	0.979	0.587	0.028	3'-RP9P-chr7-32921431-0.033	5'-RP9-chr7-33097359-0.022
EXOSC6--FAM213A	2	0.967	0.662	0.029	3'-FAM213A-chr10-80408615-0.001	5'-EXOSC6-chr16-70250405-0.057
BST1--FBXL5	3	0.967	0.408	0.385	3'-FBXL5-chr4-15623654-0.02	5'-BST1-chr4-15715679-0.75
TAPBP--TLDC2	2	0.946	0.787	0.012	3'-TLDC2-chr20-36890540-0.022	5'-TAPBP-chr6-33314079-0.002
FTH1--PDCD4	2	0.946	0.613	0.001	3'-PDCD4-chr10-110898737-0.002	5'-FTH1-chr11-61967629-0.0
TBL1XR1--CSNK1E	2	0.825	1.0	0.017	3'-CSNK1E-chr22-38292042-0.022	5'-TBL1XR1-chr3-177145333-0.012
MRPL20--ZFYVE9	1	1.0	1.0	0.019	3'-ZFYVE9-chr1-52230519-0.037	5'-MRPL20-chr1-1407292-0.001
VHL--ATAD3C	1	1.0	1.0	0.18	3'-ATAD3C-chr1-1469285-0.333	5'-VHL-chr3-10142188-0.026
PKMYT1--ATAD3B	1	1.0	1.0	0.025	3'-ATAD3B-chr1-1496204-0.043	5'-PKMYT1-chr16-2980431-0.008
SNHG21--GNB1	1	1.0	1.0	0.502	3'-GNB1-chr1-1839240-0.004	5'-SNHG21-chr15-82754784-1.0
PPP1CB--SKI	1	1.0	1.0	0.019	3'-SKI-chr1-2310138-0.037	5'-PPP1CB-chr2-28751964-0.002
ALDOA--MEGF6	1	1.0	1.0	0.071	3'-MEGF6-chr1-3490526-0.143	5'-ALDOA-chr16-30070413-0.0
GDF11--LRRC47	1	1.0	1.0	0.024	3'-LRRC47-chr1-3780697-0.015	5'-GDF11-chr12-55749664-0.033
C1orf174--FAM213A	1	1.0	1.0	0.004	3'-FAM213A-chr10-80432787-0.001	5'-C1orf174-chr1-3900272-0.006
RNF207--ECSIT	1	1.0	1.0	0.036	3'-ECSIT-chr19-11506552-0.004	5'-RNF207-chr1-6208325-0.067
MED31--ACOT7	1	1.0	1.0	0.006	3'-ACOT7-chr1-6294980-0.005	5'-MED31-chr17-6651615-0.007
ESPN--ACOT7	1	1.0	1.0	0.009	3'-ACOT7-chr1-6325771-0.005	5'-ESPN-chr1-6443148-0.014
ERRFI1--PARD3	1	1.0	1.0	0.009	3'-PARD3-chr10-34331344-0.015	5'-ERRFI1-chr1-8026309-0.002
CLDN4--ENO1	1	1.0	1.0	0.0	3'-ENO1-chr1-8866504-0.0	5'-CLDN4-chr7-73799830-0.0
VPS45--ENO1	1	1.0	1.0	0.002	3'-ENO1-chr1-8868058-0.0	5'-VPS45-chr1-150067950-0.003
SMC4--ENO1	1	1.0	1.0	0.001	3'-ENO1-chr1-8868059-0.0	5'-SMC4-chr3-160399749-0.002
DLD--UBE4B	1	1.0	1.0	0.004	3'-UBE4B-chr1-10180608-0.007	5'-DLD-chr7-107903548-0.001
DFFA--PRKCSH	1	1.0	1.0	0.004	3'-PRKCSH-chr19-11450965-0.002	5'-DFFA-chr1-10472495-0.005
PEX14--LRBA	1	1.0	1.0	0.015	3'-LRBA-chr4-150739741-0.021	5'-PEX14-chr1-10525320-0.009
TARDBP--PFDN2	1	1.0	1.0	0.002	3'-PFDN2-chr1-161100786-0.001	5'-TARDBP-chr1-11022401-0.003
SURF6--SRM	1	1.0	1.0	0.007	3'-SRM-chr1-11055085-0.007	5'-SURF6-chr9-133336188-0.006
NDUFA3--EXOSC10	1	1.0	1.0	0.004	3'-EXOSC10-chr1-11076950-0.006	5'-NDUFA3-chr19-54106012-0.001
MGP--VPS13D	1	1.0	1.0	0.013	3'-VPS13D-chr1-12416828-0.026	5'-MGP-chr12-14883033-0.001
DNAJC16--FBXO42	1	1.0	1.0	0.036	3'-FBXO42-chr1-16292198-0.029	5'-DNAJC16-chr1-15571729-0.043
SNHG8--SPEN	1	1.0	1.0	0.013	3'-SPEN-chr1-15928597-0.023	5'-SNHG8-chr4-118279137-0.002
MINOS1--RCC2	1	1.0	1.0	0.002	3'-RCC2-chr1-17416648-0.004	5'-MINOS1-chr1-19597110-0.0
PFDN2--RCC2	1	1.0	1.0	0.003	3'-RCC2-chr1-17416649-0.004	5'-PFDN2-chr1-161118048-0.001
MRTO4--TIPIN	1	1.0	1.0	0.011	3'-TIPIN-chr15-66356684-0.017	5'-MRTO4-chr1-19259416-0.005
RPL30--MINOS1	1	1.0	1.0	0.0	3'-MINOS1-chr1-19626605-0.0	5'-RPL30-chr8-98045540-0.0
LRRC57--DDOST	1	1.0	1.0	0.011	3'-DDOST-chr1-20661379-0.001	5'-LRRC57-chr15-42540766-0.022
DDOST--SPCS3	1	1.0	1.0	0.002	3'-SPCS3-chr4-176332243-0.002	5'-DDOST-chr1-20661379-0.001
THEM6--DDOST	1	1.0	1.0	0.004	3'-DDOST-chr1-20661379-0.001	5'-THEM6-chr8-142731390-0.006
RFX5--DDOST	1	1.0	1.0	0.003	3'-DDOST-chr1-20654708-0.001	5'-RFX5-chr1-151347241-0.005
TTC1--HNRNPR	1	1.0	1.0	0.003	3'-HNRNPR-chr1-23310328-0.001	5'-TTC1-chr5-160010813-0.004
E2F2--TIAM1	1	1.0	1.0	0.018	3'-TIAM1-chr21-31507398-0.014	5'-E2F2-chr1-23530860-0.023
SRSF10--TULP4	1	1.0	1.0	0.008	3'-TULP4-chr6-158508220-0.014	5'-SRSF10-chr1-23970578-0.002
PAFAH1B2--SRSF10	1	1.0	1.0	0.004	3'-SRSF10-chr1-23970408-0.002	5'-PAFAH1B2-chr11-117144421-0.006
SRSF10--CYP51A1	1	1.0	1.0	0.002	3'-CYP51A1-chr7-92112584-0.001	5'-SRSF10-chr1-23980375-0.002
SRSF10--ASB14	1	1.0	1.0	0.022	3'-ASB14-chr3-57273452-0.043	5'-SRSF10-chr1-23980327-0.002
RRM2--SRSF10	1	1.0	1.0	0.003	3'-SRSF10-chr1-23980373-0.002	5'-RRM2-chr2-10131413-0.003
TMEM50B--IFNLR1	1	1.0	1.0	0.009	3'-IFNLR1-chr1-24154718-0.011	5'-TMEM50B-chr21-33479937-0.006
C6orf48--IFNLR1	1	1.0	1.0	0.005	3'-IFNLR1-chr1-24187289-0.011	5'-C6orf48-chr6-31839758-0.0
RCAN3--KIAA0319L	1	1.0	1.0	0.02	3'-KIAA0319L-chr1-35441281-0.011	5'-RCAN3-chr1-24541033-0.029
SRRM1P3--SRRM1	1	1.0	1.0	0.501	3'-SRRM1-chr1-24652611-0.002	5'-SRRM1P3-chrX-136985751-1.0
RP1-317E23.6--CRK	1	1.0	1.0	0.025	3'-CRK-chr17-1422657-0.019	5'-RP1-317E23.6-chr1-25818219-0.031
RP1-317E23.6--SOCS7	1	1.0	1.0	0.035	3'-SOCS7-chr17-38401749-0.038	5'-RP1-317E23.6-chr1-25818219-0.031
RPS6--STMN1	1	1.0	1.0	0.0	3'-STMN1-chr1-25906419-0.0	5'-RPS6-chr9-19379516-0.0
HMGN2--HNRNPD	1	1.0	1.0	0.003	3'-HNRNPD-chr4-82373684-0.005	5'-HMGN2-chr1-26475970-0.0
GPN2--FXR2	1	1.0	1.0	0.079	3'-FXR2-chr17-7595679-0.143	5'-GPN2-chr1-26890274-0.015
GPN2--LRCH3	1	1.0	1.0	0.02	3'-LRCH3-chr3-197843679-0.026	5'-GPN2-chr1-26890283-0.015
STX12--WASF2	1	1.0	1.0	0.007	3'-WASF2-chr1-27490150-0.003	5'-STX12-chr1-27805394-0.011
RCC1--PRKRIP1	1	1.0	1.0	0.004	3'-PRKRIP1-chr7-102388001-0.006	5'-RCC1-chr1-28509337-0.002
SRSF4--NDUFV2	1	1.0	1.0	0.002	3'-NDUFV2-chr18-9123707-0.0	5'-SRSF4-chr1-29168285-0.004
RBBP5--PUM1	1	1.0	1.0	0.009	3'-PUM1-chr1-31065716-0.004	5'-RBBP5-chr1-205086268-0.013
SERINC2--PUM1	1	1.0	1.0	0.016	3'-PUM1-chr1-31065695-0.004	5'-SERINC2-chr1-31427611-0.028
KPNA6--HR	1	1.0	1.0	0.018	3'-HR-chr8-22114871-0.029	5'-KPNA6-chr1-32166231-0.006
EIF3I--TES	1	1.0	1.0	0.007	3'-TES-chr7-116258781-0.014	5'-EIF3I-chr1-32226530-0.001
CHMP2A--EIF3I	1	1.0	1.0	0.002	3'-EIF3I-chr1-32231582-0.001	5'-CHMP2A-chr19-58554133-0.002
MARCKSL1--YTHDF3	1	1.0	1.0	0.005	3'-YTHDF3-chr8-63212785-0.009	5'-MARCKSL1-chr1-32334995-0.002
RBBP4--KRIT1	1	1.0	1.0	0.005	3'-KRIT1-chr7-92242139-0.009	5'-RBBP4-chr1-32657572-0.001
ZNF17--YARS	1	1.0	1.0	0.072	3'-YARS-chr1-32782618-0.001	5'-ZNF17-chr19-57413228-0.143
ACTR2--YARS	1	1.0	1.0	0.002	3'-YARS-chr1-32791255-0.001	5'-ACTR2-chr2-65227957-0.002
TAGLN2--S100PBP	1	1.0	1.0	0.004	3'-S100PBP-chr1-32858873-0.008	5'-TAGLN2-chr1-159925478-0.0
