sample	FusionName	Hg38_LeftBreakpoint	Hg38_RightBreakpoint	num_reads
cov50_pass5	A1CF--ORAI1	chr10:50836074	chr12:121641041	50
cov50_pass5	PLD6--LYZL4	chr17:17205860	chr3:42407343	50
cov50_pass5	PHF21A--KCNV2	chr11:46084166	chr9:2729446	50
cov50_pass5	PHYHIPL--DLX2	chr10:59176959	chr2:172101646	50
cov50_pass5	PIAS4--GSTZ1	chr19:4037504	chr14:77330310	50
cov50_pass5	PIAS4--TASP1	chr19:4028600	chr20:13483337	50
cov50_pass5	PID1--DAP	chr2:229155818	chr5:10681169	50
cov50_pass5	PITRM1--DHRS3	chr10:3144292	chr1:12578956	50
cov50_pass5	PIWIL4--FAM187B	chr11:94597915	chr19:35225212	50
cov50_pass5	PKN1--CHI3L1	chr19:14467641	chr1:203179585	50
cov50_pass5	PLA2G15--CDC45	chr16:68245553	chr22:19516527	50
cov50_pass5	PLA2G2A--DOCK1	chr1:19978380	chr10:127447394	50
cov50_pass5	PLA2G2C--NAA38	chr1:20172794	chr7:118191912	50
cov50_pass5	PLA2G2F--CFDP1	chr1:20143590	chr16:75411952	50
cov50_pass5	PLA2G3--KCTD14	chr22:31138276	chr11:78017270	50
cov50_pass5	PLAGL2--SNRPC	chr20:32201919	chr6:34770291	50
cov50_pass5	PLBD1--PSG11	chr12:14506933	chr19:43015370	50
cov50_pass5	PHF19--AMZ1	chr9:120866028	chr7:2702722	50
cov50_pass5	PHF16--ATP6V0D2	chrX:46984940	chr8:86113709	50
cov50_pass5	PHF14--SYT16	chr7:10974324	chr14:61995876	50
cov50_pass5	PEX6--TNFSF13B	chr6:42978269	chr13:108306826	50
cov50_pass5	PDXP--UBAP2	chr22:37659356	chr9:33923033	50
cov50_pass5	PDZK1IP1--COX7B	chr1:47185002	chrX:77905184	50
cov50_pass5	PDZRN3--BRD2	chr3:73404148	chr6:32977417	50
cov50_pass5	PEAR1--USP12	chr1:156905424	chr13:27105944	50
cov50_pass5	PEX12--ODF3	chr17:35577038	chr11:198464	50
cov50_pass5	PEX5L--FAM115C	chr3:179887673	chr7:143719683	50
cov50_pass5	PFAS--LTBP2	chr17:8267235	chr14:74529122	50
cov50_pass5	PHC1--PDILT	chr12:8936964	chr16:20399307	50
cov50_pass5	PFKFB3--PAPOLA	chr10:6203336	chr14:96531475	50
cov50_pass5	PFN1--LAS1L	chr17:4948263	chrX:65518465	50
cov50_pass5	PGA3--MAPK14	chr11:61211234	chr6:36076537	50
